| Index | Code   | [511:0] | [255:0] | [127:0] |
| 0     | 000000 | zmm0    | ymm0    | xmm0    |
| 1     | 000001 | zmm1    | ymm1    | xmm1    |
| 2     | 000010 | zmm2    | ymm2    | xmm2    |
| 3     | 000011 | zmm3    | ymm3    | xmm3    |
| 4     | 000100 | zmm4    | ymm4    | xmm4    |
| 5     | 000101 | zmm5    | ymm5    | xmm5    |
| 6     | 000110 | zmm6    | ymm6    | xmm6    |
| 7     | 000111 | zmm7    | ymm7    | xmm7    |
| 8     | 001000 | zmm8    | ymm8    | xmm8    |
| 9     | 001001 | zmm9    | ymm9    | xmm9    |
| 10    | 001010 | zmm10   | ymm10   | xmm10   |
| 11    | 001011 | zmm11   | ymm11   | xmm11   |
| 12    | 001100 | zmm12   | ymm12   | xmm12   |
| 13    | 001101 | zmm13   | ymm13   | xmm13   |
| 14    | 001110 | zmm14   | ymm14   | xmm14   |
| 15    | 001111 | zmm15   | ymm15   | xmm15   |
