# http://ref.x86asm.net/geek64-abc.html
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| mnemonic           | op1  | op2  | op3  | op4 | iext      | pf     | 0F     | po     | so     | flds     | o     | proc     | st       | m     | rl      | x     | grp1        | grp2                 | grp3         | tested f     | modif f       | def f         | undef f      | f values                                         | description, notes                                                          |
| ADC                | Eb   | Gb   |      |     |           |        |        | 10     |        | dw       | r     |          |          |       |         | L     | gen         | arith                | binary       | .......c     | o..szapc      | o..szapc      |              |                                                  | Add with Carry                                                              |
| ADC                | Evqp | Gvqp |      |     |           |        |        | 11     |        | dW       | r     |          |          |       |         | L     | gen         | arith                | binary       | .......c     | o..szapc      | o..szapc      |              |                                                  | Add with Carry                                                              |
| ADC                | Gb   | Eb   |      |     |           |        |        | 12     |        | Dw       | r     |          |          |       |         |       | gen         | arith                | binary       | .......c     | o..szapc      | o..szapc      |              |                                                  | Add with Carry                                                              |
| ADC                | Gvqp | Evqp |      |     |           |        |        | 13     |        | DW       | r     |          |          |       |         |       | gen         | arith                | binary       | .......c     | o..szapc      | o..szapc      |              |                                                  | Add with Carry                                                              |
| ADC                | AL   | Ib   |      |     |           |        |        | 14     |        | w        |       |          |          |       |         |       | gen         | arith                | binary       | .......c     | o..szapc      | o..szapc      |              |                                                  | Add with Carry                                                              |
| ADC                | rAX  | Ivds |      |     |           |        |        | 15     |        | W        |       |          |          |       |         |       | gen         | arith                | binary       | .......c     | o..szapc      | o..szapc      |              |                                                  | Add with Carry                                                              |
| ADC                | Eb   | Ib   |      |     |           |        |        | 80     |        | w        | 2     |          |          |       |         | L     | gen         | arith                | binary       | .......c     | o..szapc      | o..szapc      |              |                                                  | Add with Carry                                                              |
| ADC                | Evqp | Ivds |      |     |           |        |        | 81     |        | W        | 2     |          |          |       |         | L     | gen         | arith                | binary       | .......c     | o..szapc      | o..szapc      |              |                                                  | Add with Carry                                                              |
| ADC                | Evqp | Ibs  |      |     |           |        |        | 83     |        | SW       | 2     |          |          |       |         | L     | gen         | arith                | binary       | .......c     | o..szapc      | o..szapc      |              |                                                  | Add with Carry                                                              |
| ADD                | Eb   | Gb   |      |     |           |        |        | 00     |        | dw       | r     |          |          |       |         | L     | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Add                                                                         |
| ADD                | Evqp | Gvqp |      |     |           |        |        | 01     |        | dW       | r     |          |          |       |         | L     | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Add                                                                         |
| ADD                | Gb   | Eb   |      |     |           |        |        | 02     |        | Dw       | r     |          |          |       |         |       | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Add                                                                         |
| ADD                | Gvqp | Evqp |      |     |           |        |        | 03     |        | DW       | r     |          |          |       |         |       | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Add                                                                         |
| ADD                | AL   | Ib   |      |     |           |        |        | 04     |        | w        |       |          |          |       |         |       | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Add                                                                         |
| ADD                | rAX  | Ivds |      |     |           |        |        | 05     |        | W        |       |          |          |       |         |       | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Add                                                                         |
| ADD                | Eb   | Ib   |      |     |           |        |        | 80     |        | w        | 0     |          |          |       |         | L     | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Add                                                                         |
| ADD                | Evqp | Ivds |      |     |           |        |        | 81     |        | W        | 0     |          |          |       |         | L     | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Add                                                                         |
| ADD                | Evqp | Ibs  |      |     |           |        |        | 83     |        | SW       | 0     |          |          |       |         | L     | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Add                                                                         |
| ADDPD              | Vpd  | Wpd  |      |     | sse2      | 66     | 0F     | 58     |        |          | r     |          |          |       |         |       | pcksclr     | arith                |              |              |               |               |              |                                                  | Add Packed Double-FP Values                                                 |
| ADDPS              | Vps  | Wps  |      |     | sse1      |        | 0F     | 58     |        |          | r     |          |          |       |         |       | simdfp      | arith                |              |              |               |               |              |                                                  | Add Packed Single-FP Values                                                 |
| ADDSD              | Vsd  | Wsd  |      |     | sse2      | F2     | 0F     | 58     |        |          | r     |          |          |       |         |       | pcksclr     | arith                |              |              |               |               |              |                                                  | Add Scalar Double-FP Values                                                 |
| ADDSS              | Vss  | Wss  |      |     | sse1      | F3     | 0F     | 58     |        |          | r     |          |          |       |         |       | simdfp      | arith                |              |              |               |               |              |                                                  | Add Scalar Single-FP Values                                                 |
| ADDSUBPD           | Vpd  | Wpd  |      |     | sse3      | 66     | 0F     | D0     |        |          | r     |          |          |       |         |       | simdfp      | arith                |              |              |               |               |              |                                                  | Packed Double-FP Add/Subtract                                               |
