Class               | Category      | Extension     | IsaSet        | BaseCode    | Mod       | Reg       | Pattern                                                                                             | Operands
 | SAR                  | SHIFT          | BASE           | I186           | c0           | mm         | 0b111      | 0xC0 MOD[mm] MOD!=3 REG[0b111] RM[nnn] MODRM() UIMM8()                                               | MEM0:rw:b IMM0:r:b
 | SAR                  | SHIFT          | BASE           | I186           | c0           | 0b11       | 0b111      | 0xC0 MOD[0b11] MOD=3 REG[0b111] RM[nnn] UIMM8()                                                      | REG0=GPR8_B():rw IMM0:r:b
 | SAR                  | SHIFT          | BASE           | I186           | c1           | mm         | 0b111      | 0xC1 MOD[mm] MOD!=3 REG[0b111] RM[nnn] MODRM() UIMM8()                                               | MEM0:rw:v IMM0:r:b
 | SAR                  | SHIFT          | BASE           | I186           | c1           | 0b11       | 0b111      | 0xC1 MOD[0b11] MOD=3 REG[0b111] RM[nnn] UIMM8()                                                      | REG0=GPRv_B():rw IMM0:r:b
 | SAR                  | SHIFT          | BASE           | I86            | d0           | mm         | 0b111      | 0xD0 MOD[mm] MOD!=3 REG[0b111] RM[nnn] MODRM() ONE()                                                 | MEM0:rw:b IMM0:r:b:IMPL
 | SAR                  | SHIFT          | BASE           | I86            | d0           | 0b11       | 0b111      | 0xD0 MOD[0b11] MOD=3 REG[0b111] RM[nnn] ONE()                                                        | REG0=GPR8_B():rw IMM0:r:b:IMPL
 | SAR                  | SHIFT          | BASE           | I86            | d1           | mm         | 0b111      | 0xD1 MOD[mm] MOD!=3 REG[0b111] RM[nnn] MODRM() ONE()                                                 | MEM0:rw:v IMM0:r:b:IMPL
 | SAR                  | SHIFT          | BASE           | I86            | d1           | 0b11       | 0b111      | 0xD1 MOD[0b11] MOD=3 REG[0b111] RM[nnn] ONE()                                                        | REG0=GPRv_B():rw IMM0:r:b:IMPL
 | SAR                  | SHIFT          | BASE           | I86            | d2           | mm         | 0b111      | 0xD2 MOD[mm] MOD!=3 REG[0b111] RM[nnn] MODRM()                                                       | MEM0:rw:b REG0=XED_REG_CL:r:IMPL
 | SAR                  | SHIFT          | BASE           | I86            | d2           | 0b11       | 0b111      | 0xD2 MOD[0b11] MOD=3 REG[0b111] RM[nnn]                                                              | REG0=GPR8_B():rw REG1=XED_REG_CL:r:IMPL
 | SAR                  | SHIFT          | BASE           | I86            | d3           | mm         | 0b111      | 0xD3 MOD[mm] MOD!=3 REG[0b111] RM[nnn] MODRM()                                                       | MEM0:rw:v REG0=XED_REG_CL:r:IMPL
 | SAR                  | SHIFT          | BASE           | I86            | d3           | 0b11       | 0b111      | 0xD3 MOD[0b11] MOD=3 REG[0b111] RM[nnn]                                                              | REG0=GPRv_B():rw REG1=XED_REG_CL:r:IMPL
 | SHL                  | SHIFT          | BASE           | I186           | c0           | mm         | 0b100      | 0xC0 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() UIMM8()                                               | MEM0:rw:b IMM0:r:b
 | SHL                  | SHIFT          | BASE           | I186           | c0           | 0b11       | 0b100      | 0xC0 MOD[0b11] MOD=3 REG[0b100] RM[nnn] UIMM8()                                                      | REG0=GPR8_B():rw IMM0:r:b
 | SHL                  | SHIFT          | BASE           | I186           | c0           | mm         | 0b110      | 0xC0 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM() UIMM8()                                               | MEM0:rw:b IMM0:r:b
 | SHL                  | SHIFT          | BASE           | I186           | c0           | 0b11       | 0b110      | 0xC0 MOD[0b11] MOD=3 REG[0b110] RM[nnn] UIMM8()                                                      | REG0=GPR8_B():rw IMM0:r:b
 | SHL                  | SHIFT          | BASE           | I186           | c1           | mm         | 0b100      | 0xC1 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() UIMM8()                                               | MEM0:rw:v IMM0:r:b
 | SHL                  | SHIFT          | BASE           | I186           | c1           | 0b11       | 0b100      | 0xC1 MOD[0b11] MOD=3 REG[0b100] RM[nnn] UIMM8()                                                      | REG0=GPRv_B():rw IMM0:r:b
 | SHL                  | SHIFT          | BASE           | I186           | c1           | mm         | 0b110      | 0xC1 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM() UIMM8()                                               | MEM0:rw:v IMM0:r:b
 | SHL                  | SHIFT          | BASE           | I186           | c1           | 0b11       | 0b110      | 0xC1 MOD[0b11] MOD=3 REG[0b110] RM[nnn] UIMM8()                                                      | REG0=GPRv_B():rw IMM0:r:b
 | SHL                  | SHIFT          | BASE           | I86            | d0           | mm         | 0b100      | 0xD0 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() ONE()                                                 | MEM0:rw:b IMM0:r:b:IMPL
 | SHL                  | SHIFT          | BASE           | I86            | d0           | 0b11       | 0b100      | 0xD0 MOD[0b11] MOD=3 REG[0b100] RM[nnn] ONE()                                                        | REG0=GPR8_B():rw IMM0:r:b:IMPL
 | SHL                  | SHIFT          | BASE           | I86            | d0           | mm         | 0b110      | 0xD0 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM() ONE()                                                 | MEM0:rw:b IMM0:r:b:IMPL
 | SHL                  | SHIFT          | BASE           | I86            | d0           | 0b11       | 0b110      | 0xD0 MOD[0b11] MOD=3 REG[0b110] RM[nnn] ONE()                                                        | REG0=GPR8_B():rw IMM0:r:b:IMPL
 | SHL                  | SHIFT          | BASE           | I86            | d1           | mm         | 0b110      | 0xD1 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM() ONE()                                                 | MEM0:rw:v IMM0:r:b:IMPL
 | SHL                  | SHIFT          | BASE           | I86            | d1           | 0b11       | 0b110      | 0xD1 MOD[0b11] MOD=3 REG[0b110] RM[nnn] ONE()                                                        | REG0=GPRv_B():rw IMM0:r:b:IMPL
 | SHL                  | SHIFT          | BASE           | I86            | d1           | mm         | 0b100      | 0xD1 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() ONE()                                                 | MEM0:rw:v IMM0:r:b:IMPL
 | SHL                  | SHIFT          | BASE           | I86            | d1           | 0b11       | 0b100      | 0xD1 MOD[0b11] MOD=3 REG[0b100] RM[nnn] ONE()                                                        | REG0=GPRv_B():rw IMM0:r:b:IMPL
 | SHL                  | SHIFT          | BASE           | I86            | d2           | mm         | 0b100      | 0xD2 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM()                                                       | MEM0:rw:b REG0=XED_REG_CL:r:IMPL
 | SHL                  | SHIFT          | BASE           | I86            | d2           | 0b11       | 0b100      | 0xD2 MOD[0b11] MOD=3 REG[0b100] RM[nnn]                                                              | REG0=GPR8_B():rw REG1=XED_REG_CL:r:IMPL
 | SHL                  | SHIFT          | BASE           | I86            | d2           | mm         | 0b110      | 0xD2 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM()                                                       | MEM0:rw:b REG0=XED_REG_CL:r:IMPL
 | SHL                  | SHIFT          | BASE           | I86            | d2           | 0b11       | 0b110      | 0xD2 MOD[0b11] MOD=3 REG[0b110] RM[nnn]                                                              | REG0=GPR8_B():rw REG1=XED_REG_CL:r:IMPL
 | SHL                  | SHIFT          | BASE           | I86            | d3           | mm         | 0b100      | 0xD3 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM()                                                       | MEM0:rw:v REG0=XED_REG_CL:r:IMPL
 | SHL                  | SHIFT          | BASE           | I86            | d3           | 0b11       | 0b100      | 0xD3 MOD[0b11] MOD=3 REG[0b100] RM[nnn]                                                              | REG0=GPRv_B():rw REG1=XED_REG_CL:r:IMPL
 | SHL                  | SHIFT          | BASE           | I86            | d3           | mm         | 0b110      | 0xD3 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM()                                                       | MEM0:rw:v REG0=XED_REG_CL:r:IMPL
 | SHL                  | SHIFT          | BASE           | I86            | d3           | 0b11       | 0b110      | 0xD3 MOD[0b11] MOD=3 REG[0b110] RM[nnn]                                                              | REG0=GPRv_B():rw REG1=XED_REG_CL:r:IMPL
 | SHLD                 | SHIFT          | BASE           | I386           | 0f a4        | mm         | rrr        | 0x0F 0xA4 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() UIMM8()                                            | MEM0:rcw:v REG0=GPRv_R():r IMM0:r:b
