Class               | Category      | Extension     | IsaSet        | BaseCode    | Mod       | Reg       | Pattern                                                                                             | Operands
 | AND                  | LOGICAL        | BASE           | I86            | 80           | mm         | 0b100      | 0x80 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() UIMM8() nolock_prefix                                 | MEM0:rw:b IMM0:r:b
 | AND                  | LOGICAL        | BASE           | I86            | 80           | 0b11       | 0b100      | 0x80 MOD[0b11] MOD=3 REG[0b100] RM[nnn] UIMM8()                                                      | REG0=GPR8_B():rw IMM0:r:b
 | AND                  | LOGICAL        | BASE           | I86            | 81           | mm         | 0b100      | 0x81 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() SIMMz() nolock_prefix                                 | MEM0:rw:v IMM0:r:z
 | AND                  | LOGICAL        | BASE           | I86            | 81           | 0b11       | 0b100      | 0x81 MOD[0b11] MOD=3 REG[0b100] RM[nnn] SIMMz()                                                      | REG0=GPRv_B():rw IMM0:r:z
 | AND                  | LOGICAL        | BASE           | I86            | 82           | mm         | 0b100      | 0x82 MOD[mm] MOD!=3 REG[0b100] RM[nnn] not64 MODRM() UIMM8() nolock_prefix                           | MEM0:rw:b IMM0:r:b
 | AND                  | LOGICAL        | BASE           | I86            | 82           | 0b11       | 0b100      | 0x82 MOD[0b11] MOD=3 REG[0b100] RM[nnn] not64 UIMM8()                                                | REG0=GPR8_B():rw IMM0:r:b
 | AND                  | LOGICAL        | BASE           | I86            | 83           | mm         | 0b100      | 0x83 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() SIMM8() nolock_prefix                                 | MEM0:rw:v IMM0:r:b:i8
 | AND                  | LOGICAL        | BASE           | I86            | 83           | 0b11       | 0b100      | 0x83 MOD[0b11] MOD=3 REG[0b100] RM[nnn] SIMM8()                                                      | REG0=GPRv_B():rw IMM0:r:b:i8
 | AND                  | LOGICAL        | BASE           | I86            | 20           | mm         | rrr        | 0x20 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                                           | MEM0:rw:b REG0=GPR8_R():r
 | AND                  | LOGICAL        | BASE           | I86            | 20           | 0b11       | rrr        | 0x20 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                                | REG0=GPR8_B():rw REG1=GPR8_R():r
 | AND                  | LOGICAL        | BASE           | I86            | 21           | mm         | rrr        | 0x21 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                                           | MEM0:rw:v REG0=GPRv_R():r
 | AND                  | LOGICAL        | BASE           | I86            | 21           | 0b11       | rrr        | 0x21 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                                | REG0=GPRv_B():rw REG1=GPRv_R():r
 | AND                  | LOGICAL        | BASE           | I86            | 22           | 0b11       | rrr        | 0x22 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                                | REG0=GPR8_R():rw REG1=GPR8_B():r
 | AND                  | LOGICAL        | BASE           | I86            | 22           | mm         | rrr        | 0x22 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                                         | REG0=GPR8_R():rw MEM0:r:b
 | AND                  | LOGICAL        | BASE           | I86            | 23           | 0b11       | rrr        | 0x23 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                                | REG0=GPRv_R():rw REG1=GPRv_B():r
 | AND                  | LOGICAL        | BASE           | I86            | 23           | mm         | rrr        | 0x23 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                                         | REG0=GPRv_R():rw MEM0:r:v
 | AND                  | LOGICAL        | BASE           | I86            | 24           |            |            | 0x24 SIMM8()                                                                                         | REG0=XED_REG_AL:rw:IMPL IMM0:r:b:i8
 | AND                  | LOGICAL        | BASE           | I86            | 25           |            |            | 0x25 SIMMz()                                                                                         | REG0=OrAX():rw:IMPL IMM0:r:z
 | AND_LOCK             | LOGICAL        | BASE           | I86            | 80           | mm         | 0b100      | 0x80 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() UIMM8() lock_prefix                                   | MEM0:rw:b IMM0:r:b
 | AND_LOCK             | LOGICAL        | BASE           | I86            | 81           | mm         | 0b100      | 0x81 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() SIMMz() lock_prefix                                   | MEM0:rw:v IMM0:r:z
