Class               | Category      | Extension     | IsaSet        | BaseCode    | Mod       | Reg       | Pattern                                                                                             | Operands
 | BSF                  | BITBYTE        | BASE           | I386           | 0f bc        | mm         | rrr        | 0x0F 0xBC MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                                    | REG0=GPRv_R():cw MEM0:r:v
 | BSF                  | BITBYTE        | BASE           | I386           | 0f bc        | 0b11       | rrr        | 0x0F 0xBC MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                           | REG0=GPRv_R():cw REG1=GPRv_B():r
 | BSF                  | BITBYTE        | BASE           | I386           | 0f bc        | mm         | rrr        | 0x0F 0xBC not_refining_f3 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                    | REG0=GPRv_R():cw MEM0:r:v
 | BSF                  | BITBYTE        | BASE           | I386           | 0f bc        | 0b11       | rrr        | 0x0F 0xBC not_refining_f3 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                           | REG0=GPRv_R():cw REG1=GPRv_B():r
 | BSF                  | BITBYTE        | BASE           | I386           | 0f bc        | mm         | rrr        | 0x0F 0xBC refining_f3 TZCNT=0 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                | REG0=GPRv_R():cw MEM0:r:v
 | BSF                  | BITBYTE        | BASE           | I386           | 0f bc        | 0b11       | rrr        | 0x0F 0xBC refining_f3 TZCNT=0 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=GPRv_R():cw REG1=GPRv_B():r
 | BSR                  | BITBYTE        | BASE           | I386           | 0f bd        | mm         | rrr        | 0x0F 0xBD  MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                                   | REG0=GPRv_R():cw MEM0:r:v
 | BSR                  | BITBYTE        | BASE           | I386           | 0f bd        | 0b11       | rrr        | 0x0F 0xBD  MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                          | REG0=GPRv_R():cw REG1=GPRv_B():r
 | BSR                  | BITBYTE        | BASE           | I386           | 0f bd        | mm         | rrr        | 0x0F 0xBD not_refining_f3 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                    | REG0=GPRv_R():cw MEM0:r:v
 | BSR                  | BITBYTE        | BASE           | I386           | 0f bd        | 0b11       | rrr        | 0x0F 0xBD not_refining_f3 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                           | REG0=GPRv_R():cw REG1=GPRv_B():r
