# LOADED_IMAGE_SCN - https://docs.microsoft.com/en-us/windows/win32/api/dbghelp/ns-dbghelp-loaded_image
-----------------------------------------------------------------------------------------------------------------------
| Name                               | Value  | Meaning                                                               |
| IMAGE_FILE_RELOCS_STRIPPED         | 0x0001 | Relocation information is stripped from the file.                     |
| IMAGE_FILE_EXECUTABLE_IMAGE        | 0x0002 | The file is executable (there are no unresolved external references). |
| IMAGE_FILE_LINE_NUMS_STRIPPED      | 0x0004 | Line numbers are stripped from the file.                              |
| IMAGE_FILE_LOCAL_SYMS_STRIPPED     | 0x0008 | Local symbols are stripped from file.                                 |
| IMAGE_FILE_AGGRESIVE_WS_TRIM       | 0x0010 | Aggressively trim the working set.                                    |
| IMAGE_FILE_LARGE_ADDRESS_AWARE     | 0x0020 | The application can handle addresses larger than 2 GB.                |
| IMAGE_FILE_BYTES_REVERSED_LO       | 0x0080 | Bytes of word are reversed.                                           |
| IMAGE_FILE_32BIT_MACHINE           | 0x0100 | Computer supports 32-bit words.                                       |
| IMAGE_FILE_DEBUG_STRIPPED          | 0x0200 | Debugging information is stored separately in a .dbg file.            |
| IMAGE_FILE_REMOVABLE_RUN_FROM_SWAP | 0x0400 | If the image is on removable media, copy and run from the swap file.  |
| IMAGE_FILE_NET_RUN_FROM_SWAP       | 0x0800 | If the image is on the network, copy and run from the swap file.      |
| IMAGE_FILE_SYSTEM                  | 0x1000 | System file.                                                          |
| IMAGE_FILE_DLL                     | 0x2000 | DLL file.                                                             |
| IMAGE_FILE_UP_SYSTEM_ONLY          | 0x4000 | File should be run only on a uniprocessor computer.                   |
| IMAGE_FILE_BYTES_REVERSED_HI       | 0x8000 | Bytes of the word are reversed.                                       |
