64-bit GP register layout
-------------------------------------------------------------------------------
| [63:0] | [31:0] | [15:0] | [7:0] | [15:8]
| rax    | eax    | ax     | al    | ah
| rcx    | ecx    | cx     | cl    | ch
| rdx    | edx    | dx     | dl    | dh
| rbx    | ebx    | bx     | bl    | bh
| rsi    | esi    | si     | sil   |
| rdi    | edi    | di     | dil   |
| rsp    | esp    | sp     | spl   |
| rbp    | ebp    | bp     | bpl   |
| r8     | r8d    | r8w    | r8b   |
| r9     | r9d    | r9w    | r9b   |
| r10    | r10d   | r10w   | r10b  |
| r11    | r11d   | r11w   | r11b  |
| r12    | r12d   | r12w   | r12b  |
| r13    | r13d   | r13w   | r13b  |
| r14    | r14d   | r14w   | r14b  |
| r15    | r15d   | r15w   | r15b  |

YMM register layout
-------------------------------------------------------------------------------
| [255:0] | [127:0] |
| YMM0    | XMM0    |
| YMM1    | XMM1    |
| YMM2    | XMM2    |
| YMM3    | XMM3    |
| YMM4    | XMM4    |
| YMM5    | XMM5    |
| YMM6    | XMM6    |
| YMM7    | XMM7    |
| YMM8    | XMM8    |
| YMM9    | XMM9    |
| YMM10   | XMM10   |
| YMM11   | XMM11   |
| YMM12   | XMM12   |
| YMM13   | XMM13   |
| YMM14   | XMM14   |
| YMM15   | XMM15   |

ZMM register layout
-------------------------------------------------------------------------------
| [511:0] | [255:0] | [127:0] |
| ZMM0    | YMM0    | XMM0    |
| ZMM1    | YMM1    | XMM1    |
| ZMM2    | YMM2    | XMM2    |
| ZMM3    | YMM3    | XMM3    |
| ZMM4    | YMM4    | XMM4    |
| ZMM5    | YMM5    | XMM5    |
| ZMM6    | YMM6    | XMM6    |
| ZMM7    | YMM7    | XMM7    |
| ZMM8    | YMM8    | XMM8    |
| ZMM9    | YMM9    | XMM9    |
| ZMM10   | YMM10   | XMM10   |
| ZMM11   | YMM11   | XMM11   |
| ZMM12   | YMM12   | XMM12   |
| ZMM13   | YMM13   | XMM13   |
| ZMM14   | YMM14   | XMM14   |
| ZMM15   | YMM15   | XMM15   |
| ZMM16   | YMM16   | XMM16   |
| ZMM17   | YMM17   | XMM17   |
| ZMM18   | YMM18   | XMM18   |
| ZMM19   | YMM19   | XMM19   |
| ZMM20   | YMM20   | XMM20   |
| ZMM21   | YMM21   | XMM21   |
| ZMM22   | YMM22   | XMM22   |
| ZMM23   | YMM23   | XMM23   |
| ZMM24   | YMM24   | XMM24   |
| ZMM25   | YMM25   | XMM25   |
| ZMM26   | YMM26   | XMM26   |
| ZMM27   | YMM27   | XMM27   |
| ZMM28   | YMM28   | XMM28   |
| ZMM29   | YMM29   | XMM29   |
| ZMM30   | YMM30   | XMM30   |
| ZMM31   | YMM31   | XMM31   |
