Sequence   | Mnemonic                 | Expression                     | Instruction                                                  | M16      | M32      | M64      | CpuId      | Id                                                
0          | <db>                     | <db>                           | <db>                                                         | Y        | Y        | Y        | 8086+      | DeclareByte                                       
1          | <dd>                     | <dd>                           | <dd>                                                         | Y        | Y        | Y        | 8086+      | DeclareDword                                      
2          | <dq>                     | <dq>                           | <dq>                                                         | Y        | Y        | Y        | 8086+      | DeclareQword                                      
3          | <dw>                     | <dw>                           | <dw>                                                         | Y        | Y        | Y        | 8086+      | DeclareWord                                       
4          | AAA                      | 37                             | AAA                                                          | Y        | Y        | N        | 8086+      | Aaa                                               
5          | AAD                      | D5 ib                          | AAD imm8                                                     | Y        | Y        | N        | 8086+      | Aad_imm8                                          
6          | AAM                      | D4 ib                          | AAM imm8                                                     | Y        | Y        | N        | 8086+      | Aam_imm8                                          
7          | AAS                      | 3F                             | AAS                                                          | Y        | Y        | N        | 8086+      | Aas                                               
8          | ADC                      | 10 /r                          | ADC r/m8, r8                                                 | Y        | Y        | Y        | 8086+      | Adc_rm8_r8                                        
9          | ADC                      | 11 /r                          | ADC r/m16, r16                                               | Y        | Y        | Y        | 8086+      | Adc_rm16_r16                                      
10         | ADC                      | 11 /r                          | ADC r/m32, r32                                               | Y        | Y        | Y        | 386+       | Adc_rm32_r32                                      
11         | ADC                      | REX.W 11 /r                    | ADC r/m64, r64                                               | N        | N        | Y        | X64        | Adc_rm64_r64                                      
12         | ADC                      | 12 /r                          | ADC r8, r/m8                                                 | Y        | Y        | Y        | 8086+      | Adc_r8_rm8                                        
13         | ADC                      | 13 /r                          | ADC r16, r/m16                                               | Y        | Y        | Y        | 8086+      | Adc_r16_rm16                                      
14         | ADC                      | 13 /r                          | ADC r32, r/m32                                               | Y        | Y        | Y        | 386+       | Adc_r32_rm32                                      
15         | ADC                      | REX.W 13 /r                    | ADC r64, r/m64                                               | N        | N        | Y        | X64        | Adc_r64_rm64                                      
16         | ADC                      | 14 ib                          | ADC AL, imm8                                                 | Y        | Y        | Y        | 8086+      | Adc_AL_imm8                                       
17         | ADC                      | 15 id                          | ADC EAX, imm32                                               | Y        | Y        | Y        | 386+       | Adc_EAX_imm32                                     
18         | ADC                      | REX.W 15 id                    | ADC RAX, imm32                                               | N        | N        | Y        | X64        | Adc_RAX_imm32                                     
19         | ADC                      | 15 iw                          | ADC AX, imm16                                                | Y        | Y        | Y        | 8086+      | Adc_AX_imm16                                      
20         | ADC                      | 80 /2 ib                       | ADC r/m8, imm8                                               | Y        | Y        | Y        | 8086+      | Adc_rm8_imm8                                      
21         | ADC                      | 81 /2 id                       | ADC r/m32, imm32                                             | Y        | Y        | Y        | 386+       | Adc_rm32_imm32                                    
22         | ADC                      | REX.W 81 /2 id                 | ADC r/m64, imm32                                             | N        | N        | Y        | X64        | Adc_rm64_imm32                                    
23         | ADC                      | 81 /2 iw                       | ADC r/m16, imm16                                             | Y        | Y        | Y        | 8086+      | Adc_rm16_imm16                                    
24         | ADC                      | 82 /2 ib                       | ADC r/m8, imm8                                               | Y        | Y        | N        | 8086+      | Adc_rm8_imm8_82                                   
25         | ADC                      | 83 /2 ib                       | ADC r/m16, imm8                                              | Y        | Y        | Y        | 8086+      | Adc_rm16_imm8                                     
26         | ADC                      | 83 /2 ib                       | ADC r/m32, imm8                                              | Y        | Y        | Y        | 386+       | Adc_rm32_imm8                                     
27         | ADC                      | REX.W 83 /2 ib                 | ADC r/m64, imm8                                              | N        | N        | Y        | X64        | Adc_rm64_imm8                                     
28         | ADCX                     | 66 0F 38 F6 /r                 | ADCX r32, r/m32                                              | Y        | Y        | Y        | ADX        | Adcx_r32_rm32                                     
29         | ADCX                     | 66 REX.W 0F 38 F6 /r           | ADCX r64, r/m64                                              | N        | N        | Y        | ADX        | Adcx_r64_rm64                                     
30         | ADD                      | 00 /r                          | ADD r/m8, r8                                                 | Y        | Y        | Y        | 8086+      | Add_rm8_r8                                        
31         | ADD                      | 01 /r                          | ADD r/m16, r16                                               | Y        | Y        | Y        | 8086+      | Add_rm16_r16                                      
32         | ADD                      | 01 /r                          | ADD r/m32, r32                                               | Y        | Y        | Y        | 386+       | Add_rm32_r32                                      
33         | ADD                      | REX.W 01 /r                    | ADD r/m64, r64                                               | N        | N        | Y        | X64        | Add_rm64_r64                                      
34         | ADD                      | 02 /r                          | ADD r8, r/m8                                                 | Y        | Y        | Y        | 8086+      | Add_r8_rm8                                        
35         | ADD                      | 03 /r                          | ADD r16, r/m16                                               | Y        | Y        | Y        | 8086+      | Add_r16_rm16                                      
36         | ADD                      | 03 /r                          | ADD r32, r/m32                                               | Y        | Y        | Y        | 386+       | Add_r32_rm32                                      
37         | ADD                      | REX.W 03 /r                    | ADD r64, r/m64                                               | N        | N        | Y        | X64        | Add_r64_rm64                                      
38         | ADD                      | 04 ib                          | ADD AL, imm8                                                 | Y        | Y        | Y        | 8086+      | Add_AL_imm8                                       
39         | ADD                      | 05 id                          | ADD EAX, imm32                                               | Y        | Y        | Y        | 386+       | Add_EAX_imm32                                     
40         | ADD                      | REX.W 05 id                    | ADD RAX, imm32                                               | N        | N        | Y        | X64        | Add_RAX_imm32                                     
41         | ADD                      | 05 iw                          | ADD AX, imm16                                                | Y        | Y        | Y        | 8086+      | Add_AX_imm16                                      
42         | ADD                      | 80 /0 ib                       | ADD r/m8, imm8                                               | Y        | Y        | Y        | 8086+      | Add_rm8_imm8                                      
43         | ADD                      | 81 /0 id                       | ADD r/m32, imm32                                             | Y        | Y        | Y        | 386+       | Add_rm32_imm32                                    
44         | ADD                      | REX.W 81 /0 id                 | ADD r/m64, imm32                                             | N        | N        | Y        | X64        | Add_rm64_imm32                                    
45         | ADD                      | 81 /0 iw                       | ADD r/m16, imm16                                             | Y        | Y        | Y        | 8086+      | Add_rm16_imm16                                    
46         | ADD                      | 82 /0 ib                       | ADD r/m8, imm8                                               | Y        | Y        | N        | 8086+      | Add_rm8_imm8_82                                   
47         | ADD                      | 83 /0 ib                       | ADD r/m16, imm8                                              | Y        | Y        | Y        | 8086+      | Add_rm16_imm8                                     
48         | ADD                      | 83 /0 ib                       | ADD r/m32, imm8                                              | Y        | Y        | Y        | 386+       | Add_rm32_imm8                                     
49         | ADD                      | REX.W 83 /0 ib                 | ADD r/m64, imm8                                              | N        | N        | Y        | X64        | Add_rm64_imm8                                     
