# WellKnown
----------------------------------------------------------------------------------------------------------
| Property                       | Reserved or well-known | Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | Example                                                                         |
| MSBuildProjectDirectoryNoRoot  | Reserved               | The value of the MSBuildProjectDirectory property, excluding the root drive. Do not include the final backslash on this property.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Source\Repos\ConsoleApp1\ConsoleApp1                                            |
| MSBuildProjectExtension        | Reserved               | The file name extension of the project file, including the period; for example, .proj .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | .csproj                                                                         |
| MSBuildProjectFile             | Reserved               | The complete file name of the project file, including the file name extension; for example, MyApp.proj .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | ConsoleApp1.csproj                                                              |
| MSBuildProjectFullPath         | Reserved               | The absolute path and complete file name of the project file, including the file name extension; for example, C:\MyCompany\MyProduct\MyApp.proj .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | c:\Source\Repos\ConsoleApp1\ConsoleApp1\ConsoleApp1.csproj                      |
| MSBuildProjectName             | Reserved               | The file name of the project file without the file name extension; for example, MyApp .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | ConsoleApp1                                                                     |
| MSBuildRuntimeType             | Reserved               | The type of the runtime that is currently executing. Introduced in MSBuild 15. Value may be undefined (prior to MSBuild 15), Full indicating that MSBuild is running on the desktop .NET Framework, Core indicating that MSBuild is running on .NET Core (for example in dotnet build ), or Mono indicating that MSBuild is running on Mono.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | Full                                                                            |
| MSBuildStartupDirectory        | Reserved               | The absolute path of the folder where MSBuild is called. By using this property, you can build everything below a specific point in a project tree without creating <dirs>.proj files in every directory. Instead, you have just one project—for example, c:\traversal.proj , as shown here: <Project ...> <ItemGroup> <ProjectFiles Include="$ (MSBuildStartupDirectory) **\*.csproj"/> </ItemGroup> <Target Name="build"> <MSBuild Projects="@(ProjectFiles)"/> </Target> </Project> To build at any point in the tree, type: msbuild c:\traversal.proj Do not include the final backslash on this property.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | c:\Source\Repos\ConsoleApp1                                                     |
| MSBuildThisFile                | Reserved               | The file name and file extension portion of MSBuildThisFileFullPath .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | ConsoleApp1.csproj                                                              |
| MSBuildThisFileDirectory       | Reserved               | The directory portion of MSBuildThisFileFullPath . Include the final backslash in the path.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | c:\Source\Repos\ConsoleApp1\ConsoleApp1\                                        |
| MSBuildThisFileDirectoryNoRoot | Reserved               | The directory portion of MSBuildThisFileFullPath , excluding the root drive. Include the final backslash in the path.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Source\Repos\ConsoleApp1\ConsoleApp1\                                           |
| MSBuildThisFileExtension       | Reserved               | The file name extension portion of MSBuildThisFileFullPath .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | .csproj                                                                         |
| MSBuildThisFileFullPath        | Reserved               | The absolute path of the project or targets file that contains the target that is running. Tip: You can specify a relative path in a targets file that's relative to the targets file and not relative to the original project file.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | c:\Source\Repos\ConsoleApp1\ConsoleApp1\ConsoleApp1.csproj                      |
| MSBuildThisFileName            | Reserved               | The file name portion of MSBuildThisFileFullPath , without the file name extension.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | ConsoleApp1                                                                     |
| MSBuildToolsPath               | Reserved               | The installation path of the MSBuild version that's associated with the value of MSBuildToolsVersion . Do not include the final backslash in the path. This property cannot be overridden.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | C:\Program Files (x86)\Microsoft Visual Studio\2019\Preview\MSBuild\Current\Bin |
| MSBuildToolsVersion            | Reserved               | The version of the MSBuild Toolset that is used to build the project. Note: An MSBuild Toolset consists of tasks, targets, and tools that are used to build an application. The tools include compilers such as csc.exe and vbc.exe . For more information, see Toolset (ToolsVersion) , and Standard and custom Toolset configurations .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | Current                                                                         |
| MSBuildVersion                 | Reserved               | The version of MSBuild used to build the project. This property can't be overridden, otherwise the error message MSB4004 - The 'MSBuildVersion' property is reserved, and can not be modified. is returned.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 16.7.0                                                                          |

## Description
The table in this section shows the MSBuild predefined properties. The example column in the table relates to the 
following example project file, assumed to be located at C:\Source\Repos\ConsoleApp1\ConsoleApp1, and shows the values 
of these properties have when accessed in the project file, when MSBuild is invoked with no special command-line options, 
with a preview build of Visual Studio 2019 version 16.7 installed

# Reference
----------------------------------------------------------------------------------------------------------
| Name            | Description                                                                                                                                                                                                |
| HintPath        | Optional string. Relative or absolute path of the assembly.                                                                                                                                                |
| Name            | Optional string. The display name of the assembly, for example, "System.Windows.Forms."                                                                                                                    |
| FusionName      | Optional string. Specifies the simple or strong fusion name for the item. When this attribute is present, it can save time because the assembly file does not have to be opened to obtain the fusion name. |
| SpecificVersion | Optional boolean. Specifies whether only the version in the fusion name should be referenced.                                                                                                              |
| Aliases         | Optional string. Any aliases for the reference.                                                                                                                                                            |
| Private         | Optional boolean. Specifies whether the reference should be copied to the output folder. This attribute matches the Copy Local property of the reference that's in the Visual Studio IDE.                  |

## Represents an assembly (managed) reference in the project.

# ProjectReference
----------------------------------------------------------------------------------------------------------
| Name                    | Description                                                                                                                                                                                                   |
| Name                    | Optional string. The display name of the reference.                                                                                                                                                           |
| Project                 | Optional string. A GUID for the reference, in the form {12345678-1234-1234-1234-1234567891234}.                                                                                                               |
| Package                 | Optional string. The path of the project file that is being referenced.                                                                                                                                       |
| ReferenceOutputAssembly | Optional boolean. If set to false , does not include the output of the referenced project as a Reference of this project, but still ensures that the other project builds before this one. Defaults to true . |

## Description
----------------------------------------------------------------------------------------------------------
Represents a reference to another project. ProjectReference items are transformed into Reference items by 
the ResolveProjectReferences target, so any valid metadata on a Reference may be valid on ProjectReference, 
if the transformation process doesn't overwrite it.

# Compile
----------------------------------------------------------------------------------------------------------
| Name                  | Description                                                                                                                               |
| DependentUpon         | Optional string. Specifies the file this file depends on to compile correctly.                                                            |
| AutoGen               | Optional boolean. Indicates whether the file was generated for the project by the Visual Studio integrated development environment (IDE). |
| Link                  | Optional string. The notational path to be displayed when the file is physically located outside the influence of the project file.       |
| Visible               | Optional boolean. Indicates whether to display the file in Solution Explorer in Visual Studio.                                            |
| CopyToOutputDirectory | Optional string. Determines whether to copy the file to the output directory. Values are: 1. Never 2. Always 3. PreserveNewest            |

## Represents the source files for the compiler.

# EmbeddedResource
----------------------------------------------------------------------------------------------------------
| Name                  | Description                                                                                                                    |
| DependentUpon         | Optional string. Specifies the file this file depends on to compile correctly                                                  |
| Generator             | Required string. The name of any file generator that is run on this item.                                                      |
| LastGenOutput         | Required string. The name of the file that was created by any file generator that ran on this item.                            |
| CustomToolNamespace   | Required string. The namespace in which any file generator that runs on this item should create code.                          |
| Link                  | Optional string. The notational path is displayed if the file is physically located outside the influence of the project.      |
| Visible               | Optional boolean. Indicates whether to display the file in Solution Explorer in Visual Studio.                                 |
| CopyToOutputDirectory | Optional string. Determines whether to copy the file to the output directory. Values are: 1. Never 2. Always 3. PreserveNewest |
| LogicalName           | Required string. The logical name of the embedded resource.                                                                    |

## Represents resources to be embedded in the generated assembly.

# Common properties and parameters
----------------------------------------------------------------------------------------------------------
| Name                               | ProjectTypes | Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| AdditionalLibPaths                 | .NET         | Specifies additional folders in which compilers should look for reference assemblies.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| AddModules                         | .NET         | Causes the compiler to make all type information from the specified files available to the project you are compiling. This property is equivalent to the /addModules compiler switch.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| ALToolPath                         | .NET         | The path where AL.exe can be found. This property overrides the current version of AL.exe to enable use of a different version.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| ApplicationIcon                    | .NET         | The .ico icon file to pass to the compiler for embedding as a Win32 icon. The property is equivalent to the /win32icon compiler switch.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| ApplicationManifest                | All          | Specifies the path of the file that is used to generate external User Account Control (UAC) manifest information. Applies only to Visual Studio projects targeting Windows Vista. In most cases, the manifest is embedded. However, if you use Registration Free COM or ClickOnce deployment, then the manifest can be an external file that is installed together with your application assemblies. For more information, see the NoWin32Manifest property in this topic.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| AssemblyOriginatorKeyFile          | .NET         | Specifies the file that's used to sign the assembly ( .snk or .pfx ) and that's passed to the ResolveKeySource task to generate the actual key that's used to sign the assembly.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| AssemblySearchPaths                | .NET         | A list of locations to search during build-time reference assembly resolution. The order in which paths appear in this list is meaningful because paths listed earlier takes precedence over later entries.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| AssemblyName                       | .NET         | The name of the final output assembly after the project is built.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| BaseAddress                        | .NET         | Specifies the base address of the main output assembly. This property is equivalent to the /baseaddress compiler switch.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| BaseIntermediateOutputPath         | All          | The top-level folder where all configuration-specific intermediate output folders are created. The default value is obj\ . The following code is an example: <BaseIntermediateOutputPath>c:\xyz\obj\</BaseIntermediateOutputPath>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| BaseOutputPath                     | All          | Specifies the base path for the output file. If it is set, MSBuild will use OutputPath = $(BaseOutputPath)\$(Configuration)\ . Example syntax: <BaseOutputPath>c:\xyz\bin\</BaseOutputPath>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| BuildInParallel                    | All          | A boolean value that indicates whether project references are built or cleaned in parallel when Multi-Proc MSBuild is used. The default value is true , which means that projects will be built in parallel if the system has multiple cores or processors.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| BuildProjectReferences             | All          | A boolean value that indicates whether project references are built by MSBuild. Automatically set to false if you are building your project in the Visual Studio integrated development environment (IDE), true if otherwise. -p:BuildProjectReferences=false can be specified on the command line to avoid checking that referenced projects are up to date.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| CleanFile                          | All          | The name of the file that will be used as the "clean cache." The clean cache is a list of generated files to be deleted during the cleaning operation. The file is put in the intermediate output path by the build process. This property specifies only file names that do not have path information.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| CodePage                           | .NET         | Specifies the code page to use for all source-code files in the compilation. This property is equivalent to the /codepage compiler switch.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| CompilerResponseFile               | .NET         | An optional response file that can be passed to the compiler tasks.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Configuration                      | All          | The configuration that you are building, generally Debug or Release , but configurable at the solution and project levels.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| CscToolPath                        | C#           | The path of csc.exe , the C# compiler.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| CustomBeforeMicrosoftCommonTargets | All          | The name of a project file or targets file that is to be imported automatically before the common targets import.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| DebugSymbols                       | All          | A boolean value that indicates whether symbols are generated by the build. Setting -p:DebugSymbols=false on the command line disables generation of program database ( .pdb ) symbol files.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| DebugType                          | All          | Defines the level of debug information that you want generated. Valid values are "full," "pdbonly," "portable", "embedded", and "none."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| DefineConstants                    | .NET         | Defines conditional compiler constants. Symbol/value pairs are separated by semicolons and are specified by using the following syntax: symbol1 = value1 ; symbol2 = value2 The property is equivalent to the /define compiler switch.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| DefineDebug                        | All          | A boolean value that indicates whether you want the DEBUG constant defined.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| DefineTrace                        | All          | A boolean value that indicates whether you want the TRACE constant defined.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| DelaySign                          | .NET         | A boolean value that indicates whether you want to delay-sign the assembly rather than full-sign it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Deterministic                      | .NET         | A boolean value that indicates whether the compiler should produce identical assemblies for identical inputs. This parameter corresponds to the /deterministic switch of the compilers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| DisableFastUpToDateCheck           | All          | A boolean value that applies to Visual Studio only. The Visual Studio build manager uses a process called FastUpToDateCheck to determine whether a project must be rebuilt to be up to date. This process is faster than using MSBuild to determine this. Setting the DisableFastUpToDateCheck property to true lets you bypass the Visual Studio build manager and force it to use MSBuild to determine whether the project is up to date.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| DocumentationFile                  | .NET         | The name of the file that is generated as the XML documentation file. This name includes only the file name and has no path information.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| ErrorReport                        | .NET         | Specifies how the compiler task should report internal compiler errors. Valid values are "prompt," "send," or "none." This property is equivalent to the /errorreport compiler switch.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| ExcludeDeploymentUrl               | .NET         | The GenerateDeploymentManifest task adds a deploymentProvider tag to the deployment manifest if the project file includes any of the following elements: - UpdateUrl - InstallUrl - PublishUrl Using ExcludeDeploymentUrl, however, you can prevent the deploymentProvider tag from being added to the deployment manifest even if any of the above URLs are specified. To do this, add the following property to your project file: <ExcludeDeploymentUrl>true</ExcludeDeploymentUrl> Note: ExcludeDeploymentUrl is not exposed in the Visual Studio IDE and can be set only by manually editing the project file. Setting this property does not affect publishing within Visual Studio; that is, the deploymentProvider tag will still be added to the URL specified by PublishUrl.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| FileAlignment                      | .NET         | Specifies, in bytes, where to align the sections of the output file. Valid values are 512, 1024, 2048, 4096, 8192. This property is equivalent to the /filealignment compiler switch.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| FrameworkPathOverride              | Visual Basic | Specifies the location of mscorlib.dll and microsoft.visualbasic.dll . This parameter is equivalent to the /sdkpath switch of the vbc.exe compiler.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| GenerateDocumentation              | .NET         | A boolean parameter that indicates whether documentation is generated by the build. If true , the build generates documentation information and puts it in an .xml file together with the name of the executable file or library that the build task created.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| GenerateFullPaths                  | C#           | Generate full paths for filenames in output by using the -fullpaths compiler option.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| GenerateSerializationAssemblies    | .NET         | Indicates whether XML serialization assemblies should be generated by SGen.exe , which can be set to on, auto, or off. This property is used for assemblies that target .NET Framework only. To generate XML serialization assemblies for .NET Standard or .NET Core assemblies, reference the Microsoft.XmlSerializer.Generator NuGet package.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| IntermediateOutputPath             | All          | The full intermediate output path as derived from BaseIntermediateOutputPath , if no path is specified. For example, \obj\debug\ .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| KeyContainerName                   | All          | The name of the strong-name key container.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| KeyOriginatorFile                  | All          | The name of the strong-name key file.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| ModuleAssemblyName                 | .NET         | The name of the assembly that the compiled module is to be incorporated into. The property is equivalent to the /moduleassemblyname compiler switch.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| MSBuildProjectExtensionsPath       | All          | Specifies the path where project extensions are located. By default, this takes the same value as BaseIntermediateOutputPath .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| NoLogo                             | All          | A boolean value that indicates whether you want compiler logo to be turned off. This property is equivalent to the /nologo compiler switch.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| NoStdLib                           | .NET         | A boolean value that indicates whether to avoid referencing the standard library ( mscorlib.dll ). The default value is false .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| NoVBRuntimeReference               | Visual Basic | A boolean value that indicates whether the Visual Basic runtime ( Microsoft.VisualBasic.dll ) should be included as a reference in the project.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| NoWarn                             | .NET         | Suppresses the specified warnings. Only the numeric part of the warning identifier must be specified. Multiple warnings are separated by semicolons. This parameter corresponds to the /nowarn switch of the compilers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| NoWin32Manifest                    | .NET         | A boolean value that indicates whether User Account Control (UAC) manifest information will be embedded in the application's executable. Applies only to Visual Studio projects targeting Windows Vista. In projects deployed using ClickOnce and Registration-Free COM, this element is ignored. False (the default value) specifies that User Account Control (UAC) manifest information be embedded in the application's executable. True specifies that UAC manifest information not be embedded. This property applies only to Visual Studio projects targeting Windows Vista. In projects deployed using ClickOnce and Registration-Free COM, this property is ignored. You should add NoWin32Manifest only if you do not want Visual Studio to embed any manifest information in the application's executable; this process is called virtualization . To use virtualization, set <ApplicationManifest> in conjunction with <NoWin32Manifest> as follows: - For Visual Basic projects, remove the <ApplicationManifest> node. (In Visual Basic projects, <NoWin32Manifest> is ignored when an <ApplicationManifest> node exists.) - For C# projects, set <ApplicationManifest> to False and <NoWin32Manifest> to True . (In C# projects, <ApplicationManifest> overrides <NoWin32Manifest> .) This property is equivalent to the /nowin32manifest compiler switch of vbc.exe . |
| Optimize                           | .NET         | A boolean value that when set to true , enables compiler optimizations. This property is equivalent to the /optimize compiler switch.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| OptionCompare                      | VisualBasic  | Specifies how string comparisons are made. Valid values are "binary" or "text." This property is equivalent to the /optioncompare compiler switch of vbc.exe .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| OptionExplicit                     | Visual Basic | A boolean value that when set to true , requires explicit declaration of variables in the source code. This property is equivalent to the /optionexplicit compiler switch.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
