# ILOpcodes - https://en.wikipedia.org/wiki/List_of_CIL_instructions
----------------------------------------------------------------------------------------------------------
| Opcode    | Instruction                            | Description                                                                                                                                          | Kind      |
| 0x58      | add                                    | Add two values, returning a new value.                                                                                                               | Base instruction         |
| 0xD6      | add.ovf                                | Add signed integer values with ov er f low check.                                                                                                    | Base instruction         |
| 0xD7      | add.ovf.un                             | Add unsigned integer values with ov er f low check.                                                                                                  | Base instruction         |
| 0x5F      | and                                    | Bitwise AND of two integral values, returns an integral value.                                                                                       | Base instruction         |
| 0xFE 0x00 | arglist                                | Return arg ument list handle for the current method.                                                                                                 | Base instruction         |
| 0x3B      | beq <int32 (target)>                   | B ranch to target if eq ual.                                                                                                                         | Base instruction         |
| 0x2E      | beq.s <int8 (target)>                  | B ranch to target if eq ual, s hort form.                                                                                                            | Base instruction         |
| 0x3C      | bge <int32 (target)>                   | B ranch to target if g reater than or e qual to.                                                                                                     | Base instruction         |
| 0x2F      | bge.s <int8 (target)>                  | B ranch to target if g reater than or e qual to, s hort form.                                                                                        | Base instruction         |
| 0x41      | bge.un <int32 (target)>                | B ranch to target if g reater than or e qual to ( un signed or un ordered).                                                                          | Base instruction         |
| 0x34      | bge.un.s <int8 (target)>               | B ranch to target if g reater than or e qual to ( un signed or un ordered), s hort form.                                                             | Base instruction         |
| 0x3D      | bgt <int32 (target)>                   | B ranch to target if g reater t han.                                                                                                                 | Base instruction         |
| 0x30      | bgt.s <int8 (target)>                  | B ranch to target if g reater t han, s hort form.                                                                                                    | Base instruction         |
| 0x42      | bgt.un <int32 (target)>                | B ranch to target if g reater t han ( un signed or un ordered).                                                                                      | Base instruction         |
| 0x35      | bgt.un.s <int8 (target)>               | B ranch to target if g reater t han ( un signed or un ordered), s hort form.                                                                         | Base instruction         |
| 0x3E      | ble <int32 (target)>                   | B ranch to target if l ess than or e qual to.                                                                                                        | Base instruction         |
| 0x31      | ble.s <int8 (target)>                  | B ranch to target if l ess than or e qual to, short form.                                                                                            | Base instruction         |
| 0x43      | ble.un <int32 (target)>                | B ranch to target if l ess than or e qual to ( un signed or un ordered).                                                                             | Base instruction         |
| 0x36      | ble.un.s <int8 (target)>               | B ranch to target if l ess than or e qual to ( un signed or un ordered), s hort form.                                                                | Base instruction         |
| 0x3F      | blt <int32 (target)>                   | B ranch to target if l ess t han.                                                                                                                    | Base instruction         |
| 0x32      | blt.s <int8 (target)>                  | B ranch to target if l ess t han, s hort form.                                                                                                       | Base instruction         |
| 0x44      | blt.un <int32 (target)>                | B ranch to target if l ess t han ( un signed or un ordered).                                                                                         | Base instruction         |
| 0x37      | blt.un.s <int8 (target)>               | B ranch to target if l ess t han ( un signed or un ordered), s hort form.                                                                            | Base instruction         |
| 0x40      | bne.un <int32 (target)>                | B ranch to target if une qual or un ordered.                                                                                                         | Base instruction         |
| 0x33      | bne.un.s <int8 (target)>               | B ranch to target if une qual or un ordered, s hort form.                                                                                            | Base instruction         |
| 0x8C      | box <typeTok>                          | Convert a box able value to its box ed form.                                                                                                         | Object model instruction |
| 0x38      | br <int32 (target)>                    | Br anch to target.                                                                                                                                   | Base instruction         |
| 0x2B      | br.s <int8 (target)>                   | Br anch to target, s hort form.                                                                                                                      | Base instruction         |
| 0x01      | break                                  | Inform a debugger that a break point has been reached.                                                                                               | Base instruction         |
| 0x39      | brfalse <int32 (target)>               | Br anch to target if value is zero ( false ).                                                                                                        | Base instruction         |
| 0x2C      | brfalse.s <int8 (target)>              | Br anch to target if value is zero ( false ), s hort form.                                                                                           | Base instruction         |
| 0x3A      | brinst <int32 (target)>                | Br anch to target if value is a non-null object reference (alias for brtrue ).                                                                       | Base instruction         |
| 0x2D      | brinst.s <int8 (target)>               | Br anch to target if value is a non-null object reference, s hort form (alias for brtrue.s ).                                                        | Base instruction         |
| 0x39      | brnull <int32 (target)>                | Br anch to target if value is null (alias for brfalse ).                                                                                             | Base instruction         |
| 0x2C      | brnull.s <int8 (target)>               | Br anch to target if value is null (alias for brfalse.s ), s hort form.                                                                              | Base instruction         |
| 0x3A      | brtrue <int32 (target)>                | Br anch to target if value is non-zero ( true ).                                                                                                     | Base instruction         |
| 0x2D      | brtrue.s <int8 (target)>               | Br anch to target if value is non-zero ( true ), s hort form.                                                                                        | Base instruction         |
| 0x39      | brzero <int32 (target)>                | Br anch to target if value is zero (alias for brfalse ).                                                                                             | Base instruction         |
| 0x2C      | brzero.s <int8 (target)>               | Br anch to target if value is zero (alias for brfalse.s ), s hort form.                                                                              | Base instruction         |
| 0x28      | call <method>                          | Call method described by method.                                                                                                                     | Base instruction         |
| 0x29      | calli <callsitedescr>                  | Call method i ndicated on the stack with arguments described by callsitedescr.                                                                       | Base instruction         |
| 0x6F      | callvirt <method>                      | Call a method associated with an object.                                                                                                             | Object model instruction |
| 0x74      | castclass <class>                      | Cast obj to class .                                                                                                                                  | Object model instruction |
