| Value | Name                              | Expression                                  |
| 1     | align                             | align(<n>)                                  |
| 2     | alwaysinline                      |                                             |
| 3     | byval                             |                                             |
| 4     | inlinehint                        |                                             |
| 5     | inreg                             |                                             |
| 6     | minsize                           |                                             |
| 7     | naked                             |                                             |
| 8     | nest                              |                                             |
| 9     | noalias                           |                                             |
| 10    | nobuiltin                         |                                             |
| 11    | nocapture                         |                                             |
| 12    | noduplicates                      |                                             |
| 13    | noimplicitfloat                   |                                             |
| 14    | noinline                          |                                             |
| 15    | nonlazybind                       |                                             |
| 16    | noredzone                         |                                             |
| 17    | noreturn                          |                                             |
| 18    | nounwind                          |                                             |
| 19    | optsize                           |                                             |
| 20    | readnone                          |                                             |
| 21    | readonly                          |                                             |
| 22    | returned                          |                                             |
| 23    | returns_twice                     |                                             |
| 24    | signext                           |                                             |
| 25    | alignstack                        | alignstack(<n>)                             |
| 26    | ssp                               |                                             |
| 27    | sspreq                            |                                             |
| 28    | sspstrong                         |                                             |
| 29    | sret                              |                                             |
| 30    | sanitize_address                  |                                             |
| 31    | sanitize_thread                   |                                             |
| 32    | sanitize_memory                   |                                             |
| 33    | uwtable                           |                                             |
| 34    | zeroext                           |                                             |
| 35    | builtin                           |                                             |
| 36    | cold                              |                                             |
| 37    | optnone                           |                                             |
| 38    | inalloca                          |                                             |
| 39    | nonnull                           |                                             |
| 40    | jumptable                         |                                             |
| 41    | dereferenceable                   | dereferenceable(<n>)                        |
| 42    | dereferenceable_or_null           | dereferenceable_or_null(<n>)                |
| 43    | convergent                        |                                             |
| 44    | safestack                         |                                             |
| 45    | argmemonly                        |                                             |
| 46    | swiftself                         |                                             |
| 47    | swifterror                        |                                             |
| 48    | norecurse                         |                                             |
| 49    | inaccessiblememonly               |                                             |
| 50    | inaccessiblememonly_or_argmemonly |                                             |
| 51    | allocsize                         | allocsize(<EltSizeParam>[, <NumEltsParam>]) |
| 52    | writeonly                         |                                             |
| 53    | speculatable                      |                                             |
| 54    | strictfp                          |                                             |
| 55    | sanitize_hwaddress                |                                             |
| 56    | nocf_check                        |                                             |
| 57    | optforfuzzing                     |                                             |
| 58    | shadowcallstack                   |                                             |
| 59    | speculative_load_hardening        |                                             |
| 60    | immarg                            |                                             |
| 61    | willreturn                        |                                             |
| 62    | nofree                            |                                             |
| 63    | nosync                            |                                             |
| 64    | sanitize_memtag                   |                                             |
| 65    | preallocated                      |                                             |
| 66    | no_merge                          |                                             |
| 67    | null_pointer_is_valid             |                                             |
| 68    | noundef                           |                                             |
