# SystemDelegates - https://docs.microsoft.com/en-us/dotnet/api/system?view=netcore-3.1
------------------------------------------------------------------------------------------------------------------------------------------------
| Name                                                                 | Description                                                                                                            |
| Action                                                               | Encapsulates a method that has no parameters and does not return a value.                                              |
| Action<T>                                                            | Encapsulates a method that has a single parameter and does not return a value.                                         |
| Action<T1,T2>                                                        | Encapsulates a method that has two parameters and does not return a value.                                             |
| Action<T1,T2,T3>                                                     | Encapsulates a method that has three parameters and does not return a value.                                           |
| Action<T1,T2,T3,T4>                                                  | Encapsulates a method that has four parameters and does not return a value.                                            |
| Action<T1,T2,T3,T4,T5>                                               | Encapsulates a method that has five parameters and does not return a value.                                            |
| Action<T1,T2,T3,T4,T5,T6>                                            | Encapsulates a method that has six parameters and does not return a value.                                             |
| Action<T1,T2,T3,T4,T5,T6,T7>                                         | Encapsulates a method that has seven parameters and does not return a value.                                           |
| Action<T1,T2,T3,T4,T5,T6,T7,T8>                                      | Encapsulates a method that has eight parameters and does not return a value.                                           |
| Action<T1,T2,T3,T4,T5,T6,T7,T8,T9>                                   | Encapsulates a method that has nine parameters and does not return a value.                                            |
| Action<T1,T2,T3,T4,T5,T6,T7,T8,T9,T10>                               | Encapsulates a method that has 10 parameters and does not return a value.                                              |
| Action<T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11>                           | Encapsulates a method that has 11 parameters and does not return a value.                                              |
| Action<T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12>                       | Encapsulates a method that has 12 parameters and does not return a value.                                              |
| Action<T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13>                   | Encapsulates a method that has 13 parameters and does not return a value.                                              |
| Action<T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14>               | Encapsulates a method that has 14 parameters and does not return a value.                                              |
| Action<T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15>           | Encapsulates a method that has 15 parameters and does not return a value.                                              |
| Action<T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16>       | Encapsulates a method that has 16 parameters and does not return a value.                                              |
| Assembly Load Event Handler                                          | Represents the method that handles the AssemblyLoad event of an AppDomain .                                            |
| Async Callback                                                       | References a method to be called when a corresponding asynchronous operation completes.                                |
| Comparison<T>                                                        | Represents the method that compares two objects of the same type.                                                      |
| Console Cancel Event Handler                                         | Represents the method that will handle the CancelKeyPress event of a Console .                                         |
| Converter<TInput,TOutput>                                            | Represents a method that converts an object from one type to another type.                                             |
| Event Handler                                                        | Represents the method that will handle an event that has no event data.                                                |
| Event Handler<TEvent Args>                                           | Represents the method that will handle an event when the event provides data.                                          |
| Func<TResult>                                                        | Encapsulates a method that has no parameters and returns a value of the type specified by the TResult parameter.       |
| Func<T,TResult>                                                      | Encapsulates a method that has one parameter and returns a value of the type specified by the TResult parameter.       |
| Func<T1,T2,TResult>                                                  | Encapsulates a method that has two parameters and returns a value of the type specified by the TResult parameter.      |
| Func<T1,T2,T3,TResult>                                               | Encapsulates a method that has three parameters and returns a value of the type specified by the TResult parameter.    |
| Func<T1,T2,T3,T4,TResult>                                            | Encapsulates a method that has four parameters and returns a value of the type specified by the TResult parameter.     |
| Func<T1,T2,T3,T4,T5,TResult>                                         | Encapsulates a method that has five parameters and returns a value of the type specified by the TResult parameter.     |
| Func<T1,T2,T3,T4,T5,T6,TResult>                                      | Encapsulates a method that has six parameters and returns a value of the type specified by the TResult parameter.      |
| Func<T1,T2,T3,T4,T5,T6,T7,TResult>                                   | Encapsulates a method that has seven parameters and returns a value of the type specified by the TResult parameter.    |
| Func<T1,T2,T3,T4,T5,T6,T7,T8,TResult>                                | Encapsulates a method that has eight parameters and returns a value of the type specified by the TResult parameter.    |
| Func<T1,T2,T3,T4,T5,T6,T7,T8,T9,TResult>                             | Encapsulates a method that has nine parameters and returns a value of the type specified by the TResult parameter.     |
| Func<T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,TResult>                         | Encapsulates a method that has 10 parameters and returns a value of the type specified by the TResult parameter.       |
| Func<T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,TResult>                     | Encapsulates a method that has 11 parameters and returns a value of the type specified by the TResult parameter.       |
| Func<T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,TResult>                 | Encapsulates a method that has 12 parameters and returns a value of the type specified by the TResult parameter.       |
| Func<T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,TResult>             | Encapsulates a method that has 13 parameters and returns a value of the type specified by the TResult parameter.       |
| Func<T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,TResult>         | Encapsulates a method that has 14 parameters and returns a value of the type specified by the TResult parameter.       |
| Func<T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,TResult>     | Encapsulates a method that has 15 parameters and returns a value of the type specified by the TResult parameter.       |
| Func<T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,TResult> | Encapsulates a method that has 16 parameters and returns a value of the type specified by the TResult parameter.       |
| Predicate<T>                                                         | Represents the method that defines a set of criteria and determines whether the specified object meets those criteria. |
| Resolve Event Handler                                                | Represents a method that handles the TypeResolve , ResourceResolve , or AssemblyResolve event of an AppDomain .        |
| Unhandled Exception Event Handler                                    | Represents the method that will handle the event raised by an exception that is not handled by the application domain. |
