AAA                  | DECIMAL        | BASE           | I86            | 0x37 not64                                                                       | REG0=XED_REG_AL:rw:SUPP REG1=XED_REG_AH:rw:SUPP
AAD                  | DECIMAL        | BASE           | I86            | 0xD5 not64 UIMM8()                                                               | IMM0:r:b:i8 REG0=XED_REG_AL:rw:SUPP REG1=XED_REG_AH:rw:SUPP
AAM                  | DECIMAL        | BASE           | I86            | 0xD4 not64 UIMM8()                                                               | IMM0:r:b:i8 REG0=XED_REG_AL:rw:SUPP REG1=XED_REG_AH:w:SUPP
AAS                  | DECIMAL        | BASE           | I86            | 0x3F not64                                                                       | REG0=XED_REG_AL:rw:SUPP REG1=XED_REG_AH:rw:SUPP
ADC                  | BINARY         | BASE           | I86            | 0x80 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() SIMM8() nolock_prefix             | MEM0:rw:b IMM0:r:b:i8
ADC                  | BINARY         | BASE           | I86            | 0x80 MOD[0b11] MOD=3 REG[0b010] RM[nnn] SIMM8()                                  | REG0=GPR8_B():rw IMM0:r:b:i8
ADC                  | BINARY         | BASE           | I86            | 0x81 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() SIMMz() nolock_prefix             | MEM0:rw:v IMM0:r:z
ADC                  | BINARY         | BASE           | I86            | 0x81 MOD[0b11] MOD=3 REG[0b010] RM[nnn] SIMMz()                                  | REG0=GPRv_B():rw IMM0:r:z
ADC                  | BINARY         | BASE           | I86            | 0x82 MOD[mm] MOD!=3 REG[0b010] RM[nnn] not64 MODRM() SIMM8() nolock_prefix       | MEM0:rw:b IMM0:r:b:i8
ADC                  | BINARY         | BASE           | I86            | 0x82 MOD[0b11] MOD=3 REG[0b010] RM[nnn] not64 SIMM8()                            | REG0=GPR8_B():rw IMM0:r:b:i8
ADC                  | BINARY         | BASE           | I86            | 0x83 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() SIMM8() nolock_prefix             | MEM0:rw:v IMM0:r:b:i8
ADC                  | BINARY         | BASE           | I86            | 0x83 MOD[0b11] MOD=3 REG[0b010] RM[nnn] SIMM8()                                  | REG0=GPRv_B():rw IMM0:r:b:i8
ADC                  | BINARY         | BASE           | I86            | 0x10 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                       | MEM0:rw:b REG0=GPR8_R():r
ADC                  | BINARY         | BASE           | I86            | 0x10 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPR8_B():rw REG1=GPR8_R():r
ADC                  | BINARY         | BASE           | I86            | 0x11 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                       | MEM0:rw:v REG0=GPRv_R():r
ADC                  | BINARY         | BASE           | I86            | 0x11 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPRv_B():rw REG1=GPRv_R():r
ADC                  | BINARY         | BASE           | I86            | 0x12 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                     | REG0=GPR8_R():rw MEM0:r:b
ADC                  | BINARY         | BASE           | I86            | 0x12 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPR8_R():rw REG1=GPR8_B():r
