| Name                                   | Value | Description                                                                                                                                                                                          |
| IMAGE_DEBUG_TYPE_UNKNOWN               | 0     | An unknown value that is ignored by all tools.                                                                                                                                                       |
| IMAGE_DEBUG_TYPE_COFF                  | 1     | The COFF debug information (line numbers, symbol table, and string table). This type of debug information is also pointed to by fields in the file headers.                                          |
| IMAGE_DEBUG_TYPE_CODEVIEW              | 2     | The Visual C++ debug information.                                                                                                                                                                    |
| IMAGE_DEBUG_TYPE_FPO                   | 3     | The frame pointer omission (FPO) information. This information tells the debugger how to interpret nonstandard stack frames, which use the EBP register for a purpose other than as a frame pointer. |
| IMAGE_DEBUG_TYPE_MISC                  | 4     | The location of DBG file.                                                                                                                                                                            |
| IMAGE_DEBUG_TYPE_EXCEPTION             | 5     | A copy of .pdata section.                                                                                                                                                                            |
| IMAGE_DEBUG_TYPE_FIXUP                 | 6     | Reserved.                                                                                                                                                                                            |
| IMAGE_DEBUG_TYPE_OMAP_TO_SRC           | 7     | The mapping from an RVA in image to an RVA in source image.                                                                                                                                          |
| IMAGE_DEBUG_TYPE_OMAP_FROM_SRC         | 8     | The mapping from an RVA in source image to an RVA in image.                                                                                                                                          |
| IMAGE_DEBUG_TYPE_BORLAND               | 9     | Reserved for Borland.                                                                                                                                                                                |
| IMAGE_DEBUG_TYPE_RESERVED10            | 10    | Reserved.                                                                                                                                                                                            |
| IMAGE_DEBUG_TYPE_CLSID                 | 11    | Reserved.                                                                                                                                                                                            |
| IMAGE_DEBUG_TYPE_REPRO                 | 16    | PE determinism or reproducibility.                                                                                                                                                                   |
| IMAGE_DEBUG_TYPE_EX_DLLCHARACTERISTICS | 20    | Extended DLL characteristics bits.                                                                                                                                                                   |
