| Index | Operand | Instruction       | Sig                                           | OpCode                        | Type    | Data     | Reg   | Mem    | MemSize | MemSeg | MemOff | MemFar | Imm | RwxIndex | RwxWidth |
| 1     | 0       | aaa               | aaa [ax]                                      | 37                            | reg     | ax       | ax    |        | -1      |        | false  | false  | 0   | 0        | 16       |
| 2     | 0       | aad               | aad [ax],ib/ub                                | D5 ib                         | reg     | ax       | ax    |        | -1      |        | false  | false  | 0   | 0        | 16       |
| 2     | 1       | aad               | aad [ax],ib/ub                                | D5 ib                         |         | ib/ub    |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 3     | 0       | aam               | aam [ax],ib/ub                                | D4 ib                         | reg     | ax       | ax    |        | -1      |        | false  | false  | 0   | 0        | 16       |
| 3     | 1       | aam               | aam [ax],ib/ub                                | D4 ib                         |         | ib/ub    |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 4     | 0       | aas               | aas [ax]                                      | 3F                            | reg     | ax       | ax    |        | -1      |        | false  | false  | 0   | 0        | 16       |
| 5     | 0       | adc               | adc al,ib/ub                                  | 14 ib                         | reg     | al       | al    |        | -1      |        | false  | false  | 0   | 0        | 8        |
| 5     | 1       | adc               | adc al,ib/ub                                  | 14 ib                         |         | ib/ub    |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 6     | 0       | adc               | adc ax,iw/uw                                  | 66 15 iw                      | reg     | ax       | ax    |        | -1      |        | false  | false  | 0   | 0        | 16       |
| 6     | 1       | adc               | adc ax,iw/uw                                  | 66 15 iw                      |         | iw/uw    |       |        | -1      |        | false  | false  | 16  | -1       | -1       |
| 7     | 0       | adc               | adc eax,id/ud                                 | 15 id                         | reg     | eax      | eax   |        | -1      |        | false  | false  | 0   | 0        | 32       |
| 7     | 1       | adc               | adc eax,id/ud                                 | 15 id                         |         | id/ud    |       |        | -1      |        | false  | false  | 32  | -1       | -1       |
| 8     | 0       | adc               | adc rax,id                                    | REX.W 15 id                   | reg     | rax      | rax   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 8     | 1       | adc               | adc rax,id                                    | REX.W 15 id                   |         | id       |       |        | -1      |        | false  | false  | 32  | -1       | -1       |
| 9     | 0       | adc               | adc r8/m,ib/ub                                | 80 /2 ib                      | reg/mem | r8/m8    | r8    | m8     | 8       |        | false  | false  | 0   | 0        | 8        |
| 9     | 1       | adc               | adc r8/m,ib/ub                                | 80 /2 ib                      |         | ib/ub    |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 10    | 0       | adc               | adc r16/m,iw/uw                               | 66 81 /2 iw                   | reg/mem | r16/m16  | r16   | m16    | 16      |        | false  | false  | 0   | 0        | 16       |
| 10    | 1       | adc               | adc r16/m,iw/uw                               | 66 81 /2 iw                   |         | iw/uw    |       |        | -1      |        | false  | false  | 16  | -1       | -1       |
| 11    | 0       | adc               | adc r32/m,id/ud                               | 81 /2 id                      | reg/mem | r32/m32  | r32   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 11    | 1       | adc               | adc r32/m,id/ud                               | 81 /2 id                      |         | id/ud    |       |        | -1      |        | false  | false  | 32  | -1       | -1       |
| 12    | 0       | adc               | adc r64/m,id                                  | REX.W 81 /2 id                | reg/mem | r64/m64  | r64   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 12    | 1       | adc               | adc r64/m,id                                  | REX.W 81 /2 id                |         | id       |       |        | -1      |        | false  | false  | 32  | -1       | -1       |
