# AsmTRegBitsX86_reg - Encoding with and without the ModRM w field in non-64 bit mode  *WE = w field is present
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| reg | size | 64-bit | WE | w = 0 | w = 1 |
| 000 | 16   | N      | Y  | AL    | AX    |
| 001 | 16   | N      | Y  | CL    | CX    |
| 010 | 16   | N      | Y  | DL    | DX    |
| 011 | 16   | N      | Y  | BL    | BX    |
| 100 | 16   | N      | Y  | AH    | SP    |
| 101 | 16   | N      | Y  | CH    | BP    |
| 110 | 16   | N      | Y  | DH    | SI    |
| 111 | 16   | N      | Y  | BH    | DI    |
| 000 | 32   | N      | Y  | AL    | EAX   |
| 001 | 32   | N      | Y  | CL    | ECX   |
| 010 | 32   | N      | Y  | DL    | EDX   |
| 011 | 32   | N      | Y  | BL    | EBX   |
| 100 | 32   | N      | Y  | AH    | ESP   |
| 101 | 32   | N      | Y  | CH    | EBP   |
| 110 | 32   | N      | Y  | DH    | ESI   |
| 111 | 32   | N      | Y  | BH    | EDI   |
| 000 | 16   | N      | N  | AX    |       |
| 001 | 16   | N      | N  | CX    |       |
| 010 | 16   | N      | N  | DX    |       |
| 011 | 16   | N      | N  | BX    |       |
| 100 | 16   | N      | N  | SP    |       |
| 101 | 16   | N      | N  | BP    |       |
| 110 | 16   | N      | N  | SI    |       |
| 111 | 16   | N      | N  | DI    |       |
| 000 | 32   | N      | N  | EAX   |       |
| 001 | 32   | N      | N  | ECX   |       |
| 010 | 32   | N      | N  | EDX   |       |
| 011 | 32   | N      | N  | EBX   |       |
| 100 | 32   | N      | N  | ESP   |       |
| 101 | 32   | N      | N  | EBP   |       |
| 110 | 32   | N      | N  | ESI   |       |
| 111 | 32   | N      | N  | EDI   |       |
