Type        | Z0.IAny`1                                                             | Characterizes any equatable value
Type        | Z0.IAny`2                                                             | Characterizes an equatable value reification
Property    | Z0.IAppMsg.Content                                                    | The message body
Property    | Z0.IAppMsg.Kind                                                       | The message classification
Property    | Z0.IAppMsg.Color                                                      | The message foreground color when rendered for display
Property    | Z0.IAppMsg.Displayed                                                  | Specifies whether the message has been displayed to an end-user
Method      | Z0.IAppMsg.AsDisplayed                                                | Transitions a message to the displayed state
Property    | Z0.IAppMsg.IsEmpty                                                    | Specifies whether the message is vaccuous
Property    | Z0.IAppMsg.IsError                                                    | Specifies whether the message describes an error
Type        | Z0.IBitField`1                                                        | Characterizes a content-parametric bitfield
Property    | Z0.IBitField`1.Data                                                   | The raw bitfield data
Type        | Z0.IBitField`2                                                        | Characterizes a content and index-parametric bitfield
Type        | Z0.IBitField`3                                                        | Characterizes a bitfield from which segments can be specified/extracted
Type        | Z0.IBitField`4                                                        | Characterizes a reified bitfield predicated on 3 type parameters
Type        | Z0.IBitField`6                                                        | Characterizes a reified bitfield predicated on 4 type parameters
Property    | Z0.IBufferTokenSource.Item(Z0.BufferSeqId)                            | Returns the token of an index-identified buffer
Type        | Z0.IContext                                                           | Charaterizes a shared execution environment that may be stateful or stateless
Type        | Z0.IContextual`1                                                      | Charaterizes a component that maintains readonly-access to encapsulated state, here and throughout referred to as a context
Type        | Z0.IContext`1                                                         | Charaterizes a stateful shared execution environment over a parametric context
Type        | Z0.IDistributionSpec                                                  | Characterizes a distribution specifier
Type        | Z0.IDistributionSpec`1                                                | Characterizes a T-parametric distribution specifier
Type        | Z0.IDistributionSpec`2                                                | Characterizes a T-parametric distribution specifier reification
Property    | Z0.IEncoded`2.Encoded                                                 | The encoded data, likely in bytes
Method      | Z0.IInterval`2.ToOpen                                                 | Creates an open interval with endpoints from the existing interval
Method      | Z0.IInterval`2.ToLeftOpen                                             | Creates a left-open/right-closed interval with endpoints from the existing interval
Method      | Z0.IInterval`2.ToRightClosed                                          | Creates a left-open/right-closed interval with endpoints from the existing interval
Method      | Z0.IInterval`2.ToRightOpen                                            | Creates a left-open/right-closed interval with endpoints from the existing interval
Method      | Z0.IInterval`2.ToLeftClosed                                           | Creates a left-closed interval with endpoints from the existing interval
Method      | Z0.IInterval`2.ToClosed                                               | Creates a closed interval with endpoints from the existing interval
Type        | Z0.IInterval`1                                                        | Characterizes a contiguous segment of homogenous values that lie within            left and right boundaries
Property    | Z0.IInterval`1.Left                                                   | The left endpoint
Property    | Z0.IInterval`1.Right                                                  | The right endpoint
Type        | Z0.INumeric                                                           | Chracterizes a numeric thing
Type        | Z0.INumeric`1                                                         | Chracterizes a parametric numeric thing
Type        | Z0.IService                                                           | Characterizes nothing but is a marker for a type that, perhaps, defines something useful to someone
Type        | Z0.IService`1                                                         | Characterizes a service that extends a parametric context with operational semantics.
Type        | Z0.IServiceAllocation`1                                               | Characterizes a stateful service that requires explcit resource managment
Type        | Z0.ISigned                                                            | Characterizes a signable thing
Property    | Z0.ISigned.Sign                                                       | The sign of the signable thing
Type        | Z0.ISigned`1                                                          | Characterizes a signable reification
Type        | Z0.ISink                                                              | Sink interface root
Type        | Z0.ISink`1                                                            | Characterizes a sink that accepts a single input value
Method      | Z0.ISink`1.Deposit(`0)                                                | Receives supplied input
Method      | Z0.XTend.BinaryOp``1(System.Reflection.MethodInfo,System.Object)      | Creates a delegate for a binary operator f:X-&gt;X-&gt;X realized by a specified method
Method      | Z0.XTend.ExtractImm8(Z0.OpIdentity)                                   | Extracts an 8-bit immediate value from an identity if it contains an immediate suffix; otherwise, returns none
Method      | Z0.XTend.ToChar(Z0.NumericIndicator)                                  | Converts a numeric indicator to a character
Method      | Z0.XTend.Format(Z0.NumericIndicator)                                  | Producuces text in the form {'i' | 'u' | 'f'}
Method      | Z0.XTend.Format(Z0.NumericKind)                                       | Produces text in the form {width}{indicator}
Method      | Z0.XTend.Indicator(Z0.NumericKind)                                    | Determines the indicator of a numeric kind
Method      | Z0.XTend.IsFloat(Z0.NumericKind)                                      | Determines whether a numeric kind designates a floating-point type
Method      | Z0.XTend.IsSome(Z0.NumericKind)                                       | Determines whether a numeric kind is nonempty
Method      | Z0.XTend.IsUnsigned(Z0.NumericKind)                                   | Determines whether a numeric kind designates an unsigned integral type
Method      | Z0.XTend.Keyword(Z0.NumericKind)                                      | Specifies the C# keyword used to designate a kind-identified numeric type
Method      | Z0.XTend.KeywordNot(Z0.NumericKind)                                   | Specifies the keyword not used in C# to designate a kind-identified primal type
Method      | Z0.XTend.NumericId(Z0.NumericKind)                                    | Determines the type identifer of a numeric kind
Method      | Z0.XTend.SystemType(Z0.NumericKind)                                   | Determines the system type represented by a numeric kind
Method      | Z0.XTend.TypeWidth(Z0.NumericKind)                                    | Determines the width of a numeric kind
Method      | Z0.XTend.Width(Z0.NumericKind)                                        | Determines the width of the represented kind in bits
Method      | Z0.XTend.NumericKeyword(System.Type)                                  | Specifies the C# keyword used to designate a primal numeric type
Method      | Z0.XTend.NumericKeywordNot(System.Type)                               | Specifies the keyword not used in C# to designate a primal numeric type
Method      | Z0.XTend.NumericKind(System.Type)                                     | Determines the numeric kind of a type
Method      | Z0.XTend.NumericKind(System.TypeCode)                                 | Determines the numeric kind of a type-code identified type
Method      | Z0.XTend.IsBlocked(System.Type)                                       | Determines whether a type is classified as a blocked type via attribution
Method      | Z0.XTend.IsFixed(System.Type)                                         | Determines whether a type is classified as a fixed type via attribution
Method      | Z0.XTend.IsSegmented(System.Type)                                     | Returns true if the source type is intrinsic or blocked
Method      | Z0.XTend.IsVector(System.Type)                                        | Determines whether a type is classified as an intrinsic vector
Type        | Z0.AgentIdentity                                                      | Uniquely identifies an agent throughout a server complex
Field       | Z0.AgentIdentity.ServerId                                             | Uniquely identifies a server
Field       | Z0.AgentIdentity.AgentId                                              | Identifies an agent relative to a server
Property    | Z0.AgentIdentity.Identifier                                           | Uniquely identifies an agent by composing the host on which it resides            and the host-relative identifier
Method      | Z0.AgentIdentity.op_Implicit(System.ValueTuple{System.UInt32,System.UInt32})~Z0.AgentIdentity| Constructs an identity from server and agent id's
Type        | Z0.AgentTransition                                                    | Specifies a transition that occurred
Field       | Z0.AgentTransition.Agent                                              | Specifies the agent that experienced the transition
Field       | Z0.AgentTransition.Timestamp                                          | Indicates the relative time at which the transition ocurred
Field       | Z0.AgentTransition.SourceState                                        | Specifies the state of the agent before the transition
Field       | Z0.AgentTransition.TargetState                                        | Specifies the state of the agent ater the transition
Type        | Z0.Any`1                                                              | A parametric T-equatable value
Type        | Z0.BitSize                                                            | Specifies a memory size UOM in bits
Field       | Z0.BitSize.Bits                                                       | Specifies a bit count
Method      | Z0.BitSize.measure``1                                                 | Computes the bit-size of a parametric type
Method      | Z0.BitSize.div``1(System.Int32,``0)                                   | Computes the quotient q :=  a / bitsize[T] of an operand a and parametric type T
Method      | Z0.BitSize.mod``1(System.Int32,``0)                                   | Computes the remainder r :=  a % bitsize[T] of an operand a and parametric type T
Method      | Z0.BitSize.op_Explicit(Z0.BitSize)~Z0.ByteSize                        | Returns the minimum number of bytes required to apprehend             the size of the source bits.
Property    | Z0.BitSize.Empty                                                      | The bit with no size
Type        | Z0.ByteSize                                                           | Defines size with respect to bytes
Field       | Z0.ByteSize.Count                                                     | Specifies a number of bytes
Type        | Z0.CorrelationToken                                                   | Correlates a value with a key that uniquely identifies the value within some context
Property    | Z0.CorrelationToken.Identifier                                        | The key that identifies the value
Type        | Z0.NumericLiteral                                                     | Defines a (boxed) numeric literal relative to a specified base
Type        | Z0.NumericLiteral`1                                                   | Defines a (boxed) numeric literal relative to a specified base
Type        | Z0.Paired`2                                                           | A non-homogenous mutable 2-tuple
Field       | Z0.Paired`2.Left                                                      | The first member
Field       | Z0.Paired`2.Right                                                     | The second member
Method      | Z0.Paired`2.As``2                                                     | Interprets the pair over alternate domains
Type        | Z0.SizeAttribute                                                      | Defines the size, in bytes, of the target element
Property    | Z0.SizeAttribute.Size                                                 | The number of bytes occupied by an instance of the targeted element
Field       | Z0.IdentityPartKind.Name                                              | The unadorned subject name and the first part of the moniker
Field       | Z0.IdentityPartKind.Suffix                                            | A trailing component of the form {suffix sep}{suffix name}
Field       | Z0.IdentityPartKind.Numeric                                           | A numeric specifier of the form {width}{numeric_indicator}
Field       | Z0.IdentityPartKind.Segment                                           | A segmentation specifier of the form {total width}x{segment width}{numeric indicator}
Type        | Z0.IdentityShare                                                      | Defines a set of common identity-related operations
