Type        | Z0.IAddressable                                                       | Characterizes an address-identified target
Property    | Z0.MemoryAddress.MinWidth                                             | Computes the bit-width of the smallest numeric type that can represent the address
Property    | Z0.MemoryOffset.OffsetAddress                                         | The offset magnitude presented as an address
Property    | Z0.MemoryOffset.Absolute                                              | The absolute address
Type        | Z0.MemoryRange                                                        | Defines an inclusive address range
Type        | Z0.OffsetSeq                                                          | Pairs a sequence number with a short memory offset
Type        | Z0.OpAddress                                                          | Pairs a located operation with, well, its location
Type        | Z0.TextResource                                                       | Describes/models a literal text resource
Property    | Z0.TextResource.Identifier                                            | The resource identifier
Property    | Z0.TextResource.Location                                              | The resource address
Property    | Z0.TextResource.Content                                               | The resource value extracted from the accompanying location
Type        | Z0.TextResource`1                                                     | Describes/models a literal text resource with an enum-predicated identity
Property    | Z0.TextResource`1.Identifier                                          | The resource identifier
Property    | Z0.TextResource`1.Location                                            | The resource address
Property    | Z0.TextResource`1.Content                                             | The resource value extracted from the accompanying location
Method      | Z0.AgentX.Agent(Z0.IAgentContext,Z0.AgentIdentity)                    | Searches a context for an active agent wth a specified identity
Type        | Z0.AgentContext                                                       | Defines a shared context for a set of agents
Type        | Z0.SystemAgent                                                        | Defines base system agent abstraction
Property    | Z0.SystemAgent.ServerId                                               | Identifies the server to which the agent belongs
Property    | Z0.SystemAgent.AgentId                                                | Identifies the agent relative to the server
Property    | Z0.SystemAgent.State                                                  | Specifies the current agent status
Method      | Z0.SystemAgent.Terminate                                              | Terminates the agent,releasing any captured resources
Method      | Z0.SystemAgent.Configure(System.Object)                               | Configures the agent prior to a run
Method      | Z0.SystemAgent.Start                                                  | Starts the agent from a running state
Method      | Z0.SystemAgent.Stop                                                   | Starts the agent from a stopped state
Method      | Z0.SystemAgent.Dispose                                                | Terminates the agent
Method      | Z0.SystemAgent.OnStart                                                | May be specialized to perform service-specific initialization/precondition operations
Method      | Z0.SystemAgent.OnTerminate                                            | May be specialized to perform service-specific cleanup/postcondition operations
Method      | Z0.CpuCoreWorker.Start``1(Z0.IContext,System.UInt32,System.Func{``0,``0},``0,System.TimeSpan,System.Nullable{System.UInt64})| Creates and starts a worker
Type        | Z0.CpuCoreWorker`1                                                    | Embodies an asynchrounous thread of execution that is assigned to a specific CPU core
Method      | Z0.CpuCoreWorker`1.thread(System.UInt32)                              | Searches for a thread given an OS-assigned id, not the useless clr id
Method      | Z0.CpuCoreWorker`1.RunCycle                                           | Executes a single work cycle
Type        | Z0.EnvVar                                                             | Defines a nonparametric environment variable
Property    | Z0.EnvVar.Name                                                        | The environment variable name
Property    | Z0.EnvVar.Value                                                       | The environment variable value
Type        | Z0.EnvVar`1                                                           | Defines a value-parametric environment variable
Method      | Z0.XTend.WithPropertyType``1(System.Reflection.PropertyInfo[])        | Selects the properties from a property data array of a parametric type
Method      | Z0.XTend.Values``1(Z0.ClrProperty{``0}[],System.Object)               | Gets the property values
Method      | Z0.XTend.To(Z0.NumericKind,System.Object)                             | Convers a source value, which is hopefully a supported kind, to a target kind
Method      | Z0.XTend.WhereSome``1(System.Collections.Generic.IEnumerable{``0})    | Filters zero-valued elements from the source stream
Method      | Z0.XTend.WhereSome``1(``0[])                                          | Filters zero-valued elements from the source array
Method      | Z0.XTend.FileHost(Z0.FileName)                                        | Determines the api host that owns the file, if any
Method      | Z0.XTend.FileHost(Z0.FilePath)                                        | Determines the api host that owns the file, if any
Method      | Z0.XTend.ReadText(Z0.FilePath)                                        | Reads the full content of a text file
Method      | Z0.XTend.ReadLines(Z0.FilePath)                                       | Reads the line-partitioned content of a text file
Method      | Z0.XTend.ReadBytes(Z0.FilePath)                                       | Reads the full content of a file into a byte array
Method      | Z0.XTend.Delete(Z0.FilePath)                                          | Deletes the file if it exists
Method      | Z0.XTend.Reader(Z0.FilePath)                                          | Creates a reader initialized with the source file; caller-disposal required
Method      | Z0.XTend.Writer(Z0.FilePath)                                          | Creates an overwriting and caller-disposed stream writer that targets a specified path
Method      | Z0.XTend.Subscribe``1(``0,Z0.IEventBroker,System.Action{``0})         | Registers an event receiver to which brokered events will be relayed
Method      | Z0.XTend.IsSymbol(Z0.Perm4L)                                          | Determines whether a permutation literal is a symbol
Method      | Z0.XTend.IsSymbol(Z0.Perm8L)                                          | Determines whether a permutation literal is a symbol
Method      | Z0.XTend.IsSymbol(Z0.Perm16L)                                         | Determines whether a permutation literal is a symbol
Method      | Z0.XTend.Report(System.Exception)                                     | Emits an exception to the error output stream
Method      | Z0.XTend.Field(System.Type,System.String)                             | Attempts to retrieve a name-identified field from a type
Method      | Z0.XTend.GenericDefinition(System.Type)                               | For a generic type or reference to a generic type, retrieves the generic type definition; otherwise, returns none
Method      | Z0.XTend.All``1(System.ReadOnlySpan{``0},System.Func{``0,System.Boolean})| Determines whether all of the elements of a source span satisfy a supplied predicate
Method      | Z0.XTend.Any``1(System.ReadOnlySpan{``0},System.Func{``0,System.Boolean})| Determines whether any elements of a span satisfy a supplied predicate
Method      | Z0.XTend.Any``1(System.Span{``0},System.Func{``0,System.Boolean})     | Determines whether any elements of a span satisfy a supplied predicate
Method      | Z0.XTend.count``1(System.ReadOnlySpan{``0},System.Func{``0,System.Boolean})| Counts the number of values in the source that satisfy the predicate
Method      | Z0.XTend.Count``1(System.ReadOnlySpan{``0},System.Func{``0,System.Boolean})| Counts the number of values in the source that satisfy the predicate
Method      | Z0.XTend.Count``1(System.Span{``0},System.Func{``0,System.Boolean})   | Counts the number of values in the source that satisfy the predicate
Method      | Z0.XTend.First``1(System.Span{``0})                                   | Returns a reference to the first element of a nonempty span
Method      | Z0.XTend.Last``1(System.Span{``0})                                    | Returns a reference to the last element of a nonempty span
Method      | Z0.XTend.Intersperse``1(System.ReadOnlySpan{``0},``0)                 | Creates a new span by interposing a specified element between each element of an existing span
Method      | Z0.XTend.Intersperse``1(System.Span{``0},``0)                         | Creates a new span by interposing a specified element between each element of an existing span
Method      | Z0.XTend.Map``2(System.ReadOnlySpan{``0},System.Func{``0,``1})        | Projects a source span to target span via a supplied transformation
Method      | Z0.XTend.Map``2(System.Span{``0},System.Func{``0,``1})                | Projects a source span to target span
Method      | Z0.XTend.MapRange``2(System.ReadOnlySpan{``0},System.Int32,System.Int32,System.Func{``0,``1})| Projects a range of elements from a source span to a target span
