Method      | Z0.ITestNumericMatch.MatchNumeric``1(System.String,Z0.UnaryOp{``0},Z0.UnaryOp{``0})| Evaluates a pair of unary operators and asserts their equality over a random sequence
Method      | Z0.ITestNumericMatch.MatchNumeric``1(System.String,Z0.BinaryOp{``0},Z0.BinaryOp{``0})| Evaluates a pair of binary operators and asserts their equality over a random sequence
Type        | Z0.DelegatedContract                                                  | A primary implementation of the <see cref="T:Z0.IDynamicContractMessenger" /> contract            that delgates contract implementation through a supplied <see cref="T:Z0.DelegateIndex" />
Method      | Z0.DelegatedContract.Realize``1(System.String,Z0.DelegateIndex)       | Realizes implementation of a contract by mediating access to a <see cref="T:Z0.DelegateIndex" />
Type        | Z0.DelegateIndex                                                      | Indexes a collection of delegates that (potentially) specify a <see cref="T:Z0.IDynamicContractMessenger" /> realization
Method      | Z0.DelegateIndex.Getter``1(System.String,System.Func{``0})            | Indexes a property get method
Method      | Z0.DelegateIndex.Getter(System.String)                                | Retrieves a property get method
Method      | Z0.DelegateIndex.Setter``1(System.String,System.Action{``0})          | Specifies a property setter
Method      | Z0.DelegateIndex.Setter(System.String)                                | Retrieves named property set method
Method      | Z0.DelegateIndex.Function(System.String,System.Delegate)              | Specifies a function delegate
Method      | Z0.DelegateIndex.Action(System.String,System.Delegate)                | Specifies an action delegate
Method      | Z0.DelegateIndex.Action(System.String)                                | Retrieves an action delegate
Method      | Z0.DelegateIndex.Function(System.String)                              | Retrieves a function delegate
Type        | Z0.DelegateIndexBuilder`1                                             | Implementation of a builder pattern that constructs <see cref="T:Z0.DelegateIndex" /> instances            based on supplied expressions and upon completion emits an implementation of the specified             contract type, returning an instance to this implementation to the caller
Method      | Z0.DelegateIndexBuilder`1.type_array``1                               | Creates an array of <see cref="T:System.Type" /> references from the supplied type parameters
Method      | Z0.DelegateIndexBuilder`1.type_array``2                               | Creates an array of <see cref="T:System.Type" /> references from the supplied type parameters
Method      | Z0.DelegateIndexBuilder`1.type_array``3                               | Creates an array of <see cref="T:System.Type" /> references from the supplied type parameters
Method      | Z0.DelegateIndexBuilder`1.type_array``4                               | Creates an array of <see cref="T:System.Type" /> references from the supplied type parameters
Method      | Z0.DelegateIndexBuilder`1.Realize                                     | Emits the implementation defined by the builder and returns an intance of this implementation            to the caller
Type        | Z0.DynamicContract                                                    | Provides access to high-level dynamic contract capabilities
Method      | Z0.DynamicContract.Realize``1(Z0.IDynamicContractMessenger)           | Realizes implementation of a user-defined contract by delegating through a <see cref="T:Z0.IDynamicContractMessenger" /> implementation
Method      | Z0.DynamicContract.Realize``1(Z0.IDynamicContract)                    | Realizes implementation of an interface contract via an instance of the <see cref="T:Z0.DynamicContractHost`1" /> type
Type        | Z0.DynamicContractImplementor                                         | Generates an implementation of a specified interface type that delegates to an implementation            of <see cref="T:Z0.IDynamicContractMessenger" />
