Method      | Z0.BitVector.add(Z0.BitVector4,Z0.BitVector4)                         | Computes the arithmetic sum z := x + y for bitvectors x and y
Method      | Z0.BitVector.add(Z0.BitVector8,Z0.BitVector8)                         | Computes the arithmetic sum of two bitvectors
Method      | Z0.BitVector.add(Z0.BitVector16,Z0.BitVector16)                       | Computes the arithmetic sum z := x + y for bitvectors x and y
Method      | Z0.BitVector.add(Z0.BitVector32,Z0.BitVector32)                       | Computes the arithmetic sum z := x + y for bitvectors x and y
Method      | Z0.BitVector.add(Z0.BitVector64,Z0.BitVector64)                       | Computes the arithmetic sum z := x + y for bitvectors x and y
Method      | Z0.BitVector.add``1(Z0.BitVector{``0},Z0.BitVector{``0})              | Computes the arithmetic sum z := x + y for generic bitvectors x and y
Method      | Z0.BitVector.add``2(Z0.BitVector128{``0,``1}@,Z0.BitVector128{``0,``1}@)| Computes the sum of two 128-bit integers
Method      | Z0.BitVector.alloc``2(``0,``1)                                        | Allocates a natural bitvector
Method      | Z0.BitVector.alloc``1(``0)                                            | Allocates a generic bitvector
Method      | Z0.BitVector.alloc(Z0.N4)                                             | Allocates a 4-bit primal bitvector
Method      | Z0.BitVector.alloc(Z0.N8)                                             | Allocates an 8-bit primal bitvector
Method      | Z0.BitVector.alloc(Z0.N16)                                            | Allocates a primal 16-bit bitvector
Method      | Z0.BitVector.alloc(Z0.N32)                                            | Allocates a primal 32-bit bitvector
Method      | Z0.BitVector.alloc(Z0.N64)                                            | Allocates a primal 64-bit bitvector
Method      | Z0.BitVector.alt``1(Z0.bit)                                           | Creates a bitvector with uniformly alternating states where the state of             the first bit is determine by a parity bit
Method      | Z0.BitVector.alt``2(Z0.bit,``0)                                       | Creates a bitvector with uniformly alternating states where the state of             the first bit is determined by a parity bit
Method      | Z0.BitVector.alt(Z0.N8,Z0.bit)                                        | Creates a bitvector with uniformly alternating states where the state of the            first bit is determine by a specified parity bit
Method      | Z0.BitVector.alt(Z0.N16,Z0.bit)                                       | Creates a bitvector with uniformly alternating states where the state of the            first bit is determine by a specified parity bit
Method      | Z0.BitVector.alt(Z0.N32,Z0.bit)                                       | Creates a bitvector with uniformly alternating states where the state of the            first bit is determine by a specified parity bit
Method      | Z0.BitVector.alt(Z0.N64,Z0.bit)                                       | Creates a bitvector with uniformly alternating states where the state of the            first bit is determine by a specified parity bit
Method      | Z0.BitVector.bitseg``1(Z0.BitVector{``0},System.Byte,System.Byte)     | Extracts a contiguous sequence of bits defined by an inclusive range
Method      | Z0.BitVector.bitseg``2(Z0.BitVector{``0,``1},System.Byte,System.Byte) | Extracts a contiguous sequence of bits defined by an inclusive range
Method      | Z0.BitVector.bitseg(Z0.BitVector4,System.Byte,System.Byte)            | Extracts a contiguous sequence of bits defined by an inclusive range
Method      | Z0.BitVector.bitseg(Z0.BitVector8,System.Byte,System.Byte)            | Extracts a contiguous sequence of bits defined by an inclusive range
Method      | Z0.BitVector.bitseg(Z0.BitVector16,System.Byte,System.Byte)           | Extracts a contiguous sequence of bits defined by an inclusive range
Method      | Z0.BitVector.bitseg(Z0.BitVector32,System.Byte,System.Byte)           | Extracts a contiguous sequence of bits defined by an inclusive range
Method      | Z0.BitVector.bitseg(Z0.BitVector64,System.Byte,System.Byte)           | Extracts a contiguous sequence of bits defined by an inclusive range
Method      | Z0.BitVector.bitspan(Z0.BitVector4,System.Nullable{System.Int32})     | Converts the vector to a bitspan representation
Method      | Z0.BitVector.bitspan(Z0.BitVector8,System.Nullable{System.Int32})     | Converts the vector to a bitspan representation
Method      | Z0.BitVector.bitspan(Z0.BitVector16,System.Nullable{System.Int32})    | Converts the vector to a bitspan representation
Method      | Z0.BitVector.bitspan(Z0.BitVector24,System.Nullable{System.Int32})    | Converts the vector to a bitspan representation
Method      | Z0.BitVector.bitspan(Z0.BitVector32,System.Nullable{System.Int32})    | Converts the vector to a bitspan representation
Method      | Z0.BitVector.bitspan(Z0.BitVector64,System.Nullable{System.Int32})    | Converts the vector to a bitspan representation
Method      | Z0.BitVector.bitspan``1(Z0.BitVector{``0},System.Nullable{System.Int32})| Converts the vector to a bitspan representation
Method      | Z0.BitVector.bitspan``2(Z0.BitVector{``0,``1})                        | Converts the vector to a bitspan representation
Method      | Z0.BitVector.bitstring``2(Z0.BitVector{``0,``1})                      | Converts the vector content to a bitring representation
Method      | Z0.BitVector.bitstring``2(Z0.BitVector{``0,``1},System.Byte[])        | Converts the vector content to a bitring representation
Method      | Z0.BitVector.bitstring``2(Z0.BitVector128{``0,``1}@)                  | Converts the vector to a bistring representation
Method      | Z0.BitVector.bitstring(Z0.BitVector4)                                 | Converts the vector to a bistring representation
Method      | Z0.BitVector.bitstring(Z0.BitVector8)                                 | Converts the vector to a bistring representation
Method      | Z0.BitVector.bitstring(Z0.BitVector16)                                | Converts the vector to a bistring representation
Method      | Z0.BitVector.bitstring(Z0.BitVector24)                                | Converts the vector to a bistring representation
Method      | Z0.BitVector.bitstring(Z0.BitVector32)                                | Converts the vector to a bistring representation
Method      | Z0.BitVector.bitstring(Z0.BitVector64)                                | Converts the vector to a bistring representation
Method      | Z0.BitVector.bitstring``1(Z0.BitVector{``0})                          | Extracts the represented data as a bitstring
Method      | Z0.BitVector.bitstring``1(Z0.BitVector{``0},System.Int32)             | Extracts the represented data as a bitstring truncated to a specified width
Method      | Z0.BitVector.concat(Z0.BitVector4,Z0.BitVector4)                      | Creates an 8-bit vector by concatenating a pair of 4-bit vectors
Method      | Z0.BitVector.concat(Z0.BitVector4,Z0.BitVector4,Z0.BitVector4,Z0.BitVector4)| Creates a 16-bit vector by concatenating 4 4-bit vectors
Method      | Z0.BitVector.concat(Z0.BitVector8,Z0.BitVector8)                      | Creates an 16-bit vector by concatenating a pair of 8-bit vectors
Method      | Z0.BitVector.concat(Z0.BitVector16,Z0.BitVector16)                    | Creates a 32-bit vector by concatenating a pair of 16-bit vectors
Method      | Z0.BitVector.concat(Z0.BitVector8,Z0.BitVector8,Z0.BitVector8,Z0.BitVector8)| Creates a 32-bit vector by concatenating 4 8-bit vectors
