Method      | Z0.IApiMemberOps.CreateIndex``1(System.Collections.Generic.IEnumerable{``0})| Creates an operation index from an api member stream
Method      | Z0.IApiMemberOps.CreateIndex``1(System.ReadOnlySpan{``0})             | Creates an operation index from an api member span, readonly that is
Method      | Z0.IApiMemberOps.CreateIndex``1(System.Span{``0})                     | Creates an operation index from an api member span
Method      | Z0.ApiHosts.types(System.Reflection.Assembly)                         | Selects the host-attributed types from an assembly
Method      | Z0.ApiHosts.funfacts(System.Reflection.Assembly)                      | Searches an assembly for types tagged with the <see cref="T:Z0.FunctionalServiceAttribute" />
Method      | Z0.ApiHosts.hosts(System.Reflection.Assembly)                         | Instantiates the api hosts defined in a .net assembly
Property    | Z0.ApiCatalog.PartId                                                  | The identity of the assembly that defines and owns the catalog
Property    | Z0.ApiCatalog.Owner                                                   | The assembly that defines and owns the catalog
Property    | Z0.ApiCatalog.Hosts                                                   | The api hosts known to the catalog
Type        | Z0.ApiComposition                                                     | Defines a collection of resolved assemblies
Property    | Z0.ApiComposition.Resolved                                            | The members of the compostion
Type        | Z0.ApiHost                                                            | Identifies/describes a type that declares a formalized api set
Type        | Z0.ApiMembers                                                         | A simple api member sequence adapter
Property    | Z0.NaturalNumericOp.Host                                              | The operation host to which generic definition and any concrete closures belowng
Property    | Z0.NaturalNumericOp.GenericId                                         | The generic operation identity
Property    | Z0.NaturalNumericOp.Closures                                          | The supported closures
Property    | Z0.NaturalNumericOp.Id                                                | The generalized identity
Property    | Z0.NaturalNumericOp.Method                                            | The generic method definition
Property    | Z0.NaturalNumericOp.HostUri                                           | The hosting type uri
Method      | Z0.UriHexQuery.accepts(Z0.IdentifiedCode,Z0.NumericKind)              | Determines whether an operation accepts an argument of specified numeric kind
Method      | Z0.UriHexQuery.arity(Z0.IdentifiedCode)                               | Determines the arity of the encoded operation
Method      | Z0.UriHexQuery.index(System.Collections.Generic.IEnumerable{Z0.IdentifiedCode})| Creates an operation index from a uri bitstream
Method      | Z0.UriHexQuery.filter(System.Collections.Generic.IEnumerable{Z0.IdentifiedCode},Z0.NumericKind,Z0.NumericKind)| Excludes source operations that do not accept two parameters of specified numeric kind
Method      | Z0.IApiReflected.Catalog(Z0.IPart)                                    | Creates a (possibly empy) api catalog for a specified part
Method      | Z0.IApiReflected.Hosts(System.Reflection.Assembly)                    | Instantiates the api hosts found in a specified assembly
Method      | Z0.IApiReflected.HostTypes(System.Reflection.Assembly)                | Searches an assembly for api host types
Method      | Z0.IUriHexParser.Z0#ITextParser{Z0#IdentifiedCode}#Parse(System.String)| Parses a row of identified hex text
