Property    | Z0.Kinds.v128                                                         | Specifies the 128-bit vector type classifier
Property    | Z0.Kinds.v256                                                         | Specifies the 256-bit vector type classifier
Property    | Z0.Kinds.v512                                                         | Specifies the 512-bit vector type classifier
Method      | Z0.Kinds.vk128``1(``0)                                                | Reifies a cell-parametric 128-bit vector kind
Method      | Z0.Kinds.vk256``1(``0)                                                | Reifies a cell-parametric 256-bit vector kind
Method      | Z0.Kinds.vk512``1(``0)                                                | Reifies a cell-parametric 512-bit vector kind
Property    | Z0.IVectorKind.TypeDefinition                                         | The vector's generic type definition
Property    | Z0.IVectorKind.CellKind                                               | The vector numeric cell kind
Property    | Z0.IVectorKind.CellWidth                                              | The vector numeric cell width
Method      | Z0.IVectorKind.Close                                                  | The reified vector type as determined by kind facets
Type        | Z0.IVectorType`2                                                      | Characterizes an F-bound polymorphic reification that identifies an intrinsic vector generic type definition
Type        | Z0.A0`1                                                               | Classifies generic operations of arity 0
Type        | Z0.A1`1                                                               | Classifies parametric operations of arity 1
Type        | Z0.A2`1                                                               | Classifies parametric operations of arity 2
Type        | Z0.A3`1                                                               | Classifies parametric operations of arity 3
Type        | Z0.A0                                                                 | Classifies operations of arity 0
Type        | Z0.A1                                                                 | Classifies operations of arity 0
Type        | Z0.A2                                                                 | Classifies operations of arity 0
Type        | Z0.A3                                                                 | Classifies operations of arity 3
Method      | Z0.IdentityPart.Define(System.Byte,Z0.IdentityPartKind,System.String) | Defines an identity part
Type        | Z0.NatNumericIdentity                                                 | Defines identity for a pair NxT or MxNxT where M and N are natural types and T is numeric
Field       | Z0.NatNumericIdentity.M                                               | The number of grid rows
Field       | Z0.NatNumericIdentity.N                                               | The number of grid columns
Field       | Z0.NatNumericIdentity.T                                               | The numeric cell type
Method      | Z0.NatNumericIdentity.Format                                          | Formats the dimension in canonical form
Type        | Z0.PartUri                                                            | Uri for .net clr assembly
Field       | Z0.PartUri.Id                                                         | The assembly identifier, constrained to the defining enumeration
Property    | Z0.PartUri.UriText                                                    | The uri content
Type        | Z0.Vec128Type                                                         | Represents the generic type definition for a 128-bit vector
Type        | Z0.Vec256Type                                                         | Represents the generic type definition for a 256-bit vector
Type        | Z0.Vec512Type                                                         | Represents the generic type definition for a 512-bit vector
Method      | Z0.BlockedKinds.kind(System.Type)                                     | Determines the block classifier for a blocked type
Method      | Z0.BlockedKinds.segment(System.Type)                                  | Determines the segment kind classifier for a blocked type
Method      | Z0.XTend.IsFloat(Z0.BlockedKind)                                      | Determines whether the floating facet of a block classification is enabled
Method      | Z0.XTend.IsIntegral(Z0.BlockedKind)                                   | Determines whether the signed or unsigned facet of a block classification is enabled
Method      | Z0.XTend.IsSigned(Z0.BlockedKind)                                     | Determines whether the signed facet of a block classification is enabled
Method      | Z0.XTend.Format(Z0.FixedWidth)                                        | Produces a canonical text representation of the source kind
Method      | Z0.XTend.DistinctTypes(Z0.NumericKind)                                | Computes the primal types identified by a specified kind
Method      | Z0.XTend.DistinctKinds(Z0.NumericKind)                                | Enumerates the distinct numeric kinds represented by the (bitfield) source kind
Method      | Z0.XTend.IsNumeric(System.Reflection.MethodInfo)                      | Determines whether a method has numeric operands (if any) and a numeric return type (if any)
Method      | Z0.XTend.IsNumericOperator(System.Reflection.MethodInfo,System.Nullable{System.Int32})| Determines whether a method is a numeric operator with a specified arity
Method      | Z0.XTend.NumericOperators(System.Collections.Generic.IEnumerable{System.Reflection.MethodInfo})| Queries the stream for methods that are recognized as numeric operators
