Method      | Z0.MatrixOps.Mul``3(Z0.Matrix256{``0,``1,System.Single},Z0.Matrix256{``1,``2,System.Single})| Allocates and computes a matrix X = AB of natural dimension MxN
Method      | Z0.MatrixOps.Mul``3(Z0.Matrix256{``0,``1,System.Double},Z0.Matrix256{``1,``2,System.Double})| Allocates and computes a matrix X = AB of natural dimension MxN
Method      | Z0.MatrixOps.Mul``3(Z0.Matrix256{``0,``1,System.Single},Z0.Matrix256{``1,``2,System.Single},Z0.Matrix256{``0,``2,System.Single}@)| Computes the matrix product X = AB
Method      | Z0.MatrixOps.Mul``3(Z0.Matrix256{``0,``1,System.Double},Z0.Matrix256{``1,``2,System.Double},Z0.Matrix256{``0,``2,System.Double}@)| Computes the matrix product X = AB
Method      | Z0.MatrixOps.Mul``1(Z0.Matrix256{``0,System.Single},Z0.Matrix256{``0,System.Single},Z0.Matrix256{``0,System.Single}@)| Computes the product of square matrices of natural dimension
Method      | Z0.MatrixOps.Mul``1(Z0.Matrix256{``0,System.Double},Z0.Matrix256{``0,System.Double},Z0.Matrix256{``0,System.Double}@)| Computes the product of square matrices of natural dimension
Method      | Z0.Mkl.mkl.asum(Z0.RowVector256{System.Single})                       | Computes the sum of the absolute value of each component
Method      | Z0.Mkl.mkl.asum(Z0.RowVector256{System.Double})                       | Computes the sum of the absolute value of each component
Method      | Z0.Mkl.mkl.axpy``1(System.Single,Z0.Block256{``0,System.Single},Z0.Block256{``0,System.Single},Z0.Block256{``0,System.Single}@)| Computes the vector Z = aX + Y
Method      | Z0.Mkl.mkl.axpy(System.Single,Z0.RowVector256{System.Single},Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes the vector Z = aX + Y
Method      | Z0.Mkl.mkl.axpy(System.Double,Z0.RowVector256{System.Double},Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes the vector Z = aX + Y
Method      | Z0.Mkl.mkl.dot``1(Z0.Block256{``0,System.Single},Z0.Block256{``0,System.Single})| Computes the scalar product between two vectors of natural length
Method      | Z0.Mkl.mkl.dot``1(Z0.Block256{``0,System.Double},Z0.Block256{``0,System.Double})| Computes the scalar product between two vectors of natural length
Method      | Z0.Mkl.mkl.dot(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single})| Computes the scalar product between two vectors that are hopefully of the same length
Method      | Z0.Mkl.mkl.dot(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double})| Computes the scalar product between two vectors that are hopefully of the same length
Method      | Z0.Mkl.mkl.dot(System.Span{System.Single},System.Span{System.Single}) | Computes the scalar product of the left and right operands
Method      | Z0.Mkl.mkl.dot(System.Span{System.Double},System.Span{System.Double}) | Computes the scalar product of the left and right operands
Method      | Z0.Mkl.mkl.gemm``4(Z0.Matrix256{``0,``1,``3},Z0.Matrix256{``1,``2,``3},Z0.Matrix256{``0,``2,``3}@)| Populates a target matrix with the product of the operands
Method      | Z0.Mkl.mkl.gemm``2(Z0.Matrix256{``0,``1},Z0.Matrix256{``0,``1},Z0.Matrix256{``0,``1}@)| Populates a target matrix with the product of the operands
Method      | Z0.Mkl.mkl.gemm``3(Z0.Matrix256{``0,``1,System.Single},Z0.Matrix256{``1,``2,System.Single})| Allocates a target matrix and populates it with the product of the operands
Method      | Z0.Mkl.mkl.gemm``3(Z0.Matrix256{``0,``1,System.Double},Z0.Matrix256{``1,``2,System.Double})| Allocates a target matrix and populates it with the product of the operands
Method      | Z0.Mkl.mkl.gemm``3(Z0.Matrix256{``0,``1,System.Single},Z0.Matrix256{``1,``2,System.Single},Z0.Matrix256{``0,``2,System.Single}@)| Populates a target matrix with the product of the operands
Method      | Z0.Mkl.mkl.gemm``3(Z0.Matrix256{``0,``1,System.Double},Z0.Matrix256{``1,``2,System.Double},Z0.Matrix256{``0,``2,System.Double}@)| Populates a target matrix with the product of the operands
Method      | Z0.Mkl.mkl.gemm``1(Z0.Matrix256{``0,System.Single},Z0.Matrix256{``0,System.Single},Z0.Matrix256{``0,System.Single}@)| Computes the product of square metrices X = AB
Method      | Z0.Mkl.mkl.gemm``1(Z0.Matrix256{``0,System.Double},Z0.Matrix256{``0,System.Double},Z0.Matrix256{``0,System.Double}@)| Computes the product of square metrices X = AB
Method      | Z0.Mkl.mkl.gemv``2(Z0.Matrix256{``0,``1,System.Double},Z0.Block256{``1,System.Double},Z0.Block256{``0,System.Double}@)| Computes the matrix-vector product y = A*x;
Method      | Z0.Mkl.mkl.gemv``2(Z0.Matrix256{``0,``1,System.Single},Z0.Block256{``1,System.Single},Z0.Block256{``0,System.Single}@)| Computes the matrix-vector product y = A*x;
Method      | Z0.Mkl.mkl.iamax(Z0.RowVector256{System.Single})                      | Returns the index of the component with maximal absolute value
Method      | Z0.Mkl.mkl.amax(Z0.RowVector256{System.Single})                       | Returns the value of the component with maximal absolute value
Method      | Z0.Mkl.mkl.iamax(Z0.RowVector256{System.Double})                      | Returns the index of the component with maximal absolute value
Method      | Z0.Mkl.mkl.amax(Z0.RowVector256{System.Double})                       | Returns the value of the component with maximal absolute value
Method      | Z0.Mkl.mkl.iamin(Z0.RowVector256{System.Single})                      | Returns the index of the component with maximal absolute value
Method      | Z0.Mkl.mkl.amin(Z0.RowVector256{System.Single})                       | Returns the value of the component with minimal absolute value
