Type        | PartId                                                                | Defines identifiers for assemblies that comprise this ... monstrosity?
Type        | ExternId                                                              | Defines identifiers for external library dependencies, probably native
Type        | Z0.BinaryLiteralAttribute                                             | Attaches a binary literal value to a target
Type        | Z0.BitFieldAttribute                                                  | Identifies a bitfield specification
Method      | Z0.BitFieldAttribute.#ctor(System.Byte)                               | Specifies the bitfield section [0..right]
Method      | Z0.BitFieldAttribute.#ctor(System.Byte,System.Byte)                   | Specifies the bitfield section [left..right]
Property    | Z0.BitFieldAttribute.LeftIndex                                        | The left bitfield index
Property    | Z0.BitFieldAttribute.RightIndex                                       | The right bitfield index
Type        | Z0.FieldWidthAttribute                                                | Specifies the target width
Type        | Z0.MultiLiteralAttribute                                              | Attaches a muliliteral to a target
Field       | Z0.Konst.Bit0                                                         | Identifies term 0 of a bit sequence
Field       | Z0.Konst.Bit1                                                         | Identifies term 1 of a bit sequence
Field       | Z0.Konst.Bit2                                                         | Identifies term 2 of a bit sequence
Field       | Z0.Konst.Bit3                                                         | Identifies term 3 of a bit sequence
Field       | Z0.Konst.Bit4                                                         | Identifies term 4 of a bit sequence
Field       | Z0.Konst.Bit5                                                         | Identifies term 6 of a bit sequence
Field       | Z0.Konst.Bit6                                                         | Identifies term 6 of a bit sequence
Field       | Z0.Konst.Bit7                                                         | Identifies term 7 of a bit sequence
Field       | Z0.Konst.Bit8                                                         | Identifies term 8 of a bit sequence
Field       | Z0.Konst.Bit9                                                         | Identifies term 9 of a bit sequence
Field       | Z0.Konst.Bit10                                                        | Identifies term 10 of a bit sequence
Field       | Z0.Konst.Bit11                                                        | Identifies term 11 of a bit sequence
Field       | Z0.Konst.Bit12                                                        | Identifies term 12 of a bit sequence
Field       | Z0.Konst.Bit13                                                        | Identifies term 13 of a bit sequence
Field       | Z0.Konst.Bit14                                                        | Identifies term 14 of a bit sequence
Field       | Z0.Konst.Bit15                                                        | Identifies term 15 of a bit sequence
Field       | Z0.Konst.Bit16                                                        | Identifies term 16 of a bit sequence
Field       | Z0.Konst.Bit17                                                        | Identifies term 17 of a bit sequence
Field       | Z0.Konst.Bit18                                                        | Identifies term 18 of a bit sequence
Field       | Z0.Konst.Bit19                                                        | Identifies term 19 of a bit sequence
Field       | Z0.Konst.Bit20                                                        | Identifies term 20 of a bit sequence
Field       | Z0.Konst.Bit21                                                        | Identifies term 21 of a bit sequence
Field       | Z0.Konst.Bit22                                                        | Identifies term 22 of a bit sequence
Field       | Z0.Konst.Bit23                                                        | Identifies term 23 of a bit sequence
Field       | Z0.Konst.Bit24                                                        | Identifies term 24 of a bit sequence
Field       | Z0.Konst.Bit25                                                        | Identifies term 25 of a bit sequence
Field       | Z0.Konst.Bit26                                                        | Identifies term 26 of a bit sequence
Field       | Z0.Konst.Bit27                                                        | Identifies term 27 of a bit sequence
Field       | Z0.Konst.Bit28                                                        | Identifies term 28 of a bit sequence
Field       | Z0.Konst.Bit29                                                        | Identifies term 29 of a bit sequence
Field       | Z0.Konst.Bit30                                                        | Identifies term 30 of a bit sequence
Field       | Z0.Konst.Bit31                                                        | Identifies term 31 of a bit sequence
Field       | Z0.Konst.Bit32                                                        | Identifies term 33 of a bit sequence
Field       | Z0.Konst.Bit33                                                        | Identifies term 33 of a bit sequence
Field       | Z0.Konst.Bit34                                                        | Identifies term 34 of a bit sequence
Field       | Z0.Konst.Bit35                                                        | Identifies term 35 of a bit sequence
Field       | Z0.Konst.Bit36                                                        | Identifies term 36 of a bit sequence
Field       | Z0.Konst.Bit37                                                        | Identifies term 37 of a bit sequence
Field       | Z0.Konst.Bit38                                                        | Identifies term 38 of a bit sequence
Field       | Z0.Konst.Bit39                                                        | Identifies term 39 of a bit sequence
Field       | Z0.Konst.Bit40                                                        | Identifies term 40 of a bit sequence
Field       | Z0.Konst.Bit41                                                        | Identifies term 41 of a bit sequence
Field       | Z0.Konst.Bit42                                                        | Identifies term 44 of a bit sequence
Field       | Z0.Konst.Bit43                                                        | Identifies term 44 of a bit sequence
Field       | Z0.Konst.Bit44                                                        | Identifies term 44 of a bit sequence
Field       | Z0.Konst.Bit45                                                        | Identifies term 45 of a bit sequence
Field       | Z0.Konst.Bit46                                                        | Identifies term 46 of a bit sequence
Field       | Z0.Konst.Bit47                                                        | Identifies term 47 of a bit sequence
Field       | Z0.Konst.Bit48                                                        | Identifies term 48 of a bit sequence
Field       | Z0.Konst.Bit49                                                        | Identifies term 49 of a bit sequence
Property    | Z0.Konst.EmptyType                                                    | The empty type
Property    | Z0.Konst.UpperCase                                                    | Uppercase letter classifier accessor
