Method      | Z0.BitGrid.negate``1(Z0.BitGrid16{``0})                               | Computes the two's complement negation of source grid
Method      | Z0.BitGrid.negate``1(Z0.BitGrid32{``0})                               | Computes the two's complement negation of source grid
Method      | Z0.BitGrid.negate``1(Z0.BitGrid64{``0})                               | Computes the two's complement negation of source grid
Method      | Z0.BitGrid.negate``1(Z0.BitGrid{``0}@,Z0.BitGrid{``0}@)               | Computes the two's complement negation of the first grid and deposits the result into the second
Method      | Z0.BitGrid.negate``3(Z0.BitGrid16{``0,``1,``2})                       | Computes the two's complement negation of the source grid
Method      | Z0.BitGrid.negate``3(Z0.BitGrid32{``0,``1,``2})                       | Computes the two's complement negation of the source grid
Method      | Z0.BitGrid.negate``3(Z0.BitGrid64{``0,``1,``2})                       | Computes the two's complement negation of the source grid
Method      | Z0.BitGrid.negate``3(Z0.BitGrid128{``0,``1,``2}@)                     | Computes the two's complement negation of the source grid
Method      | Z0.BitGrid.negate``3(Z0.BitGrid256{``0,``1,``2}@)                     | Computes the two's complement negation of the source grid
Method      | Z0.BitGrid.negate``3(Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@)| Computes the two's complement negation of the first grid and deposits the result into the second
Method      | Z0.BitGrid.negate``3(Z0.BitGrid{``0,``1,``2}@)                        | Computes the two's complement negation of the source grid and returns the allocated result
Method      | Z0.BitGrid.and``1(Z0.BitGrid16{``0},Z0.BitGrid16{``0})                | Computes the bitwise AND between fixed-width 16-bit generic bitgrids
Method      | Z0.BitGrid.and``1(Z0.BitGrid32{``0},Z0.BitGrid32{``0})                | Computes the bitwise AND between fixed-width 32-bit generic bitgrids
Method      | Z0.BitGrid.and``1(Z0.BitGrid64{``0},Z0.BitGrid64{``0})                | Computes the bitwise AND between fixed-width 64-bit grids
Method      | Z0.BitGrid.and``1(Z0.BitGrid{``0}@,Z0.BitGrid{``0}@,Z0.BitGrid{``0}@) | Computes the bitwise AND between generic bitgrids and stores the result to a caller-supplied target
Method      | Z0.BitGrid.and``3(Z0.BitGrid16{``0,``1,``2},Z0.BitGrid16{``0,``1,``2})| Computes the bitwise AND between fixed-width natural bitgrids
Method      | Z0.BitGrid.and``3(Z0.BitGrid32{``0,``1,``2},Z0.BitGrid32{``0,``1,``2})| Computes the bitwise AND between fixed-width natural bitgrids
