Type        | Z0.dinxfp                                                             | Direct vectorized intrinsics over floating-point domains
Method      | Z0.dinxfp.vadd(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_add_ps (__m128 a, __m128 b)ADDPS xmm, xmm/m128
Method      | Z0.dinxfp.vadd(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_add_pd (__m128d a, __m128d b)ADDPD xmm, xmm/m128
Method      | Z0.dinxfp.vadd(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_add_ps (__m256 a, __m256 b)VADDPS ymm, ymm, ymm/m256
Method      | Z0.dinxfp.vadd(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_add_pd (__m256d a, __m256d b)VADDPD ymm, ymm, ymm/m256
Method      | Z0.dinxfp.ceil(System.Runtime.Intrinsics.Vector128{System.Single})    | __m128d _mm_ceil_sd (__m128d a) ROUNDSD xmm, xmm/m128, imm8(10)
Method      | Z0.dinxfp.ceil(System.Runtime.Intrinsics.Vector128{System.Double})    | __m128d _mm_ceil_pd (__m128d a) ROUNDPD xmm, xmm/m128, imm8(10)
Method      | Z0.dinxfp.ceil(System.Runtime.Intrinsics.Vector256{System.Single})    | __m256 _mm256_ceil_ps (__m256 a) VROUNDPS ymm, ymm/m256, imm8(10)
Method      | Z0.dinxfp.ceil(System.Runtime.Intrinsics.Vector256{System.Double})    | __m256 _mm256_ceil_pd (__m256 a) VROUNDPS ymm, ymm/m256, imm8(10)
Method      | Z0.dinxfp.vdiv(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_div_ps (__m128 a, __m128 b)DIVPS xmm, xmm/m128
Method      | Z0.dinxfp.vdiv(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_div_pd (__m128d a, __m128d b)DIVPD xmm, xmm/m128
Method      | Z0.dinxfp.vdiv(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_div_ps (__m256 a, __m256 b)VDIVPS ymm, ymm, ymm/m256
Method      | Z0.dinxfp.vdiv(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_div_pd (__m256d a, __m256d b)VDIVPD ymm, ymm, ymm/m256
Method      | Z0.dinxfp.vdot(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single},System.Nullable{System.Byte})| __m128 _mm_dp_ps (__m128 a, __m128 b, const int imm8) DPPS xmm, xmm/m128, imm8
Method      | Z0.dinxfp.vdot(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double},System.Nullable{System.Byte})| __m128d _mm_dp_pd (__m128d a, __m128d b, const int imm8) DPPD xmm, xmm/m128, imm8
Method      | Z0.dinxfp.vdot(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single},System.Nullable{System.Byte})| __m256 _mm256_dp_ps (__m256 a, __m256 b, const int imm8) VDPPS ymm, ymm, ymm/m256,
Method      | Z0.dinxfp.vfloor(System.Runtime.Intrinsics.Vector128{System.Single})  | __m128 _mm_floor_ps (__m128 a) ROUNDPS xmm, xmm/m128, imm8(9)
Method      | Z0.dinxfp.vfloor(System.Runtime.Intrinsics.Vector128{System.Double})  | __m128 _mm_floor_ps (__m128 a) ROUNDPS xmm, xmm/m128, imm8(9)
Method      | Z0.dinxfp.vfloor(System.Runtime.Intrinsics.Vector256{System.Single})  | __m256 _mm256_floor_ps (__m256 a) VROUNDPS ymm, ymm/m256, imm8(9)
Method      | Z0.dinxfp.vfloor(System.Runtime.Intrinsics.Vector256{System.Double})  | __m256d _mm256_floor_pd (__m256d a) VROUNDPS ymm, ymm/m256, imm8(9)
