Type        | Z0.IAdditiveOps`1                                                     | Characterizes a type for which commutative additivity can be defined
Method      | Z0.IAdditiveOps`1.Add(`0,`0)                                          | Alias for commutative semigroup composition operator
Type        | Z0.IAdditive`1                                                        | Characterizes a structure that supports semigroup additivity
Method      | Z0.ISuccessive`2.Next                                                 | Given an A-value, computes the next B-value
Method      | Z0.IAntecedant`2.Prior                                                | Given an A-value, computes the prior B-value
Type        | Z0.IAdjacency`2                                                       | Characterizes a bidirectional association between types for which            the exists notions successors and antecedants
Type        | Z0.IBitwiseOps`1                                                      | Characterizes bitwise operations over an operand
Method      | Z0.IBitwiseOps`1.And(`0,`0)                                           | Computes the bitwise AND
Method      | Z0.IBitwiseOps`1.Or(`0,`0)                                            | Computes the bitwise OR
Method      | Z0.IBitwiseOps`1.XOr(`0,`0)                                           | Computes the bitwise XOR
Method      | Z0.IBitwiseOps`1.Not(`0)                                              | Computes the bitwise complement
Method      | Z0.IShiftOps`1.RotL(`0,System.Int32)                                  | Rotates bits rightwards, from MSB -&gt; LSB
Method      | Z0.IShiftOps`1.RotR(`0,System.Int32)                                  | Rotates bits leftwards, from LSB -&gt; MSB
Method      | Z0.IShiftable`1.RotL(System.Int32)                                    | Rotates bits rightwards, from MSB -&gt; LSB
Method      | Z0.IShiftable`1.RotR(System.Int32)                                    | Rotates bits leftwards, from LSB -&gt; MSB
Type        | Z0.ICommutativeOps`1                                                  | Characterizes commutative operations
Type        | Z0.ICommutative`1                                                     | Characterizes structural commutativity
Type        | Z0.IComplex`3                                                         | Characterizes a structure that represents a complex number
Property    | Z0.IComplex`3.Re                                                      | The real part
Property    | Z0.IComplex`3.Im                                                      | The imaginary part
Type        | Z0.ICurrencyOps`1                                                     | Characterizes a bounded fractional operation provider
Type        | Z0.ICurrency`1                                                        | Characterizes structural reifications of Currency
Method      | Z0.ILeftDistributiveOps`1.Distribute(`0,System.ValueTuple{`0,`0})     | Characterizes a type that defines an operator that left-distributes            multiplication over addition
Type        | Z0.IRightDistributiveOps`1                                            | Characterizes a type that defines an operator that right-distributes            multiplication over addition
Type        | Z0.IDistributiveOps`1                                                 | Characterizes a type that defines both left and right distribution            over addition
Method      | Z0.ILeftDistributive`1.LeftDistribute(System.ValueTuple{`0,`0})       | Characterizes a type that defines an operator that left-distributes            multiplication over addition
Method      | Z0.IRightDistributive`1.RightDistribute(System.ValueTuple{`0,`0})     | Characterizes a type that defines an operator that left-distributes            multiplication over addition
Type        | Z0.IIntegralDomainOps`1                                               | Characterizes an integral domain, which is a nonzero commutative ring            such that for every pair of nonzero elements a and b, the product            ab is nonzero, i.e., ab = 0 iff a = 0 or b = 0
Type        | Z0.IGcdDomainOps`1                                                    | Characterizes a GCD domain
Type        | Z0.IUniqueFactorDomainOps`1                                           | Characterizes a **unique** factorization domain
Type        | Z0.IPrincipalIdealDomainOps`1                                         | Characterizes a principal ideal domain
Type        | Z0.IEuclideanDomainOps`1                                              | Characterizes a Euclidean domain
Type        | Z0.IDiscreteEqivalenceClass`2                                         | Characterizes a constructive equivalence class, i.e. an equivalence class             with enumerable content
Type        | Z0.IFiniteEquivalenceClass`2                                          | Characterizes an equivalence class, i.e. a segment of a partition effected via             an equivalence relation
Type        | Z0.IDiscreteGroup`2                                                   | Characterizes a discrete group structure
Type        | Z0.IFloatingOps`1                                                     | Characterizes an operation provider for floating point values
Property    | Z0.IFloatingOps`1.Epsilon                                             | The minimal resolution of the data type
Method      | Z0.IFloatingOps`1.Sqrt(`0)                                            | Calculates the square root of the input
Type        | Z0.IFiniteFloatOps`1                                                  | Characterizes an operation provider for bounded floating point values
Type        | Z0.IFiniteFloatOps`2                                                  | Characterizes operational reifications of RealFiniteUInt
Type        | Z0.IFloating`2                                                        | Characterizes a structure for a floating point number
Type        | Z0.IGroupOps`1                                                        | Characterizes group operations over a type
Type        | Z0.IGroupAOps`1                                                       | Characterizes additive/abelian group operations
Method      | Z0.IGroupA`1.Invert                                                   | Unary structural negation
