Method      | Z0.Fixed.alloc``1                                                     | Creates a fixed-type value of parametric type
Method      | Z0.Fixed.bytes``1(``0@)                                               | Presents a fixed value as a span of bytes
Method      | Z0.Fixed.byteview``1(``0@)                                            | Presents a fixed source value as a reaodonly span of bytes
Method      | Z0.Fixed.cell``2(``0@,System.Int32)                                   | Queries/manipulates a cell within a fixed storage block
Method      | Z0.Fixed.cell``1(Z0.Fixed8@,System.Int32)                             | Queries/manipulates a generic cell within an 8-bit storage block
Method      | Z0.Fixed.cell``1(Z0.Fixed16@,System.Int32)                            | Queries/manipulates a generic cell within a 16-bit storage block
Method      | Z0.Fixed.cell``1(Z0.Fixed32@,System.Int32)                            | Queries/manipulates a generic cell within a 32-bit storage block
Method      | Z0.Fixed.cell``1(Z0.Fixed64@,System.Int32)                            | Queries/manipulates a generic cell within a 64-bit storage block
Method      | Z0.Fixed.cell``1(Z0.Fixed128@,System.Int32)                           | Queries/manipulates a generic cell within a 128-bit storage block
Method      | Z0.Fixed.cell``1(Z0.Fixed256@,System.Int32)                           | Queries/manipulates a generic cell within a 256-bit storage block
Method      | Z0.Fixed.deposit``2(``0@,``1@)                                        | Writes source data to a fixed target which, hopefully, is of sufficient size
Method      | Z0.Fixed.span``1(Z0.Fixed8@)                                          | Presents an 8-bit value as a single-celled T-parametric span
Method      | Z0.Fixed.span``1(Z0.Fixed16@)                                         | Presents a 16-bit value as a T-parametric span
Method      | Z0.Fixed.span``1(Z0.Fixed32@)                                         | Presents a 32-bit value as a T-parametric span
Method      | Z0.Fixed.span``1(Z0.Fixed64@)                                         | Presents a 64-bit value as a T-parametric span
Method      | Z0.Fixed.span``1(Z0.Fixed128@)                                        | Presents a 128-bit value as a T-parametric span
Method      | Z0.Fixed.span``1(Z0.Fixed256@)                                        | Presents a 256-bit value as a T-parametric span
Method      | Z0.Fixed.span``1(Z0.Fixed512@)                                        | Presents a 256-bit value as a T-parametric span
Method      | Z0.Fixed.from``1(System.Runtime.Intrinsics.Vector128{``0}@)           | Presents a 128-bit vector as a 128-bit fixed block
Method      | Z0.Fixed.from``1(System.Runtime.Intrinsics.Vector256{``0}@)           | Presents a 256-bit vector as a 256-bit fixed block
Method      | Z0.Fixed.from``1(Z0.Vector512{``0}@)                                  | Presents a 512-bit vector as a 512-bit fixed block
