Field       | Z0.Asm.Data.AsmDataField.OpCodeId                                     | The ice opcode identifer
Field       | Z0.Asm.Data.AsmDataField.Sequence                                     | A unique 0-based sequence number
Field       | Z0.Asm.Data.AsmDataField.Mnemonic                                     | The instruction mnemonic
Field       | Z0.Asm.Data.AsmDataField.Op0                                          | The first instruction operand
Field       | Z0.Asm.Data.AsmDataField.Op1                                          | "The second instruction operand"
Field       | Z0.Asm.Data.AsmDataField.Op2                                          | The third instruction operand
Field       | Z0.Asm.Data.AsmDataField.Op3                                          | The fourth instruction operand
Field       | Z0.Asm.Data.AsmDataField.Op4                                          | The fifth instruction operand
Field       | Z0.Asm.Data.AsmDataField.CpuId                                        | The ice opcode identifer
Type        | Z0.Asm.Data.AsmFieldWidths                                            | Defines the widths of common asm record fields
Field       | Z0.Asm.Data.AsmFieldWidths.Num8Dec                                    | The width of a field containing an 8-bit decimal number
Field       | Z0.Asm.Data.AsmFieldWidths.Num8Hex                                    | The width of a field containing an 8-bit hex number
Field       | Z0.Asm.Data.AsmFieldWidths.BoolSmall                                  | The width of a field containing a boolean indicator [T/F, Y/N, 0/1, ..] that has a small label
Field       | Z0.Asm.Data.AsmFieldWidths.BoolLarge                                  | The width of a field containing a boolean indicator [T/F, Y/N, 0/1, ..] that has a large label
Property    | Z0.Asm.Data.CpuidExpression.Length                                    | The expression length
Property    | Z0.Asm.Data.InstructionExpression.Length                              | The expression length
Property    | Z0.Asm.Data.MnemonicExpression.Length                                 | The expression length
Type        | Z0.Asm.Data.EncodedOpCode                                             | Defines an op code via a sequence bytes
Type        | Z0.Asm.Data.OpCodeIdentifier                                          | Represents an opcode identifier
Type        | Z0.Asm.Data.OpCodeTokenKind                                           | Defines symbols used to specify opcode syntax
Field       | Z0.Asm.Data.OpCodeTokenKind.NE                                        | Not Encodable
Field       | Z0.Asm.Data.OpCodeTokenKind.NP                                        | Indicates the use of 66/F2/F3 prefixes (beyond those already part of the instructions opcode) are not allowed with the instruction
Field       | Z0.Asm.Data.OpCodeTokenKind.NFx                                       | Indicates the use of F2/F3 prefixes (beyond those already part of the instructions opcode) are not allowed with the instruction.
Field       | Z0.Asm.Data.OpCodeTokenKind.REXᕀW                                     | Indicates the use of a REX prefix that affects operand size or instruction semantics
Field       | Z0.Asm.Data.OpCodeTokenKind.ﾉ0                                        | The ModR/M byte of the instruction uses only the r/m operand; The register field digit 0             provides an extension to the instruction's opcode
Field       | Z0.Asm.Data.OpCodeTokenKind.ﾉ1                                        | The ModR/M byte of the instruction uses only the r/m operand; The register field digit 1             provides an extension to the instruction's opcode
Field       | Z0.Asm.Data.OpCodeTokenKind.ﾉ2                                        | The ModR/M byte of the instruction uses only the r/m operand; The register field digit 2             provides an extension to the instruction's opcode
Field       | Z0.Asm.Data.OpCodeTokenKind.ﾉ3                                        | The ModR/M byte of the instruction uses only the r/m operand; The register field digit 3             provides an extension to the instruction's opcode
Field       | Z0.Asm.Data.OpCodeTokenKind.ﾉ4                                        | The ModR/M byte of the instruction uses only the r/m operand; The register field digit 4             provides an extension to the instruction's opcode
Field       | Z0.Asm.Data.OpCodeTokenKind.ﾉ5                                        | The ModR/M byte of the instruction uses only the r/m operand; The register field digit 5             provides an extension to the instruction's opcode
Field       | Z0.Asm.Data.OpCodeTokenKind.ﾉ6                                        | The ModR/M byte of the instruction uses only the r/m operand; The register field digit 6             provides an extension to the instruction's opcode
Field       | Z0.Asm.Data.OpCodeTokenKind.ﾉ7                                        | The ModR/M byte of the instruction uses only the r/m operand; The register field digit 7             provides an extension to the instruction's opcode
Field       | Z0.Asm.Data.OpCodeTokenKind.ﾉr                                        | Indicates that the ModR/M byte of the instruction contains a register operand and an r/m operand
Field       | Z0.Asm.Data.OpCodeTokenKind.cb                                        | A 1-byte value following the opcode to specify a code offset and/or new value for the code segment register.
Field       | Z0.Asm.Data.OpCodeTokenKind.cw                                        | A 2-byte value following the opcode to specify a code offset and/or new value for the code segment register.
Field       | Z0.Asm.Data.OpCodeTokenKind.cd                                        | A 4-byte value following the opcode to specify a code offset and/or new value for the code segment register.
Field       | Z0.Asm.Data.OpCodeTokenKind.cp                                        | A 6-byte value following the opcode to specify a code offset and/or new value for the code segment register.
Field       | Z0.Asm.Data.OpCodeTokenKind.co                                        | A 8-byte value following the opcode to specify a code offset and/or new value for the code segment register.
Field       | Z0.Asm.Data.OpCodeTokenKind.ct                                        | A 10-byte value following the opcode to specify a code offset and/or new value for the code segment register
Field       | Z0.Asm.Data.OpCodeTokenKind.ib                                        | A 1-byte immediate operand to the instruction that follows the opcode or ModR/M bytes or scale-indexing bytes.
Field       | Z0.Asm.Data.OpCodeTokenKind.iw                                        | A 2-byte immediate operand to the instruction that follows the opcode or ModR/M bytes or scale-indexing bytes.
Field       | Z0.Asm.Data.OpCodeTokenKind.id                                        | A 4-byte immediate operand to the instruction that follows the opcode or ModR/M bytes or scale-indexing bytes.
Field       | Z0.Asm.Data.OpCodeTokenKind.io                                        | A 8-byte immediate operand to the instruction that follows the opcode or ModR/M bytes or scale-indexing bytes.
Field       | Z0.Asm.Data.OpCodeTokenKind.ᕀrb                                       | For an 8-bit register indicates:             (a) In non-64-bit mode, a register code is arithmetically added to the value of the opcode byte.             (b) In 64-bit mode, the four bit field of REX.b and opcode[2:0] field encodes the register operand of the instruction
Field       | Z0.Asm.Data.OpCodeTokenKind.ᕀrw                                       | For a 16-bit register indicates:             (a) In non-64-bit mode, a register code is arithmetically added to the value of the opcode byte.             (b) In 64-bit mode, the four bit field of REX.b and opcode[2:0] field encodes the register operand of the instruction
Field       | Z0.Asm.Data.OpCodeTokenKind.ᕀrd                                       | For a 32-bit register indicates:             (a) In non-64-bit mode, a register code is arithmetically added to the value of the opcode byte.             (b) In 64-bit mode, the four bit field of REX.b and opcode[2:0] field encodes the register operand of the instruction
Field       | Z0.Asm.Data.OpCodeTokenKind.ᕀro                                       | For a 64-bit register, indicates the four bit field of REX.b and opcode[2:0] field encodes the register operand of the instruction
Field       | Z0.Asm.Data.OpCodeTokenKind.ᕀi                                        | A number used in floating-point instructions when one of the operands is ST(i) from the FPU register stack.
