Method      | Z0.BitMatrixA.cimpl``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)         | Computes the converse implication for generic bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.impl(Z0.BitMatrix8@,Z0.BitMatrix8@)                     | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.impl(Z0.BitMatrix16@,Z0.BitMatrix16@)                   | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.impl(Z0.BitMatrix32@,Z0.BitMatrix32@)                   | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.impl(Z0.BitMatrix64@,Z0.BitMatrix64@)                   | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.nand``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Computes the converse implication for generic bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrixA.nand``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)          | Computes the converse implication for generic bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.nand(Z0.BitMatrix8@,Z0.BitMatrix8@)                     | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.nand(Z0.BitMatrix16@,Z0.BitMatrix16@)                   | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.nand(Z0.BitMatrix32@,Z0.BitMatrix32@)                   | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.nand(Z0.BitMatrix64@,Z0.BitMatrix64@)                   | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.ones``1                                                 | Allocates a 1-filled generic bitmatrix
Method      | Z0.BitMatrixA.zero``1                                                 | Allocates a 0-filled generic bitmatrix
Method      | Z0.BitMatrixA.identity``1                                             | Allocates a generic identity matrix
Method      | Z0.BitMatrixA.identity``2(``0,``1)                                    | Allocates an identity bitmatrix of natural order
Method      | Z0.BitMatrixA.ones``3(``0,``1)                                        | Allocates a 1-filled natural bitmatrix
Method      | Z0.BitMatrixA.ones``2(``0)                                            | Allocates a 1-filled bitmatrix of natural order
Method      | Z0.BitMatrixA.and``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)           | Computes the logical And between two generic bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.or``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)            | Computes the converse implication for generic bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.nonimpl``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)       | Computes the converse implication for generic bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.not``1(Z0.BitMatrix{``0}@)                              | Computes the logical negation of a generic bitmatrix, returning the allocated result to the caller
Method      | Z0.BitMatrixA.cnonimpl``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)      | Computes the converse implication for generic bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.and``2(Z0.BitMatrix{``0,``1}@,Z0.BitMatrix{``0,``1}@)   | Computes the bitwise AND between two square bitmatrices of common order
Method      | Z0.BitMatrixA.nor``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)           | Computes the converse implication for generic bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.nor``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Computes the converse implication for generic bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrixA.select``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Applies the ternary select operator to generic source matrices, returning the allocated result to the caller
Method      | Z0.BitMatrixA.select(Z0.BitMatrix8@,Z0.BitMatrix8@,Z0.BitMatrix8@)    | Applies the ternary select operator to primal source matrices, returning the allocated result to the caller
Method      | Z0.BitMatrixA.select(Z0.BitMatrix16@,Z0.BitMatrix16@,Z0.BitMatrix16@) | Applies the ternary select operator to primal source matrices, returning the allocated result to the caller
Method      | Z0.BitMatrixA.select(Z0.BitMatrix32@,Z0.BitMatrix32@,Z0.BitMatrix32@) | Applies the ternary select operator to primal source matrices, returning the allocated result to the caller
Method      | Z0.BitMatrixA.select(Z0.BitMatrix64@,Z0.BitMatrix64@,Z0.BitMatrix64@) | Applies the ternary select operator to primal source matrices, returning the allocated result to the caller
Method      | Z0.BitMatrixA.unpack(Z0.BitMatrix8@)                                  | Allocates a target matrix of order equivalent to that of the source and projects            each bit value into the corresponding cell in the target
Method      | Z0.BitMatrixA.unpack(Z0.BitMatrix{System.Byte}@)                      | Allocates a target matrix of order equivalent to that of the source and projects            each bit value into the corresponding cell in the target
Method      | Z0.BitMatrixA.unpack(Z0.BitMatrix16@)                                 | Allocates a target matrix of order equivalent to that of the source and projects            each bit value into the corresponding cell in the target
Method      | Z0.BitMatrixA.unpack(Z0.BitMatrix{System.UInt16}@)                    | Allocates a target matrix of order equivalent to that of the source and projects            each bit value into the corresponding cell in the target
Method      | Z0.BitMatrixA.unpack(Z0.BitMatrix32@)                                 | Allocates a target matrix of order equivalent to that of the source and projects            each bit value into the corresponding cell in the target
Method      | Z0.BitMatrixA.unpack(Z0.BitMatrix{System.UInt32}@)                    | Allocates a target matrix of order equivalent to that of the source and projects            each bit value into the corresponding cell in the target
Method      | Z0.BitMatrixA.unpack(Z0.BitMatrix64@)                                 | Allocates a target matrix of order equivalent to that of the source and projects            each bit value into the corresponding cell in the target
Method      | Z0.BitMatrixA.unpack(Z0.BitMatrix{System.UInt64}@)                    | Allocates a target matrix of order equivalent to that of the source and projects            each bit value into the corresponding cell in the target
Method      | Z0.BitMatrixA.xnor``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)          | Computes the converse implication for generic bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.xnor(Z0.BitMatrix4@,Z0.BitMatrix4@)                     | Computes the logical Xnor between two bitmatrices and returns the allocated result to the caller
Method      | Z0.BitMatrixA.xnor(Z0.BitMatrix8@,Z0.BitMatrix8@)                     | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.xnor(Z0.BitMatrix16@,Z0.BitMatrix16@)                   | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.xnor(Z0.BitMatrix32@,Z0.BitMatrix32@)                   | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.xnor(Z0.BitMatrix64@,Z0.BitMatrix64@)                   | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrixA.xor``2(Z0.BitMatrix{``0,``1}@,Z0.BitMatrix{``0,``1}@)   | Computes the bitwise AND between two square bitmatrices of common order
Method      | Z0.BitMatrixA.xor``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)           | Computes the logical Xor between two generic bitmatrices and returns the allocated result to the caller
Method      | Z0.BitMatrixA.xor``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Computes the logical Xor btween two generic bitmatrices, depositing the result to a caller-allocated target
Method      | Z0.BitMatrixA.xor(Z0.BitMatrix8@,Z0.BitMatrix8@)                      | Computes the logical Xor between two primal bitmatrices and returns the allocated result to the caller
Method      | Z0.BitMatrixA.xor(Z0.BitMatrix16@,Z0.BitMatrix16@)                    | Computes the logical Xor between two primal bitmatrices and returns the allocated result to the caller
Method      | Z0.BitMatrixA.xor(Z0.BitMatrix32@,Z0.BitMatrix32@)                    | Computes the logical Xor between two primal bitmatrices and returns the allocated result to the caller
Method      | Z0.BitMatrixA.xor(Z0.BitMatrix64@,Z0.BitMatrix64@)                    | Computes the logical Xor between two primal bitmatrices and returns the allocated result to the caller
Method      | Z0.BitBlocks.testbit``1(Z0.Block256{``0}@,System.Int32)               | Tests a bit value in a T-sequence predicated on a linear index
