Method      | Z0.VCheck.Claim.eq(Z0.bit,Z0.bit)                                     | Asserts the equality of two bit values
Method      | Z0.VCheck.Claim.eq``1(``0,``0,System.String,System.String,System.Nullable{System.Int32})| Asserts the equality of two values via whatever equals operator is implemented
Method      | Z0.VCheck.Claim.numeq``1(``0,``0)                                     | Asserts the equality of two primal values
Method      | Z0.ICheckBlocks.eq``1(Z0.Block128{``0},Z0.Block128{``0},System.String,System.String,System.Nullable{System.Int32})| Asserts content equality for two 128-bit blocks
Method      | Z0.ICheckBlocks.eq``1(Z0.Block256{``0},Z0.Block256{``0},System.String,System.String,System.Nullable{System.Int32})| Asserts content equality for two 256-bit blocks
Method      | Z0.ICheckBlocks.eq``1(Z0.Block512{``0},Z0.Block512{``0},System.String,System.String,System.Nullable{System.Int32})| Asserts content equality for two 512-bit blocks
Method      | Z0.ICheckSVF.CheckPattern``2(``0,System.Runtime.Intrinsics.Vector128{``1})| Verifies that a vectorized pattern source produces the expected pattern
Method      | Z0.ICheckSVF.CheckPattern``2(``0,System.Runtime.Intrinsics.Vector256{``1})| Verifies that a vectorized pattern source produces the expected pattern
Method      | Z0.ICheckSVF.CheckFactory``4(Z0.N128,``0,``1,``2,``3)                 | Verifies the correct function of a vectorized factory operator
Method      | Z0.ICheckSVF.CheckFactory``4(Z0.N256,``0,``1,``2,``3)                 | Verifies the correct function of a vectorized factory operator
Method      | Z0.ICheckSVF`1.CellCount``1(``0)                                      | Computes the vector component count for a given bit-width and component type
Method      | Z0.ICheckSVF`1.CheckSVF``1(``0,Z0.Kinds.UnaryOpClass,Z0.W128)         | Validates a 128-bit unary operator via cellular decomposition
Method      | Z0.ICheckSVF`1.CheckSVF``1(``0,Z0.Kinds.UnaryOpClass,Z0.W256)         | Validates a 256-bit unary operator via cellular decomposition
Method      | Z0.ICheckSVF`1.CheckSVF``1(``0,Z0.Kinds.BinaryOpClass,Z0.W128)        | Validates a 128-bit binary operator via cellular decomposition
Method      | Z0.ICheckSVF`1.CheckSVF``1(``0,Z0.Kinds.BinaryOpClass,Z0.W256)        | Validates a 256-bit binary operator via cellular decomposition
Method      | Z0.ICheckSVF`1.CheckSVF``1(``0,Z0.Kinds.TernaryOpClass,Z0.W128)       | Validates a 128-bit ternary operator via cellular decomposition
Method      | Z0.ICheckSVF`1.CheckSVF``1(``0,Z0.Kinds.TernaryOpClass,Z0.W256)       | Validates a 256-bit ternary operator via cellular decomposition
