Method      | Z0.Blocks.aligned``1(Z0.W8,System.Int32)                              | Determines whether a specified number of elements can be evenly covered by 8-bit blocks
Method      | Z0.Blocks.aligned``1(Z0.W16,System.Int32)                             | Determines whether a specified number of elements can be evenly covered by 16-bit blocks
Method      | Z0.Blocks.aligned``1(Z0.W32,System.Int32)                             | Determines whether a specified number of elements can be evenly covered by 32-bit blocks
Method      | Z0.Blocks.aligned``1(Z0.W64,System.Int32)                             | Determines whether a specified number of elements can be evenly covered by 64-bit blocks
Method      | Z0.Blocks.aligned``1(Z0.W128,System.Int32)                            | Determines whether a specified number of elements can be evenly covered by 128-bit blocks
Method      | Z0.Blocks.aligned``1(Z0.W256,System.Int32)                            | Determines whether a specified number of elements can be evenly covered by 256-bit blocks
Method      | Z0.Blocks.aligned``1(Z0.W512,System.Int32)                            | Determines whether a specified number of elements can be evenly covered by 512-bit blocks
Method      | Z0.Blocks.alloc``1(Z0.W8)                                             | Allocates a single 8-bit block
Method      | Z0.Blocks.alloc``1(Z0.W16)                                            | Allocates a single 16-bit block
Method      | Z0.Blocks.alloc``1(Z0.W32)                                            | Allocates a single 32-bit block
Method      | Z0.Blocks.alloc``1(Z0.W64)                                            | Allocates a single 64-bit block
Method      | Z0.Blocks.alloc``1(Z0.W128)                                           | Allocates a single 128-bit block over cells of parametric kind
Method      | Z0.Blocks.alloc``1(Z0.W256)                                           | Allocates a single 256-bit block
Method      | Z0.Blocks.alloc``1(Z0.W512)                                           | Allocates a single 512-bit block
Method      | Z0.Blocks.alloc``1(Z0.W8,System.Int32,``0)                            | Allocates a specified number of 8-bit blocks, filled with an optional pattern
Method      | Z0.Blocks.alloc``1(Z0.W16,System.Int32,``0)                           | Allocates a specified number of 16-bit blocks, filled with an optional pattern
Method      | Z0.Blocks.alloc``1(Z0.W32,System.Int32,``0)                           | Allocates a specified number of 32-bit blocks, filled with an optional pattern
Method      | Z0.Blocks.alloc``1(Z0.W64,System.Int32,``0)                           | Allocates a specified number of 64-bit blocks, filled with an optional pattern
Method      | Z0.Blocks.alloc``1(Z0.W128,System.Int32,``0)                          | Allocates a specified number of 128-bit blocks
Method      | Z0.Blocks.alloc``1(Z0.W256,System.Int32,``0)                          | Allocates a specified number of 256-bit blocks
Method      | Z0.Blocks.alloc``1(Z0.W512,System.Int32,``0)                          | Allocates a specified number of 512-bit blocks
Method      | Z0.Blocks.alloc``1(Z0.BlockedKind{Z0.W256,``0},System.Int32)          | Allocates a single 256-bit block over cells of parametric kind
Method      | Z0.Blocks.bitcount(System.Int32,System.Int32)                         | Computes the number of bits covered by a specified cell count and width
Method      | Z0.Blocks.bitcount``1(System.Int32)                                   | Computes  the number of bits covered by a specified cell count of parametric type
Method      | Z0.Blocks.bitcover(System.Int32,System.Int32)                         | Computes the number of blocks required to cover a specified number of bits
Method      | Z0.Blocks.bitcover``1(System.Int32)                                   | Computes the number of blocks required to cover a specified number of bits
