# CilOperandType - https://docs.microsoft.com/en-us/dotnet/api/system.reflection.emit.operandtype?view=netcore-3.1
---------------------------------------------------------------------------------------------------------------------------------------------------
| Identifier          | Value | Description                                                                                 |
| InlineBrTarget      | 0     | The operand is a 32-bit integer branch target.                                              |
| InlineField         | 1     | The operand is a 32-bit metadata token.                                                     |
| InlineI             | 2     | The operand is a 32-bit integer.                                                            |
| InlineI8            | 3     | The operand is a 64-bit integer.                                                            |
| InlineMethod        | 4     | The operand is a 32-bit metadata token.                                                     |
| InlineNone          | 5     | No operand.                                                                                 |
| InlinePhi           | 6     | The operand is reserved and should not be used.                                             |
| InlineR             | 7     | The operand is a 64-bit IEEE floating point number.                                         |
| InlineSig           | 9     | The operand is a 32-bit metadata signature token.                                           |
| InlineString        | 10    | The operand is a 32-bit metadata string token.                                              |
| InlineSwitch        | 11    | The operand is the 32-bit integer argument to a switch instruction.                         |
| InlineTok           | 12    | The operand is a FieldRef , MethodRef , or TypeRef token.                                   |
| InlineType          | 13    | The operand is a 32-bit metadata token.                                                     |
| InlineVar           | 14    | The operand is 16-bit integer containing the ordinal of a local variable or an argument.    |
| ShortInlineBrTarget | 15    | The operand is an 8-bit integer branch target.                                              |
| ShortInlineI        | 16    | The operand is an 8-bit integer.                                                            |
| ShortInlineR        | 17    | The operand is a 32-bit IEEE floating point number.                                         |
| ShortInlineVar      | 18    | The operand is an 8-bit integer containing the ordinal of a local variable or an argumenta. |
