Class               | Category      | Extension     | IsaSet        | BaseCode    | Mod       | Reg       | Pattern                                                                                             | Operands
 | VBROADCASTI128       | BROADCAST      | AVX2           |                | 5a           | mm         | rrr        | VV1 0x5A VL256 V66 V0F38 W0 NOVSR MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                            | REG0=YMM_R():w:qq:u128  MEM0:r:dq:u128 EMX_BROADCAST_2TO4_64
 | VBROADCASTSD         | BROADCAST      | AVX2           |                | 19           | 0b11       | rrr        | VV1 0x19  VL256 V66 V0F38 W0 NOVSR MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                  | REG0=YMM_R():w:qq:f64  REG1=XMM_B():r:dq:f64 EMX_BROADCAST_1TO4_64
 | VBROADCASTSS         | BROADCAST      | AVX2           |                | 18           | 0b11       | rrr        | VV1 0x18  VL128 V66 V0F38 W0 NOVSR MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                  | REG0=XMM_R():w:dq:f32  REG1=XMM_B():r:dq:f32 EMX_BROADCAST_1TO4_32
 | VBROADCASTSS         | BROADCAST      | AVX2           |                | 18           | 0b11       | rrr        | VV1 0x18  VL256 V66 V0F38 W0 NOVSR MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                  | REG0=YMM_R():w:qq:f32  REG1=XMM_B():r:dq:f32 EMX_BROADCAST_1TO8_32
 | VEXTRACTI128         | AVX2           | AVX2           |                | 39           | mm         | rrr        | VV1 0x39  VL256 V66 V0F3A W0  NOVSR MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() UIMM8()                  | MEM0:w:dq:u128 REG0=YMM_R():r:qq:u128  IMM0:r:b
 | VEXTRACTI128         | AVX2           | AVX2           |                | 39           | 0b11       | rrr        | VV1 0x39  VL256 V66 V0F3A W0 NOVSR MOD[0b11] MOD=3 REG[rrr] RM[nnn] UIMM8()                          | REG0=XMM_B():w:dq:u128 REG1=YMM_R():r:qq:u128  IMM0:r:b
 | VINSERTI128          | AVX2           | AVX2           |                | 38           | mm         | rrr        | VV1 0x38  VL256 V66 V0F3A W0  MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() UIMM8()                        | REG0=YMM_R():w:qq:u128 REG1=YMM_N():r:qq:u128 MEM0:r:dq:u128 IMM0:r:b
 | VINSERTI128          | AVX2           | AVX2           |                | 38           | 0b11       | rrr        | VV1 0x38  VL256 V66 V0F3A W0 MOD[0b11] MOD=3 REG[rrr] RM[nnn] UIMM8()                                | REG0=YMM_R():w:qq:u128 REG1=YMM_N():r:qq:u128 REG2=XMM_B():r:dq:u128 IMM0:r:b
 | VMOVNTDQA            | DATAXFER       | AVX2           |                | 2a           | mm         | rrr        | VV1 0x2A  V66 V0F38 VL256 NOVSR MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                              | REG0=YMM_R():w:qq MEM0:r:qq
 | VMPSADBW             | AVX2           | AVX2           |                | 42           | mm         | rrr        | VV1 0x42  VL256 V66 V0F3A  MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() UIMM8()                           | REG0=YMM_R():w:qq:u16 REG1=YMM_N():r:qq:u8 MEM0:r:qq:u8 IMM0:r:b
 | VMPSADBW             | AVX2           | AVX2           |                | 42           | 0b11       | rrr        | VV1 0x42  VL256 V66 V0F3A  MOD[0b11] MOD=3 REG[rrr] RM[nnn] UIMM8()                                  | REG0=YMM_R():w:qq:u16 REG1=YMM_N():r:qq:u8 REG2=YMM_B():r:qq:u8 IMM0:r:b
 | VPABSB               | AVX2           | AVX2           |                | 1c           | mm         | rrr        | VV1 0x1C   VL256 V66 V0F38 NOVSR MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                             | REG0=YMM_R():w:qq:u8 MEM0:r:qq:i8
 | VPABSB               | AVX2           | AVX2           |                | 1c           | 0b11       | rrr        | VV1 0x1C   VL256 V66 V0F38 NOVSR MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                    | REG0=YMM_R():w:qq:u8  REG1=YMM_B():r:qq:i8
 | VPABSD               | AVX2           | AVX2           |                | 1e           | mm         | rrr        | VV1 0x1E   VL256 V66 V0F38 NOVSR MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                             | REG0=YMM_R():w:qq:u32 MEM0:r:qq:i32
 | VPABSD               | AVX2           | AVX2           |                | 1e           | 0b11       | rrr        | VV1 0x1E   VL256 V66 V0F38 NOVSR MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                    | REG0=YMM_R():w:qq:u32  REG1=YMM_B():r:qq:i32
 | VPABSW               | AVX2           | AVX2           |                | 1d           | mm         | rrr        | VV1 0x1D   VL256 V66 V0F38 NOVSR MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                             | REG0=YMM_R():w:qq:u16 MEM0:r:qq:i16
 | VPABSW               | AVX2           | AVX2           |                | 1d           | 0b11       | rrr        | VV1 0x1D   VL256 V66 V0F38 NOVSR MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                    | REG0=YMM_R():w:qq:u16  REG1=YMM_B():r:qq:i16
