| Opcode           | Instruction        | Op/En | 64-Bit Mode | Compat/Leg Mode | Description                                 |
| 0F 4D /r         | CMOVGE r16, r/m16  | RM    | Valid       | Valid           | Move if greater or equal (SF=OF).           |
| 0F 4D /r         | CMOVGE r32, r/m32  | RM    | Valid       | Valid           | Move if greater or equal (SF=OF).           |
| REX.W + 0F 4D /r | CMOVGE r64, r/m64  | RM    | Valid       | N.E.            | Move if greater or equal (SF=OF).           |
| 0F 4C /r         | CMOVL r16, r/m16   | RM    | Valid       | Valid           | Move if less (SF≠ OF).                     |
| 0F 4C /r         | CMOVL r32, r/m32   | RM    | Valid       | Valid           | Move if less (SF≠ OF).                     |
| REX.W + 0F 4C /r | CMOVL r64, r/m64   | RM    | Valid       | N.E.            | Move if less (SF≠ OF).                     |
| 0F 4E /r         | CMOVLE r16, r/m16  | RM    | Valid       | Valid           | Move if less or equal (ZF=1 or SF≠ OF).    |
| 0F 4E /r         | CMOVLE r32, r/m32  | RM    | Valid       | Valid           | Move if less or equal (ZF=1 or SF≠ OF).    |
| REX.W + 0F 4E /r | CMOVLE r64, r/m64  | RM    | Valid       | N.E.            | Move if less or equal (ZF=1 or SF≠ OF).    |
| 0F 46 /r         | CMOVNA r16, r/m16  | RM    | Valid       | Valid           | Move if not above (CF=1 or ZF=1).           |
| 0F 46 /r         | CMOVNA r32, r/m32  | RM    | Valid       | Valid           | Move if not above (CF=1 or ZF=1).           |
| REX.W + 0F 46 /r | CMOVNA r64, r/m64  | RM    | Valid       | N.E.            | Move if not above (CF=1 or ZF=1).           |
| 0F 42 /r         | CMOVNAE r16, r/m16 | RM    | Valid       | Valid           | Move if not above or equal (CF=1).          |
| 0F 42 /r         | CMOVNAE r32, r/m32 | RM    | Valid       | Valid           | Move if not above or equal (CF=1).          |
| REX.W + 0F 42 /r | CMOVNAE r64, r/m64 | RM    | Valid       | N.E.            | Move if not above or equal (CF=1).          |
| 0F 43 /r         | CMOVNB r16, r/m16  | RM    | Valid       | Valid           | Move if not below (CF=0).                   |
| 0F 43 /r         | CMOVNB r32, r/m32  | RM    | Valid       | Valid           | Move if not below (CF=0).                   |
| REX.W + 0F 43 /r | CMOVNB r64, r/m64  | RM    | Valid       | N.E.            | Move if not below (CF=0).                   |
| 0F 47 /r         | CMOVNBE r16, r/m16 | RM    | Valid       | Valid           | Move if not below or equal (CF=0 and ZF=0). |
| 0F 47 /r         | CMOVNBE r32, r/m32 | RM    | Valid       | Valid           | Move if not below or equal (CF=0 and ZF=0). |
| REX.W + 0F 47 /r | CMOVNBE r64, r/m64 | RM    | Valid       | N.E.            | Move if not below or equal (CF=0 and ZF=0). |
| 0F 43 /r         | CMOVNC r16, r/m16  | RM    | Valid       | Valid           | Move if not carry (CF=0).                   |
| 0F 43 /r         | CMOVNC r32, r/m32  | RM    | Valid       | Valid           | Move if not carry (CF=0).                   |
| REX.W + 0F 43 /r | CMOVNC r64, r/m64  | RM    | Valid       | N.E.            | Move if not carry (CF=0).                   |
| 0F 45 /r         | CMOVNE r16, r/m16  | RM    | Valid       | Valid           | Move if not equal (ZF=0).                   |
