# SystemEnums - https://docs.microsoft.com/en-us/dotnet/api/system?view=netcore-3.1
------------------------------------------------------------------------------------------------------------------------------------------------
| Name                               | Description                                                                                                                                       |
| Attribute Targets                  | Specifies the application elements on which it is valid to apply an attribute.                                                                    |
| Base64Formatting Options           | Specifies whether relevant ToBase64CharArray and ToBase64String methods insert line breaks in their output.                                       |
| Console Color                      | Specifies constants that define foreground and background colors for the console.                                                                 |
| Console Key                        | Specifies the standard keys on a console.                                                                                                         |
| Console Modifiers                  | Represents the SHIFT, ALT, and CTRL modifier keys on a keyboard.                                                                                  |
| Console Special Key                | Specifies combinations of modifier and console keys that can interrupt the current process.                                                       |
| Date Time Kind                     | Specifies whether a DateTime object represents a local time, a Coordinated Universal Time (UTC), or is not specified as either local time or UTC. |
| Day OfWeek                         | Specifies the day of the week.                                                                                                                    |
| Environment. Special Folder        | Specifies enumerated constants used to retrieve directory paths to system special folders.                                                        |
| Environment. Special Folder Option | Specifies options to use for getting the path to a special folder.                                                                                |
| Environment Variable Target        | Specifies the location where an environment variable is stored or retrieved in a set or get operation.                                            |
| GCCollection Mode                  | Specifies the behavior for a forced garbage collection.                                                                                           |
| GCNotification Status              | Provides information about the current registration for notification of the next full garbage collection.                                         |
| Generic Uri Parser Options         | Specifies options for a UriParser .                                                                                                               |
| Loader Optimization                | An enumeration used with the LoaderOptimizationAttribute class to specify loader optimizations for an executable.                                 |
| Midpoint Rounding                  | Specifies how mathematical rounding methods should process a number that is midway between two numbers.                                           |
| PlatformID                         | Identifies the operating system, or platform, supported by an assembly.                                                                           |
| String Comparison                  | Specifies the culture, case, and sort rules to be used by certain overloads of the Compare(String, String) and Equals(Object) methods.            |
| String Split Options               | Specifies whether applicable Split method overloads include or omit empty substrings from the return value.                                       |
| Type Code                          | Specifies the type of an object.                                                                                                                  |
| Uri Components                     | Specifies the parts of a Uri .                                                                                                                    |
| Uri Format                         | Controls how URI information is escaped.                                                                                                          |
| Uri Host Name Type                 | Defines host name types for the CheckHostName(String) method.                                                                                     |
| Uri Idn Scope                      | Provides the possible values for the configuration setting of the IdnElement in the System.Configuration namespace.                               |
| Uri Kind                           | Defines the different kinds of URIs.                                                                                                              |
| Uri Partial                        | Defines the parts of a URI for the GetLeftPart(UriPartial) method.                                                                                |
