# SystemClasses - https://docs.microsoft.com/en-us/dotnet/api/system?view=netcore-3.1
------------------------------------------------------------------------------------------------------------------------------------------------
| Name                                   | Description                                                                                                                                                                                                                                                         |
| Access Violation Exception             | The exception that is thrown when there is an attempt to read or write protected memory.                                                                                                                                                                            |
| Activator                              | Contains methods to create types of objects locally or remotely, or obtain references to existing remote objects. This class cannot be inherited.                                                                                                                   |
| Aggregate Exception                    | Represents one or more errors that occur during application execution.                                                                                                                                                                                              |
| App Context                            | Provides members for setting and retrieving data about an application's context.                                                                                                                                                                                    |
| App Domain                             | Represents an application domain, which is an isolated environment where applications execute. This class cannot be inherited.                                                                                                                                      |
| App Domain Setup                       | Represents assembly binding information that can be added to an instance of AppDomain .                                                                                                                                                                             |
| App Domain Unloaded Exception          | The exception that is thrown when an attempt is made to access an unloaded application domain.                                                                                                                                                                      |
| Application Exception                  | Serves as the base class for application-defined exceptions.                                                                                                                                                                                                        |
| Application Id                         | Contains information used to uniquely identify a manifest-based application. This class cannot be inherited.                                                                                                                                                        |
| Application Identity                   | Provides the ability to uniquely identify a manifest-activated application. This class cannot be inherited.                                                                                                                                                         |
| Argument Exception                     | The exception that is thrown when one of the arguments provided to a method is not valid.                                                                                                                                                                           |
| Argument Null Exception                | The exception that is thrown when a null reference ( Nothing in Visual Basic) is passed to a method that does not accept it as a valid argument.                                                                                                                    |
| Argument Out OfRange Exception         | The exception that is thrown when the value of an argument is outside the allowable range of values as defined by the invoked method.                                                                                                                               |
| Arithmetic Exception                   | The exception that is thrown for errors in an arithmetic, casting, or conversion operation.                                                                                                                                                                         |
| Array                                  | Provides methods for creating, manipulating, searching, and sorting arrays, thereby serving as the base class for all arrays in the common language runtime.                                                                                                        |
| Array Type Mismatch Exception          | The exception that is thrown when an attempt is made to store an element of the wrong type within an array.                                                                                                                                                         |
| Assembly Load Event Args               | Provides data for the AssemblyLoad event.                                                                                                                                                                                                                           |
| Attribute                              | Represents the base class for custom attributes.                                                                                                                                                                                                                    |
| Attribute Usage Attribute              | Specifies the usage of another attribute class. This class cannot be inherited.                                                                                                                                                                                     |
| Bad Image Format Exception             | The exception that is thrown when the file image of a dynamic link library (DLL) or an executable program is invalid.                                                                                                                                               |
| Bit Converter                          | Converts base data types to an array of bytes, and an array of bytes to base data types.                                                                                                                                                                            |
| Buffer                                 | Manipulates arrays of primitive types.                                                                                                                                                                                                                              |
| Cannot Unload App Domain Exception     | The exception that is thrown when an attempt to unload an application domain fails.                                                                                                                                                                                 |
| Char Enumerator                        | Supports iterating over a String object and reading its individual characters. This class cannot be inherited.                                                                                                                                                      |
| CLSCompliant Attribute                 | Indicates whether a program element is compliant with the Common Language Specification (CLS). This class cannot be inherited.                                                                                                                                      |
| Console                                | Represents the standard input, output, and error streams for console applications. This class cannot be inherited.                                                                                                                                                  |
| Console Cancel Event Args              | Provides data for the CancelKeyPress event. This class cannot be inherited.                                                                                                                                                                                         |
| Context Bound Object                   | Defines the base class for all context-bound classes.                                                                                                                                                                                                               |
| Context Marshal Exception              | The exception that is thrown when an attempt to marshal an object across a context boundary fails.                                                                                                                                                                  |
| Context Static Attribute               | Indicates that the value of a static field is unique for a particular context.                                                                                                                                                                                      |
| Convert                                | Converts a base data type to another base data type.                                                                                                                                                                                                                |
| Data Misaligned Exception              | The exception that is thrown when a unit of data is read from or written to an address that is not a multiple of the data size. This class cannot be inherited.                                                                                                     |
| DBNull                                 | Represents a nonexistent value. This class cannot be inherited.                                                                                                                                                                                                     |
| Delegate                               | Represents a delegate, which is a data structure that refers to a static method or to a class instance and an instance method of that class.                                                                                                                        |
| Divide ByZero Exception                | The exception that is thrown when there is an attempt to divide an integral or Decimal value by zero.                                                                                                                                                               |
| Dll Not Found Exception                | The exception that is thrown when a DLL specified in a DLL import cannot be found.                                                                                                                                                                                  |
| Duplicate Wait Object Exception        | The exception that is thrown when an object appears more than once in an array of synchronization objects.                                                                                                                                                          |
| Entry Point Not Found Exception        | The exception that is thrown when an attempt to load a class fails due to the absence of an entry method.                                                                                                                                                           |
| Enum                                   | Provides the base class for enumerations.                                                                                                                                                                                                                           |
| Environment                            | Provides information about, and means to manipulate, the current environment and platform. This class cannot be inherited.                                                                                                                                          |
