| Opcode**         | Instruction     | Op/En | 64-Bit Mode | Compat/Leg Mode | Description                                                       |
| D0 /2            | RCL r/m8 , 1    | M1    | Valid       | Valid           | Rotate 9 bits (CF, r/m8 ) left once.                              |
| REX + D0 /2      | RCL r/m8* , 1   | M1    | Valid       | N.E.            | Rotate 9 bits (CF, r/m8 ) left once.                              |
| D2 /2            | RCL r/m8 , CL   | MC    | Valid       | Valid           | Rotate 9 bits (CF, r/m8 ) left CL times.                          |
| REX + D2 /2      | RCL r/m8* , CL  | MC    | Valid       | N.E.            | Rotate 9 bits (CF, r/m8 ) left CL times.                          |
| C0 /2 ib         | RCL r/m8, imm8  | MI    | Valid       | Valid           | Rotate 9 bits (CF, r/m8 ) left imm8 times.                        |
| REX + C0 /2 ib   | RCL r/m8*, imm8 | MI    | Valid       | N.E.            | Rotate 9 bits (CF, r/m8 ) left imm8 times.                        |
| D1 /2            | RCL r/m16 , 1   | M1    | Valid       | Valid           | Rotate 17 bits (CF, r/m16 ) left once.                            |
| D3 /2            | RCL r/m16 , CL  | MC    | Valid       | Valid           | Rotate 17 bits (CF, r/m16 ) left CL times.                        |
| C1 /2 ib         | RCL r/m16, imm8 | MI    | Valid       | Valid           | Rotate 17 bits (CF, r/m16 ) left imm8 times.                      |
| D1 /2            | RCL r/m32 , 1   | M1    | Valid       | Valid           | Rotate 33 bits (CF, r/m32 ) left once.                            |
| REX.W + D1 /2    | RCL r/m64 , 1   | M1    | Valid       | N.E.            | Rotate 65 bits (CF, r/m64 ) left once. Uses a 6 bit count.        |
| D3 /2            | RCL r/m32 , CL  | MC    | Valid       | Valid           | Rotate 33 bits (CF, r/m32 ) left CL times.                        |
| REX.W + D3 /2    | RCL r/m64 , CL  | MC    | Valid       | N.E.            | Rotate 65 bits (CF, r/m64 ) left CL times. Uses a 6 bit count.    |
| C1 /2 ib         | RCL r/m32, imm8 | MI    | Valid       | Valid           | Rotate 33 bits (CF, r/m32 ) left imm8 times.                      |
| REX.W + C1 /2 ib | RCL r/m64, imm8 | MI    | Valid       | N.E.            | Rotate 65 bits (CF, r/m64 ) left imm8 times. Uses a 6 bit count.  |
| D0 /3            | RCR r/m8 , 1    | M1    | Valid       | Valid           | Rotate 9 bits (CF, r/m8 ) right once.                             |
| REX + D0 /3      | RCR r/m8* , 1   | M1    | Valid       | N.E.            | Rotate 9 bits (CF, r/m8 ) right once.                             |
| D2 /3            | RCR r/m8 , CL   | MC    | Valid       | Valid           | Rotate 9 bits (CF, r/m8 ) right CL times.                         |
| REX + D2 /3      | RCR r/m8* , CL  | MC    | Valid       | N.E.            | Rotate 9 bits (CF, r/m8 ) right CL times.                         |
| C0 /3 ib         | RCR r/m8, imm8  | MI    | Valid       | Valid           | Rotate 9 bits (CF, r/m8 ) right imm8 times.                       |
| REX + C0 /3 ib   | RCR r/m8*, imm8 | MI    | Valid       | N.E.            | Rotate 9 bits (CF, r/m8 ) right imm8 times.                       |
| D1 /3            | RCR r/m16 , 1   | M1    | Valid       | Valid           | Rotate 17 bits (CF, r/m16 ) right once.                           |
| D3 /3            | RCR r/m16 , CL  | MC    | Valid       | Valid           | Rotate 17 bits (CF, r/m16 ) right CL times.                       |
| C1 /3 ib         | RCR r/m16, imm8 | MI    | Valid       | Valid           | Rotate 17 bits (CF, r/m16 ) right imm8 times.                     |
| D1 /3            | RCR r/m32 , 1   | M1    | Valid       | Valid           | Rotate 33 bits (CF, r/m32 ) right once. Uses a 6 bit count.       |
| REX.W + D1 /3    | RCR r/m64 , 1   | M1    | Valid       | N.E.            | Rotate 65 bits (CF, r/m64 ) right once. Uses a 6 bit count.       |
| D3 /3            | RCR r/m32 , CL  | MC    | Valid       | Valid           | Rotate 33 bits (CF, r/m32 ) right CL times.                       |
| REX.W + D3 /3    | RCR r/m64 , CL  | MC    | Valid       | N.E.            | Rotate 65 bits (CF, r/m64 ) right CL times. Uses a 6 bit count.   |
| C1 /3 ib         | RCR r/m32, imm8 | MI    | Valid       | Valid           | Rotate 33 bits (CF, r/m32 ) right imm8 times.                     |
| REX.W + C1 /3 ib | RCR r/m64, imm8 | MI    | Valid       | N.E.            | Rotate 65 bits (CF, r/m64 ) right imm8 times. Uses a 6 bit count. |
| D0 /0            | ROL r/m8 , 1    | M1    | Valid       | Valid           | Rotate 8 bits r/m8 left once.                                     |
| REX + D0 /0      | ROL r/m8* , 1   | M1    | Valid       | N.E.            | Rotate 8 bits r/m8 left once                                      |
| D2 /0            | ROL r/m8 , CL   | MC    | Valid       | Valid           | Rotate 8 bits r/m8 left CL times.                                 |
| REX + D2 /0      | ROL r/m8* , CL  | MC    | Valid       | N.E.            | Rotate 8 bits r/m8 left CL times.                                 |
| C0 /0 ib         | ROL r/m8, imm8  | MI    | Valid       | Valid           | Rotate 8 bits r/m8 left imm8 times.                               |
| REX + C0 /0 ib   | ROL r/m8*, imm8 | MI    | Valid       | N.E.            | Rotate 8 bits r/m8 left imm8 times.                               |
| D1 /0            | ROL r/m16 , 1   | M1    | Valid       | Valid           | Rotate 16 bits r/m16 left once.                                   |
| D3 /0            | ROL r/m16 , CL  | MC    | Valid       | Valid           | Rotate 16 bits r/m16 left CL times.                               |
| C1 /0 ib         | ROL r/m16, imm8 | MI    | Valid       | Valid           | Rotate 16 bits r/m16 left imm8 times.                             |
| D1 /0            | ROL r/m32 , 1   | M1    | Valid       | Valid           | Rotate 32 bits r/m32 left once.                                   |
| REX.W + D1 /0    | ROL r/m64 , 1   | M1    | Valid       | N.E.            | Rotate 64 bits r/m64 left once. Uses a 6 bit count.               |
| D3 /0            | ROL r/m32 , CL  | MC    | Valid       | Valid           | Rotate 32 bits r/m32 left CL times.                               |
| REX.W + D3 /0    | ROL r/m64 , CL  | MC    | Valid       | N.E.            | Rotate 64 bits r/m64 left CL times. Uses a 6 bit count.           |
| C1 /0 ib         | ROL r/m32, imm8 | MI    | Valid       | Valid           | Rotate 32 bits r/m32 left imm8 times.                             |
| REX.W + C1 /0 ib | ROL r/m64, imm8 | MI    | Valid       | N.E.            | Rotate 64 bits r/m64 left imm8 times. Uses a 6 bit count.         |
| D0 /1            | ROR r/m8 , 1    | M1    | Valid       | Valid           | Rotate 8 bits r/m8 right once.                                    |
| REX + D0 /1      | ROR r/m8* , 1   | M1    | Valid       | N.E.            | Rotate 8 bits r/m8 right once.                                    |
| D2 /1            | ROR r/m8 , CL   | MC    | Valid       | Valid           | Rotate 8 bits r/m8 right CL times.                                |
| REX + D2 /1      | ROR r/m8* , CL  | MC    | Valid       | N.E.            | Rotate 8 bits r/m8 right CL times.                                |
| C0 /1 ib         | ROR r/m8, imm8  | MI    | Valid       | Valid           | Rotate 8 bits r/m16 right imm8 times.                             |
| REX + C0 /1 ib   | ROR r/m8*, imm8 | MI    | Valid       | N.E.            | Rotate 8 bits r/m16 right imm8 times.                             |
| D1 /1            | ROR r/m16 , 1   | M1    | Valid       | Valid           | Rotate 16 bits r/m16 right once.                                  |
| D3 /1            | ROR r/m16 , CL  | MC    | Valid       | Valid           | Rotate 16 bits r/m16 right CL times.                              |
| C1 /1 ib         | ROR r/m16, imm8 | MI    | Valid       | Valid           | Rotate 16 bits r/m16 right imm8 times.                            |
| D1 /1            | ROR r/m32 , 1   | M1    | Valid       | Valid           | Rotate 32 bits r/m32 right once.                                  |
| REX.W + D1 /1    | ROR r/m64 , 1   | M1    | Valid       | N.E.            | Rotate 64 bits r/m64 right once. Uses a 6 bit count.              |
| D3 /1            | ROR r/m32 , CL  | MC    | Valid       | Valid           | Rotate 32 bits r/m32 right CL times.                              |
| REX.W + D3 /1    | ROR r/m64 , CL  | MC    | Valid       | N.E.            | Rotate 64 bits r/m64 right CL times. Uses a 6 bit count.          |
| C1 /1 ib         | ROR r/m32, imm8 | MI    | Valid       | Valid           | Rotate 32 bits r/m32 right imm8 times.                            |
| REX.W + C1 /1 ib | ROR r/m64, imm8 | MI    | Valid       | N.E.            | Rotate 64 bits r/m64 right imm8 times. Uses a 6 bit count.        |
