| Class               | Category      | Extension     | IsaSet        | BaseCode    | Mod       | Reg       | Pattern                                                                                             | Operands
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| AAA                 | DECIMAL       | BASE          | I86           | 37          |           |           | 0x37 not64                                                                                          | REG0=XED_REG_AL:rw:SUPP REG1=XED_REG_AH:rw:SUPP
| AAD                 | DECIMAL       | BASE          | I86           | d5          |           |           | 0xD5 not64 UIMM8()                                                                                  | IMM0:r:b:i8 REG0=XED_REG_AL:rw:SUPP REG1=XED_REG_AH:rw:SUPP
| AAM                 | DECIMAL       | BASE          | I86           | d4          |           |           | 0xD4 not64 UIMM8()                                                                                  | IMM0:r:b:i8 REG0=XED_REG_AL:rw:SUPP REG1=XED_REG_AH:w:SUPP
| AAS                 | DECIMAL       | BASE          | I86           | 3f          |           |           | 0x3F not64                                                                                          | REG0=XED_REG_AL:rw:SUPP REG1=XED_REG_AH:rw:SUPP
| ADC                 | BINARY        | BASE          | I86           | 80          | mm        | 0b010     | 0x80 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() SIMM8() nolock_prefix                                | MEM0:rw:b IMM0:r:b:i8
| ADC                 | BINARY        | BASE          | I86           | 80          | 0b11      | 0b010     | 0x80 MOD[0b11] MOD=3 REG[0b010] RM[nnn] SIMM8()                                                     | REG0=GPR8_B():rw IMM0:r:b:i8
| ADC                 | BINARY        | BASE          | I86           | 81          | mm        | 0b010     | 0x81 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() SIMMz() nolock_prefix                                | MEM0:rw:v IMM0:r:z
| ADC                 | BINARY        | BASE          | I86           | 81          | 0b11      | 0b010     | 0x81 MOD[0b11] MOD=3 REG[0b010] RM[nnn] SIMMz()                                                     | REG0=GPRv_B():rw IMM0:r:z
| ADC                 | BINARY        | BASE          | I86           | 82          | mm        | 0b010     | 0x82 MOD[mm] MOD!=3 REG[0b010] RM[nnn] not64 MODRM() SIMM8() nolock_prefix                          | MEM0:rw:b IMM0:r:b:i8
| ADC                 | BINARY        | BASE          | I86           | 82          | 0b11      | 0b010     | 0x82 MOD[0b11] MOD=3 REG[0b010] RM[nnn] not64 SIMM8()                                               | REG0=GPR8_B():rw IMM0:r:b:i8
| ADC                 | BINARY        | BASE          | I86           | 83          | mm        | 0b010     | 0x83 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() SIMM8() nolock_prefix                                | MEM0:rw:v IMM0:r:b:i8
| ADC                 | BINARY        | BASE          | I86           | 83          | 0b11      | 0b010     | 0x83 MOD[0b11] MOD=3 REG[0b010] RM[nnn] SIMM8()                                                     | REG0=GPRv_B():rw IMM0:r:b:i8
| ADC                 | BINARY        | BASE          | I86           | 10          | mm        | rrr       | 0x10 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                                          | MEM0:rw:b REG0=GPR8_R():r
| ADC                 | BINARY        | BASE          | I86           | 10          | 0b11      | rrr       | 0x10 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                               | REG0=GPR8_B():rw REG1=GPR8_R():r
| ADC                 | BINARY        | BASE          | I86           | 11          | mm        | rrr       | 0x11 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                                          | MEM0:rw:v REG0=GPRv_R():r
| ADC                 | BINARY        | BASE          | I86           | 11          | 0b11      | rrr       | 0x11 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                               | REG0=GPRv_B():rw REG1=GPRv_R():r
| ADC                 | BINARY        | BASE          | I86           | 12          | mm        | rrr       | 0x12 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                                        | REG0=GPR8_R():rw MEM0:r:b
| ADC                 | BINARY        | BASE          | I86           | 12          | 0b11      | rrr       | 0x12 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                               | REG0=GPR8_R():rw REG1=GPR8_B():r
| ADC                 | BINARY        | BASE          | I86           | 13          | mm        | rrr       | 0x13 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                                        | REG0=GPRv_R():rw MEM0:r:v
| ADC                 | BINARY        | BASE          | I86           | 13          | 0b11      | rrr       | 0x13 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                               | REG0=GPRv_R():rw REG1=GPRv_B():r
| ADC                 | BINARY        | BASE          | I86           | 14          |           |           | 0x14 SIMM8()                                                                                        | REG0=XED_REG_AL:rw:IMPL IMM0:r:b:i8
| ADC                 | BINARY        | BASE          | I86           | 15          |           |           | 0x15 SIMMz()                                                                                        | REG0=OrAX():rw:IMPL IMM0:r:z
| ADC_LOCK            | BINARY        | BASE          | I86           | 80          | mm        | 0b010     | 0x80 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() SIMM8() lock_prefix                                  | MEM0:rw:b IMM0:r:b:i8
| ADC_LOCK            | BINARY        | BASE          | I86           | 81          | mm        | 0b010     | 0x81 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() SIMMz() lock_prefix                                  | MEM0:rw:v IMM0:r:z
| ADC_LOCK            | BINARY        | BASE          | I86           | 82          | mm        | 0b010     | 0x82 MOD[mm] MOD!=3 REG[0b010] RM[nnn] not64 MODRM() SIMM8() lock_prefix                            | MEM0:rw:b IMM0:r:b:i8
| ADC_LOCK            | BINARY        | BASE          | I86           | 83          | mm        | 0b010     | 0x83 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() SIMM8() lock_prefix                                  | MEM0:rw:v IMM0:r:b:i8
| ADC_LOCK            | BINARY        | BASE          | I86           | 10          | mm        | rrr       | 0x10 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() lock_prefix                                            | MEM0:rw:b REG0=GPR8_R():r
| ADC_LOCK            | BINARY        | BASE          | I86           | 11          | mm        | rrr       | 0x11 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() lock_prefix                                            | MEM0:rw:v REG0=GPRv_R():r
| ADD                 | BINARY        | BASE          | I86           | 80          | mm        | 0b000     | 0x80 MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() SIMM8() nolock_prefix                                | MEM0:rw:b IMM0:r:b:i8
| ADD                 | BINARY        | BASE          | I86           | 80          | 0b11      | 0b000     | 0x80 MOD[0b11] MOD=3 REG[0b000] RM[nnn] SIMM8()                                                     | REG0=GPR8_B():rw IMM0:r:b
| ADD                 | BINARY        | BASE          | I86           | 81          | mm        | 0b000     | 0x81 MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() SIMMz() nolock_prefix                                | MEM0:rw:v IMM0:r:z
| ADD                 | BINARY        | BASE          | I86           | 81          | 0b11      | 0b000     | 0x81 MOD[0b11] MOD=3 REG[0b000] RM[nnn] SIMMz()                                                     | REG0=GPRv_B():rw IMM0:r:z
| ADD                 | BINARY        | BASE          | I86           | 82          | mm        | 0b000     | 0x82 MOD[mm] MOD!=3 REG[0b000] RM[nnn] not64 MODRM() SIMM8() nolock_prefix                          | MEM0:rw:b IMM0:r:b:i8
| ADD                 | BINARY        | BASE          | I86           | 82          | 0b11      | 0b000     | 0x82 MOD[0b11] MOD=3 REG[0b000] RM[nnn] not64 SIMM8()                                               | REG0=GPR8_B():rw IMM0:r:b:i8
| ADD                 | BINARY        | BASE          | I86           | 83          | mm        | 0b000     | 0x83 MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() SIMM8() nolock_prefix                                | MEM0:rw:v IMM0:r:b:i8
| ADD                 | BINARY        | BASE          | I86           | 83          | 0b11      | 0b000     | 0x83 MOD[0b11] MOD=3 REG[0b000] RM[nnn] SIMM8()                                                     | REG0=GPRv_B():rw IMM0:r:b:i8
| ADD                 | BINARY        | BASE          | I86           | 00          | mm        | rrr       | 0x00 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                                          | MEM0:rw:b REG0=GPR8_R():r
| ADD                 | BINARY        | BASE          | I86           | 00          | 0b11      | rrr       | 0x00 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                               | REG0=GPR8_B():rw REG1=GPR8_R():r
| ADD                 | BINARY        | BASE          | I86           | 01          | mm        | rrr       | 0x01 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                                          | MEM0:rw:v REG0=GPRv_R():r
| ADD                 | BINARY        | BASE          | I86           | 01          | 0b11      | rrr       | 0x01 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                               | REG0=GPRv_B():rw REG1=GPRv_R():r
| ADD                 | BINARY        | BASE          | I86           | 02          | mm        | rrr       | 0x02 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                                        | REG0=GPR8_R():rw MEM0:r:b
| ADD                 | BINARY        | BASE          | I86           | 02          | 0b11      | rrr       | 0x02 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                               | REG0=GPR8_R():rw REG1=GPR8_B():r
| ADD                 | BINARY        | BASE          | I86           | 03          | mm        | rrr       | 0x03 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                                        | REG0=GPRv_R():rw MEM0:r:v
| ADD                 | BINARY        | BASE          | I86           | 03          | 0b11      | rrr       | 0x03 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                               | REG0=GPRv_R():rw REG1=GPRv_B():r
| ADD                 | BINARY        | BASE          | I86           | 04          |           |           | 0x04 SIMM8()                                                                                        | REG0=XED_REG_AL:rw:IMPL IMM0:r:b:i8
| ADD                 | BINARY        | BASE          | I86           | 05          |           |           | 0x05 SIMMz()                                                                                        | REG0=OrAX():rw:IMPL IMM0:r:z
| ADD_LOCK            | BINARY        | BASE          | I86           | 80          | mm        | 0b000     | 0x80 MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() SIMM8() lock_prefix                                  | MEM0:rw:b IMM0:r:b:i8
| ADD_LOCK            | BINARY        | BASE          | I86           | 81          | mm        | 0b000     | 0x81 MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() SIMMz() lock_prefix                                  | MEM0:rw:v IMM0:r:z
| ADD_LOCK            | BINARY        | BASE          | I86           | 82          | mm        | 0b000     | 0x82 MOD[mm] MOD!=3 REG[0b000] RM[nnn] not64 MODRM() SIMM8() lock_prefix                            | MEM0:rw:b IMM0:r:b:i8
| ADD_LOCK            | BINARY        | BASE          | I86           | 83          | mm        | 0b000     | 0x83 MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() SIMM8() lock_prefix                                  | MEM0:rw:v IMM0:r:b:i8
| ADD_LOCK            | BINARY        | BASE          | I86           | 00          | mm        | rrr       | 0x00 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() lock_prefix                                            | MEM0:rw:b REG0=GPR8_R():r
| ADD_LOCK            | BINARY        | BASE          | I86           | 01          | mm        | rrr       | 0x01 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() lock_prefix                                            | MEM0:rw:v REG0=GPRv_R():r
| AND                 | LOGICAL       | BASE          | I86           | 80          | mm        | 0b100     | 0x80 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() UIMM8() nolock_prefix                                | MEM0:rw:b IMM0:r:b
| AND                 | LOGICAL       | BASE          | I86           | 80          | 0b11      | 0b100     | 0x80 MOD[0b11] MOD=3 REG[0b100] RM[nnn] UIMM8()                                                     | REG0=GPR8_B():rw IMM0:r:b
