| Instruction | OF | SF | ZF | AF | PF | CF | TF | IF | DF | NT | RF |
| AAA         | _  | _  | _  | TM | _  | M  |    |    |    |    |    |
| AAD         | _  | M  | M  | _  | M  | _  |    |    |    |    |    |
| AAM         | _  | M  | M  | _  | M  | _  |    |    |    |    |    |
| AAS         | _  | _  | _  | TM | _  | M  |    |    |    |    |    |
| ADC         | M  | M  | M  | M  | M  | TM |    |    |    |    |    |
| ADD         | M  | M  | M  | M  | M  | M  |    |    |    |    |    |
| AND         | 0  | M  | M  | _  | M  | 0  |    |    |    |    |    |
| ARPL        |    |    | M  |    |    |    |    |    |    |    |    |
| BOUND       |    |    |    |    |    |    |    |    |    |    |    |
| BSF         | _  | _  | M  | _  | _  | _  |    |    |    |    |    |
| BSR         | _  | _  | M  | _  | _  | _  |    |    |    |    |    |
| BSWAP       |    |    |    |    |    |    |    |    |    |    |    |
| BTS         | _  | _  |    | _  | _  | M  |    |    |    |    |    |
| BT          | _  | _  |    | _  | _  | M  |    |    |    |    |    |
| BTR         | _  | _  |    | _  | _  | M  |    |    |    |    |    |
| BTC         | _  | _  |    | _  | _  | M  |    |    |    |    |    |
| CALL        |    |    |    |    |    |    |    |    |    |    |    |
| CBW         |    |    |    |    |    |    |    |    |    |    |    |
| CLC         |    |    |    |    |    | 0  |    |    |    |    |    |
| CLD         |    |    |    |    |    |    |    |    | 0  |    |    |
| CLI         |    |    |    |    |    |    |    | 0  |    |    |    |
| CLTS        |    |    |    |    |    |    |    |    |    |    |    |
| CMC         |    |    |    |    |    | M  |    |    |    |    |    |
| CMOVcc      | T  | T  | T  |    | T  | T  |    |    |    |    |    |
| CMP         | M  | M  | M  | M  | M  | M  |    |    |    |    |    |
| CMPS        | M  | M  | M  | M  | M  | M  |    |    | T  |    |    |
| CMPXCHG     | M  | M  | M  | M  | M  | M  |    |    |    |    |    |
| CMPXCHG8B   |    |    | M  |    |    |    |    |    |    |    |    |
| COMISD      | 0  | 0  | M  | 0  | M  | M  |    |    |    |    |    |
| COMISS      | 0  | 0  | M  | 0  | M  | M  |    |    |    |    |    |
| CPUID       |    |    |    |    |    |    |    |    |    |    |    |
| CWD         |    |    |    |    |    |    |    |    |    |    |    |
| DAA         | _  | M  | M  | TM | M  | TM |    |    |    |    |    |
| DAS         | _  | M  | M  | TM | M  | TM |    |    |    |    |    |
| DEC         | M  | M  | M  | M  | M  |    |    |    |    |    |    |
| DIV         | _  | _  | _  | _  | _  | _  |    |    |    |    |    |
| ENTER       |    |    |    |    |    |    |    |    |    |    |    |
| ESC         |    |    |    |    |    |    |    |    |    |    |    |
| FCMOVcc     |    |    | T  |    | T  | T  |    |    |    |    |    |
| FCOMI       | 0  | 0  | M  | 0  | M  | M  |    |    |    |    |    |
| FCOMIP      | 0  | 0  | M  | 0  | M  | M  |    |    |    |    |    |
| FUCOMI      | 0  | 0  | M  | 0  | M  | M  |    |    |    |    |    |
| FUCOMIP     | 0  | 0  | M  | 0  | M  | M  |    |    |    |    |    |
| HLT         |    |    |    |    |    |    |    |    |    |    |    |
| IDIV        | _  | _  | _  | _  | _  | _  |    |    |    |    |    |
| IMUL        | M  | _  | _  | _  | _  | M  |    |    |    |    |    |
| IN          |    |    |    |    |    |    |    |    |    |    |    |
| INC         | M  | M  | M  | M  | M  |    |    |    |    |    |    |
| INS         |    |    |    |    |    |    |    |    | T  |    |    |
| INT         |    |    |    |    |    |    | 0  |    |    | 0  |    |
| INTO        | T  |    |    |    |    |    | 0  |    |    | 0  |    |
| INVD        |    |    |    |    |    |    |    |    |    |    |    |
| INVLPG      |    |    |    |    |    |    |    |    |    |    |    |
| UCOMISD     | 0  | 0  | M  | 0  | M  | M  |    |    |    |    |    |
| UCOMISS     | 0  | 0  | M  | 0  | M  | M  |    |    |    |    |    |
| IRET        | R  | R  | R  | R  | R  | R  | R  | R  | R  | T  |    |
| Jcc         | T  | T  | T  |    | T  | T  |    |    |    |    |    |
| JCXZ        |    |    |    |    |    |    |    |    |    |    |    |
| JMP         |    |    |    |    |    |    |    |    |    |    |    |
| LAHF        |    |    |    |    |    |    |    |    |    |    |    |
| LAR         |    |    | M  |    |    |    |    |    |    |    |    |
| LDS         |    |    |    |    |    |    |    |    |    |    |    |
| LES         |    |    |    |    |    |    |    |    |    |    |    |
| LSS         |    |    |    |    |    |    |    |    |    |    |    |
| LFS         |    |    |    |    |    |    |    |    |    |    |    |
| LGS         |    |    |    |    |    |    |    |    |    |    |    |
| LEA         |    |    |    |    |    |    |    |    |    |    |    |
| LEAVE       |    |    |    |    |    |    |    |    |    |    |    |
| LGDT        |    |    |    |    |    |    |    |    |    |    |    |
| LLDT        |    |    |    |    |    |    |    |    |    |    |    |
| LMSW        |    |    |    |    |    |    |    |    |    |    |    |
| LIDT        |    |    |    |    |    |    |    |    |    |    |    |
| LLDT        |    |    |    |    |    |    |    |    |    |    |    |
| LMSW        |    |    |    |    |    |    |    |    |    |    |    |
| LOCK        |    |    |    |    |    |    |    |    |    |    |    |
| SHLD        | _  | M  | M  | _  | M  | M  |    |    |    |    |    |
| SHRD        | _  | M  | M  | _  | M  | M  |    |    |    |    |    |
| STC         |    |    |    |    |    | 1  |    |    |    |    |    |
| STD         |    |    |    |    |    |    |    |    | 1  |    |    |
| STI         |    |    |    |    |    |    |    | 1  |    |    |    |
| STOS        |    |    |    |    |    |    |    |    | T  |    |    |
| STR         |    |    |    |    |    |    |    |    |    |    |    |
| SUB         | M  | M  | M  | M  | M  | M  |    |    |    |    |    |
| TEST        | 0  | M  | M  | _  | M  | 0  |    |    |    |    |    |
| UD          |    |    |    |    |    |    |    |    |    |    |    |
| VERR        |    |    | M  |    |    |    |    |    |    |    |    |
| VERRW       |    |    | M  |    |    |    |    |    |    |    |    |
