| TypeName                        | Index   | Name                            | Hex       | BitString                       | Description
| OpCodeOperandKind               | 0       | None                            | 0         |                                 | No operand
| OpCodeOperandKind               | 1       | farbr2_2                        | 1         |                                 | Far branch 16-bit offset, 16-bit segment/selector
| OpCodeOperandKind               | 2       | farbr4_2                        | 2         |                                 | Far branch 32-bit offset, 16-bit segment/selector
| OpCodeOperandKind               | 3       | mem_offs                        | 3         |                                 | Memory offset without a modrm byte (eg. #(c:MOV AL,[offset])#)
| OpCodeOperandKind               | 4       | mem                             | 4         |                                 | Memory (modrm)
| OpCodeOperandKind               | 5       | mem_mpx                         | 5         |                                 | Memory (modrm), MPX:#(p:)#16/32-bit mode: must be 32-bit addressing#(p:)#64-bit mode: 64-bit addressing is forced
| OpCodeOperandKind               | 6       | mem_mib                         | 6         |                                 | Memory (modrm), MPX:#(p:)#16/32-bit mode: must be 32-bit addressing#(p:)#64-bit mode: 64-bit addressing is forced and must not be RIP relative
| OpCodeOperandKind               | 7       | mem_vsib32x                     | 7         |                                 | Memory (modrm), vsib32, xmm registers
| OpCodeOperandKind               | 8       | mem_vsib64x                     | 8         |                                 | Memory (modrm), vsib64, xmm registers
| OpCodeOperandKind               | 9       | mem_vsib32y                     | 9         |                                 | Memory (modrm), vsib32, ymm registers
| OpCodeOperandKind               | 10      | mem_vsib64y                     | a         |                                 | Memory (modrm), vsib64, ymm registers
| OpCodeOperandKind               | 11      | mem_vsib32z                     | b         |                                 | Memory (modrm), vsib32, zmm registers
| OpCodeOperandKind               | 12      | mem_vsib64z                     | c         |                                 | Memory (modrm), vsib64, zmm registers
| OpCodeOperandKind               | 13      | r8_or_mem                       | d         |                                 | 8-bit GPR or memory
| OpCodeOperandKind               | 14      | r16_or_mem                      | e         |                                 | 16-bit GPR or memory
| OpCodeOperandKind               | 15      | r32_or_mem                      | f         |                                 | 32-bit GPR or memory
