| Sequence  | Id                                                | CodeBytes       | Prefix  | Table   | Group   | Op1                 | Op2                 | Op3                 | Op4                 | OpSize    | AddressSize   | Flags     
| 0         | INVALID                                           | 00 00 00 00     |         | Normal  |         |                     |                     |                     |                     |           |               | Mode16, Mode32, Mode64, NoInstruction
| 1         | DeclareByte                                       | 00 00 00 00     |         | Normal  |         |                     |                     |                     |                     |           |               | Mode16, Mode32, Mode64, NoInstruction
| 2         | DeclareWord                                       | 00 00 00 00     |         | Normal  |         |                     |                     |                     |                     |           |               | Mode16, Mode32, Mode64, NoInstruction
| 3         | DeclareDword                                      | 00 00 00 00     |         | Normal  |         |                     |                     |                     |                     |           |               | Mode16, Mode32, Mode64, NoInstruction
| 4         | DeclareQword                                      | 00 00 00 00     |         | Normal  |         |                     |                     |                     |                     |           |               | Mode16, Mode32, Mode64, NoInstruction
| 5         | Add_rm8_r8                                        | 00 00 00 00     |         | Normal  |         | r8_or_mem           | r8_reg              |                     |                     |           |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| 6         | Add_rm16_r16                                      | 01 00 00 00     |         | Normal  |         | r16_or_mem          | r16_reg             |                     |                     | Size16    |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| 7         | Add_rm32_r32                                      | 01 00 00 00     |         | Normal  |         | r32_or_mem          | r32_reg             |                     |                     | Size32    |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| 8         | Add_rm64_r64                                      | 01 00 00 00     |         | Normal  |         | r64_or_mem          | r64_reg             |                     |                     | Size64    |               | Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| 9         | Add_r8_rm8                                        | 02 00 00 00     |         | Normal  |         | r8_reg              | r8_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| 10        | Add_r16_rm16                                      | 03 00 00 00     |         | Normal  |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| 11        | Add_r32_rm32                                      | 03 00 00 00     |         | Normal  |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| 12        | Add_r64_rm64                                      | 03 00 00 00     |         | Normal  |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64    
| 13        | Add_AL_imm8                                       | 04 00 00 00     |         | Normal  |         | al                  | imm8                |                     |                     |           |               | Mode16, Mode32, Mode64
| 14        | Add_AX_imm16                                      | 05 00 00 00     |         | Normal  |         | ax                  | imm16               |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| 15        | Add_EAX_imm32                                     | 05 00 00 00     |         | Normal  |         | eax                 | imm32               |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| 16        | Add_RAX_imm32                                     | 05 00 00 00     |         | Normal  |         | rax                 | imm32sex64          |                     |                     | Size64    |               | Mode64    
| 17        | Pushw_ES                                          | 06 00 00 00     |         | Normal  |         | es                  |                     |                     |                     | Size16    |               | Mode16, Mode32
| 18        | Pushd_ES                                          | 06 00 00 00     |         | Normal  |         | es                  |                     |                     |                     | Size32    |               | Mode16, Mode32
| 19        | Popw_ES                                           | 07 00 00 00     |         | Normal  |         | es                  |                     |                     |                     | Size16    |               | Mode16, Mode32
| 20        | Popd_ES                                           | 07 00 00 00     |         | Normal  |         | es                  |                     |                     |                     | Size32    |               | Mode16, Mode32
| 21        | Or_rm8_r8                                         | 08 00 00 00     |         | Normal  |         | r8_or_mem           | r8_reg              |                     |                     |           |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
