Mnemonic         | Expression                     | Instruction                              | Modes            | CpuId      | OpCodeId  
<db>             | <db>                           | <db>                                     | 16/32/64-bit     | 8086+      | DeclareByte
<dd>             | <dd>                           | <dd>                                     | 16/32/64-bit     | 8086+      | DeclareDword
<dq>             | <dq>                           | <dq>                                     | 16/32/64-bit     | 8086+      | DeclareQword
<dw>             | <dw>                           | <dw>                                     | 16/32/64-bit     | 8086+      | DeclareWord
AAA              | 37                             | AAA                                      | 16/32-bit        | 8086+      | Aaa       
AAD              | D5 ib                          | AAD imm8                                 | 16/32-bit        | 8086+      | Aad_imm8  
AAM              | D4 ib                          | AAM imm8                                 | 16/32-bit        | 8086+      | Aam_imm8  
AAS              | 3F                             | AAS                                      | 16/32-bit        | 8086+      | Aas       
ADC              | 10 /r                          | ADC r/m8, r8                             | 16/32/64-bit     | 8086+      | Adc_rm8_r8
ADC              | 11 /r                          | ADC r/m16, r16                           | 16/32/64-bit     | 8086+      | Adc_rm16_r16
ADC              | 11 /r                          | ADC r/m32, r32                           | 16/32/64-bit     | 386+       | Adc_rm32_r32
ADC              | REX.W 11 /r                    | ADC r/m64, r64                           | 64-bit           | X64        | Adc_rm64_r64
ADC              | 12 /r                          | ADC r8, r/m8                             | 16/32/64-bit     | 8086+      | Adc_r8_rm8
ADC              | 13 /r                          | ADC r16, r/m16                           | 16/32/64-bit     | 8086+      | Adc_r16_rm16
ADC              | 13 /r                          | ADC r32, r/m32                           | 16/32/64-bit     | 386+       | Adc_r32_rm32
ADC              | REX.W 13 /r                    | ADC r64, r/m64                           | 64-bit           | X64        | Adc_r64_rm64
ADC              | 14 ib                          | ADC AL, imm8                             | 16/32/64-bit     | 8086+      | Adc_AL_imm8
ADC              | 15 iw                          | ADC AX, imm16                            | 16/32/64-bit     | 8086+      | Adc_AX_imm16
ADC              | 15 id                          | ADC EAX, imm32                           | 16/32/64-bit     | 386+       | Adc_EAX_imm32
ADC              | REX.W 15 id                    | ADC RAX, imm32                           | 64-bit           | X64        | Adc_RAX_imm32
ADC              | 80 /2 ib                       | ADC r/m8, imm8                           | 16/32/64-bit     | 8086+      | Adc_rm8_imm8
ADC              | 81 /2 iw                       | ADC r/m16, imm16                         | 16/32/64-bit     | 8086+      | Adc_rm16_imm16
ADC              | 81 /2 id                       | ADC r/m32, imm32                         | 16/32/64-bit     | 386+       | Adc_rm32_imm32
ADC              | REX.W 81 /2 id                 | ADC r/m64, imm32                         | 64-bit           | X64        | Adc_rm64_imm32
ADC              | 82 /2 ib                       | ADC r/m8, imm8                           | 16/32-bit        | 8086+      | Adc_rm8_imm8_82
ADC              | 83 /2 ib                       | ADC r/m16, imm8                          | 16/32/64-bit     | 8086+      | Adc_rm16_imm8
ADC              | 83 /2 ib                       | ADC r/m32, imm8                          | 16/32/64-bit     | 386+       | Adc_rm32_imm8
ADC              | REX.W 83 /2 ib                 | ADC r/m64, imm8                          | 64-bit           | X64        | Adc_rm64_imm8
ADCX             | 66 0F 38 F6 /r                 | ADCX r32, r/m32                          | 16/32/64-bit     | ADX        | Adcx_r32_rm32
ADCX             | 66 REX.W 0F 38 F6 /r           | ADCX r64, r/m64                          | 64-bit           | ADX        | Adcx_r64_rm64
ADD              | 00 /r                          | ADD r/m8, r8                             | 16/32/64-bit     | 8086+      | Add_rm8_r8
ADD              | 01 /r                          | ADD r/m16, r16                           | 16/32/64-bit     | 8086+      | Add_rm16_r16
ADD              | 01 /r                          | ADD r/m32, r32                           | 16/32/64-bit     | 386+       | Add_rm32_r32
ADD              | REX.W 01 /r                    | ADD r/m64, r64                           | 64-bit           | X64        | Add_rm64_r64
ADD              | 02 /r                          | ADD r8, r/m8                             | 16/32/64-bit     | 8086+      | Add_r8_rm8
ADD              | 03 /r                          | ADD r16, r/m16                           | 16/32/64-bit     | 8086+      | Add_r16_rm16
ADD              | 03 /r                          | ADD r32, r/m32                           | 16/32/64-bit     | 386+       | Add_r32_rm32
ADD              | REX.W 03 /r                    | ADD r64, r/m64                           | 64-bit           | X64        | Add_r64_rm64
ADD              | 04 ib                          | ADD AL, imm8                             | 16/32/64-bit     | 8086+      | Add_AL_imm8
ADD              | 05 iw                          | ADD AX, imm16                            | 16/32/64-bit     | 8086+      | Add_AX_imm16
ADD              | 05 id                          | ADD EAX, imm32                           | 16/32/64-bit     | 386+       | Add_EAX_imm32
ADD              | REX.W 05 id                    | ADD RAX, imm32                           | 64-bit           | X64        | Add_RAX_imm32
ADD              | 80 /0 ib                       | ADD r/m8, imm8                           | 16/32/64-bit     | 8086+      | Add_rm8_imm8
ADD              | 81 /0 iw                       | ADD r/m16, imm16                         | 16/32/64-bit     | 8086+      | Add_rm16_imm16
ADD              | 81 /0 id                       | ADD r/m32, imm32                         | 16/32/64-bit     | 386+       | Add_rm32_imm32
ADD              | REX.W 81 /0 id                 | ADD r/m64, imm32                         | 64-bit           | X64        | Add_rm64_imm32
ADD              | 82 /0 ib                       | ADD r/m8, imm8                           | 16/32-bit        | 8086+      | Add_rm8_imm8_82
ADD              | 83 /0 ib                       | ADD r/m16, imm8                          | 16/32/64-bit     | 8086+      | Add_rm16_imm8
ADD              | 83 /0 ib                       | ADD r/m32, imm8                          | 16/32/64-bit     | 386+       | Add_rm32_imm8
ADD              | REX.W 83 /0 ib                 | ADD r/m64, imm8                          | 64-bit           | X64        | Add_rm64_imm8
ADDPD            | 66 0F 58 /r                    | ADDPD xmm1, xmm2/m128                    | 16/32/64-bit     | SSE2       | Addpd_xmm_xmmm128
ADDPS            | NP 0F 58 /r                    | ADDPS xmm1, xmm2/m128                    | 16/32/64-bit     | SSE        | Addps_xmm_xmmm128
ADDSD            | F2 0F 58 /r                    | ADDSD xmm1, xmm2/m64                     | 16/32/64-bit     | SSE2       | Addsd_xmm_xmmm64
ADDSS            | F3 0F 58 /r                    | ADDSS xmm1, xmm2/m32                     | 16/32/64-bit     | SSE        | Addss_xmm_xmmm32
ADDSUBPD         | 66 0F D0 /r                    | ADDSUBPD xmm1, xmm2/m128                 | 16/32/64-bit     | SSE3       | Addsubpd_xmm_xmmm128
ADDSUBPS         | F2 0F D0 /r                    | ADDSUBPS xmm1, xmm2/m128                 | 16/32/64-bit     | SSE3       | Addsubps_xmm_xmmm128
ADOX             | F3 0F 38 F6 /r                 | ADOX r32, r/m32                          | 16/32/64-bit     | ADX        | Adox_r32_rm32
ADOX             | F3 REX.W 0F 38 F6 /r           | ADOX r64, r/m64                          | 64-bit           | ADX        | Adox_r64_rm64
AESDEC           | 66 0F 38 DE /r                 | AESDEC xmm1, xmm2/m128                   | 16/32/64-bit     | AES        | Aesdec_xmm_xmmm128
AESDECLAST       | 66 0F 38 DF /r                 | AESDECLAST xmm1, xmm2/m128               | 16/32/64-bit     | AES        | Aesdeclast_xmm_xmmm128
AESENC           | 66 0F 38 DC /r                 | AESENC xmm1, xmm2/m128                   | 16/32/64-bit     | AES        | Aesenc_xmm_xmmm128
AESENCLAST       | 66 0F 38 DD /r                 | AESENCLAST xmm1, xmm2/m128               | 16/32/64-bit     | AES        | Aesenclast_xmm_xmmm128
