# ClOptions - cl.exe Compiler Options
----------------------------------------------------------------------------------------------------------
| Name                                           | Meaning                                                                                                                                                                                 |
| @                                              | Specifies a response file.                                                                                                                                                              |
| /?                                             | Lists the compiler options.                                                                                                                                                             |
| /AI                                            | Specifies a directory to search to resolve file references passed to the #using directive.                                                                                              |
| /analyze                                       | Enable code analysis.                                                                                                                                                                   |
| /arch                                          | Specifies the architecture for code generation.                                                                                                                                         |
| /await                                         | Enable coroutines (resumable functions) extensions.                                                                                                                                     |
| /bigobj                                        | Increases the number of addressable sections in an .obj file.                                                                                                                           |
| /C                                             | Preserves comments during preprocessing.                                                                                                                                                |
| /c                                             | Compiles without linking.                                                                                                                                                               |
| /cgthreads                                     | Specifies number of cl.exe threads to use for optimization and code generation.                                                                                                         |
| /clr                                           | Produces an output file to run on the common language runtime.                                                                                                                          |
| /constexpr                                     | Control constexpr evaluation at compile time.                                                                                                                                           |
| /D                                             | Defines constants and macros.                                                                                                                                                           |
| /diagnostics                                   | Controls the format of diagnostic messages.                                                                                                                                             |
| /doc                                           | Process documentation comments to an XML file.                                                                                                                                          |
| /E                                             | Copies preprocessor output to standard output.                                                                                                                                          |
| /EH                                            | Specifies the model of exception handling.                                                                                                                                              |
| /EP                                            | Copies preprocessor output to standard output.                                                                                                                                          |
| /errorReport                                   | Deprecated. Error reporting is controlled by Windows Error Reporting (WER) settings.                                                                                                    |
| /execution-charset                             | Set the execution character set.                                                                                                                                                        |
| /experimental:module                           | Enables experimental module support.                                                                                                                                                    |
| /experimental:preprocessor                     | Enables experimental conforming preprocessor support.                                                                                                                                   |
| /F                                             | Sets stack size.                                                                                                                                                                        |
| /favor                                         | Produces code optimized for a specific x64 architecture. Or, for the specific micro-architectures in both the AMD64 and EM64T architectures.                                            |
| /FA                                            | Creates a listing file.                                                                                                                                                                 |
| /Fa                                            | Sets the listing file name.                                                                                                                                                             |
| /FC                                            | Display full path of source code files passed to cl.exe in diagnostic text.                                                                                                             |
| /Fd                                            | Renames program database file.                                                                                                                                                          |
| /Fe                                            | Renames the executable file.                                                                                                                                                            |
| /FI                                            | Preprocesses the specified include file.                                                                                                                                                |
| /Fi                                            | Sets the preprocessed output file name.                                                                                                                                                 |
| /Fm                                            | Creates a map file.                                                                                                                                                                     |
| /Fo                                            | Creates an object file.                                                                                                                                                                 |
| /fp                                            | Specify floating-point behavior.                                                                                                                                                        |
| /Fp                                            | Specifies a precompiled header file name.                                                                                                                                               |
| /FR /Fr                                        | Generates browser files. /Fr is deprecated.                                                                                                                                             |
| /FS                                            | Forces serialization of all writes to the program database (PDB) file through MSPDBSRV.EXE.                                                                                             |
| /FU                                            | Forces the use of a file name as if it had been passed to the #using directive.                                                                                                         |
| /Fx                                            | Merges injected code with source file.                                                                                                                                                  |
| /GA                                            | Optimizes code for Windows application.                                                                                                                                                 |
| /Gd                                            | Uses the __cdecl calling convention (x86 only).                                                                                                                                         |
| /Ge                                            | Deprecated. Activates stack probes.                                                                                                                                                     |
| /GF                                            | Enables string pooling.                                                                                                                                                                 |
| /GH                                            | Calls hook function _pexit .                                                                                                                                                            |
| /Gh                                            | Calls hook function _penter .                                                                                                                                                           |
| /GL                                            | Enables whole program optimization.                                                                                                                                                     |
| /Gm                                            | Deprecated. Enables minimal rebuild.                                                                                                                                                    |
| /GR                                            | Enables run-time type information (RTTI).                                                                                                                                               |
| /Gr                                            | Uses the __fastcall calling convention (x86 only).                                                                                                                                      |
| /GS                                            | Buffers security check.                                                                                                                                                                 |
| /Gs                                            | Controls stack probes.                                                                                                                                                                  |
| /GT                                            | Supports fiber safety for data allocated using static thread-local storage.                                                                                                             |
| /guard:cf                                      | Adds control flow guard security checks.                                                                                                                                                |
| /guard:ehcont                                  | Enables EH continuation metadata.                                                                                                                                                       |
| /Gv                                            | Uses the __vectorcall calling convention. (x86 and x64 only)                                                                                                                            |
| /Gw                                            | Enables whole-program global data optimization.                                                                                                                                         |
| /GX                                            | Deprecated. Enables synchronous exception handling. Use /EH instead.                                                                                                                    |
| /Gy                                            | Enables function-level linking.                                                                                                                                                         |
| /GZ                                            | Deprecated. Same as /RTC1 .                                                                                                                                                             |
| /Gz                                            | Uses the __stdcall calling convention (x86 only).                                                                                                                                       |
| /H                                             | Deprecated. Restricts the length of external (public) names.                                                                                                                            |
| /HELP                                          | Lists the compiler options.                                                                                                                                                             |
| /homeparams                                    | Forces parameters passed in registers to be written to their locations on the stack upon function entry. This compiler option is only for the x64 compilers (native and cross compile). |
| /hotpatch                                      | Creates a hot-patchable image.                                                                                                                                                          |
| /I                                             | Searches a directory for include files.                                                                                                                                                 |
| /J                                             | Changes the default char type.                                                                                                                                                          |
| /JMC                                           | Supports native C++ Just My Code debugging.                                                                                                                                             |
| /kernel                                        | The compiler and linker will create a binary that can be executed in the Windows kernel.                                                                                                |
| /LD                                            | Creates a dynamic-link library.                                                                                                                                                         |
| /LDd                                           | Creates a debug dynamic-link library.                                                                                                                                                   |
| /link                                          | Passes the specified option to LINK.                                                                                                                                                    |
| /LN                                            | Creates an MSIL module.                                                                                                                                                                 |
| /MD                                            | Creates a multithreaded DLL using MSVCRT.lib.                                                                                                                                           |
| /MDd                                           | Creates a debug multithreaded DLL using MSVCRTD.lib.                                                                                                                                    |
| /MP                                            | Compiles multiple source files by using multiple processes.                                                                                                                             |
| /MT                                            | Creates a multithreaded executable file using LIBCMT.lib.                                                                                                                               |
| /MTd                                           | Creates a debug multithreaded executable file using LIBCMTD.lib.                                                                                                                        |
| /nologo                                        | Suppresses display of sign-on banner.                                                                                                                                                   |
| /O1                                            | Creates small code.                                                                                                                                                                     |
