# CPUID, Vol2
| 07 | Out | Bit | Feature          | Description                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 07 | EBX | 00  | FSGSBASE         | Supports RDFSBASE/RDGSBASE/WRFSBASE/WRGSBASE if 1.                                                                                                                                                                                                                                                                                                                                                                                        |
| 07 | EBX | 01  | IA32_TSC_ADJUST  | MSR is supported if 1.                                                                                                                                                                                                                                                                                                                                                                                                                    |
| 07 | EBX | 02  | SGX.             | Supports Intel® Software Guard Extensions (Intel® SGX Extensions) if 1.                                                                                                                                                                                                                                                                                                                                                                   |
| 07 | EBX | 03  | BMI1             | BMI2                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 07 | EBX | 04  | HLE              | HLE                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 07 | EBX | 05  | AVX2             | AVX2                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 07 | EBX | 06  | FDP_EXCPTN_ONLY  | x87 FPU Data Pointer updated only on x87 exceptions if 1.                                                                                                                                                                                                                                                                                                                                                                                 |
| 07 | EBX | 07  | SMEP             | Supports Supervisor-Mode Execution Prevention if 1.                                                                                                                                                                                                                                                                                                                                                                                       |
| 07 | EBX | 08  | BMI2             | BMI2                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 07 | EBX | 09  | ERMS             | Supports Enhanced REP MOVSB/STOSB if 1.                                                                                                                                                                                                                                                                                                                                                                                                   |
| 07 | EBX | 10  | INVPCID          | If 1, supports INVPCID instruction for system software that manages process-context identifiers.                                                                                                                                                                                                                                                                                                                                          |
| 07 | EBX | 11  | RTM              | RTM                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 07 | EBX | 12  | RDT-M            | Supports Intel® Resource Director Technology (Intel® RDT) Monitoring capability if 1.                                                                                                                                                                                                                                                                                                                                                     |
| 07 | EBX | 13  | XYZ              | Deprecates FPU CS and FPU DS values if 1                                                                                                                                                                                                                                                                                                                                                                                                  |
| 07 | EBX | 14  | MPX              | Supports Intel® Memory Protection Extensions if 1.                                                                                                                                                                                                                                                                                                                                                                                        |
| 07 | EBX | 15  | RDT-A            | Supports Intel® Resource Director Technology (Intel® RDT) Allocation capability if 1.                                                                                                                                                                                                                                                                                                                                                     |
| 07 | EBX | 16  | AVX512F          | AVX512F                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 07 | EBX | 17  | AVX512DQ         | AVX512DQ                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 07 | EBX | 18  | RDSEED           | RDSEED                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| 07 | EBX | 19  | ADX              | ADX                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 07 | EBX | 20  | SMAP             | Supports Supervisor-Mode Access Prevention (and the CLAC/STAC instructions) if 1.                                                                                                                                                                                                                                                                                                                                                         |
| 07 | EBX | 21  | AVX512_IFMA      | AVX512_IFMA                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 07 | EBX | 22  | None             | None                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 07 | EBX | 23  | CLFLUSHOPT       | CLFLUSHOPT                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 07 | EBX | 24  | CLWB             | CLWB                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 07 | EBX | 25  | IPT              | Intel Processor Trace.                                                                                                                                                                                                                                                                                                                                                                                                                    |
| 07 | EBX | 26  | AVX512PF         | (Intel® Xeon Phi™ only.)                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 07 | EBX | 27  | AVX512ER         | (Intel® Xeon Phi™ only.)                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 07 | EBX | 28  | AVX512CD         | AVX512CD                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 07 | EBX | 29  | SHA              | supports Intel® Secure Hash Algorithm Extensions (Intel® SHA Extensions) if 1.                                                                                                                                                                                                                                                                                                                                                            |
| 07 | EBX | 30  | AVX512BW         | AVX512BW                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 07 | EBX | 31  | AVX512VL         | AVX512VL                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 07 | ECX | 00  | PREFETCHWT1      | (Intel® Xeon Phi™ only.)                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 07 | ECX | 01  | AVX512_VBMI      |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 02  | UMIP             | Supports user-mode instruction prevention if 1.                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 03  | PKU              | Supports protection keys for user-mode pages if 1.                                                                                                                                                                                                                                                                                                                                                                                        |
| 07 | ECX | 04  | OSPKE            | If 1, OS has set CR4.PKE to enable protection keys (and the RDPKRU/WRPKRU instruc- tions).                                                                                                                                                                                                                                                                                                                                                |
| 07 | ECX | 05  | WAITPKG          |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 06  | None             |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 07  | None             |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 08  | None             |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 09  | None             |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 10  | None             |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 11  | None             |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 12  | None             |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 13  | None             |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 14  | AVX512_VPOPCNTDQ | (Intel® Xeon Phi™ only.)                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 07 | ECX | 15  | None             |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 16  | None             |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 17  | MAWAU            | The value of MAWAU used by the BNDLDX and BNDSTX instructions in 64-bit mode.                                                                                                                                                                                                                                                                                                                                                             |
| 07 | ECX | 18  | MAWAU            | The value of MAWAU used by the BNDLDX and BNDSTX instructions in 64-bit mode.                                                                                                                                                                                                                                                                                                                                                             |
| 07 | ECX | 19  | MAWAU            | The value of MAWAU used by the BNDLDX and BNDSTX instructions in 64-bit mode.                                                                                                                                                                                                                                                                                                                                                             |
| 07 | ECX | 20  | MAWAU            | The value of MAWAU used by the BNDLDX and BNDSTX instructions in 64-bit mode.                                                                                                                                                                                                                                                                                                                                                             |
| 07 | ECX | 21  | MAWAU            | The value of MAWAU used by the BNDLDX and BNDSTX instructions in 64-bit mode.                                                                                                                                                                                                                                                                                                                                                             |
| 07 | ECX | 22  | RDPID            | RDPID and IA32_TSC_AUX are available if 1.                                                                                                                                                                                                                                                                                                                                                                                                |
| 07 | ECX | 23  | None             |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 24  | None             |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 25  | CLDEMOTE         | Supports cache line demote if 1.                                                                                                                                                                                                                                                                                                                                                                                                          |
| 07 | ECX | 26  | None             |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 27  | MOVDIRI          | Supports MOVDIRI if 1.                                                                                                                                                                                                                                                                                                                                                                                                                    |
| 07 | ECX | 28  | MOVDIR64B        | Supports MOVDIR64B if 1.                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 07 | ECX | 29  | None             |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 07 | ECX | 30  | SGX_LC           | Supports SGX Launch Configuration if 1.                                                                                                                                                                                                                                                                                                                                                                                                   |
| 07 | ECX | 31  | None             |                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 01 | ECX | 0   | SSE3             | Streaming SIMD Extensions 3 (SSE3). A value of 1 indicates the processor supports this technology.                                                                                                                                                                                                                                                                                                                                        |
| 01 | ECX | 1   | PCLMULQDQ        | PCLMULQDQ. A value of 1 indicates the processor supports the PCLMULQDQ instruction.                                                                                                                                                                                                                                                                                                                                                       |
| 01 | ECX | 2   | DTES64           | 64-bit DS Area. A value of 1 indicates the processor supports DS area using 64-bit layout.                                                                                                                                                                                                                                                                                                                                                |
| 01 | ECX | 3   | MONITOR          | MONITOR/MWAIT. A value of 1 indicates the processor supports this feature.                                                                                                                                                                                                                                                                                                                                                                |
| 01 | ECX | 4   | DS-CPL           | CPL Qualified Debug Store. A value of 1 indicates the processor supports the extensions to the Debug Store feature to allow for branch message storage qualified by CPL.                                                                                                                                                                                                                                                                  |
| 01 | ECX | 5   | VMX              | Virtual Machine Extensions. A value of 1 indicates that the processor supports this technology.                                                                                                                                                                                                                                                                                                                                           |
| 01 | ECX | 6   | SMX              | Safer Mode Extensions. A value of 1 indicates that the processor supports this technology                                                                                                                                                                                                                                                                                                                                                 |
| 01 | ECX | 7   | EIST             | Enhanced Intel SpeedStep® technology. A value of 1 indicates that the processor supports this technology.                                                                                                                                                                                                                                                                                                                                 |
