| Index | Code  | [63:0] | [31:0] | [15:0] | [7:0] |
| 0     | 00000 | rax    | eax    | ax     | al    |
| 1     | 00001 | rcx    | ecx    | cx     | cl    |
| 2     | 00010 | rdx    | edx    | dx     | dl    |
| 3     | 00011 | rbx    | ebx    | bx     | bl    |
| 4     | 00100 | rsp    | esp    | sp     | spl   |
| 5     | 00101 | rbp    | ebp    | bp     | bpl   |
| 6     | 00110 | rsi    | esi    | si     | sil   |
| 7     | 00111 | rdi    | edi    | di     | dil   |
| 8     | 01000 | r8     | r8d    | r8w    | r8b   |
| 9     | 01001 | r9     | r9d    | r9w    | r9b   |
| 10    | 01010 | r10    | r10d   | r10w   | r10b  |
| 11    | 01011 | r11    | r11d   | r11w   | r11b  |
| 12    | 01100 | r12    | r12d   | r12w   | r12b  |
| 13    | 01101 | r13    | r13d   | r13w   | r13b  |
| 14    | 01110 | r14    | r14d   | r14w   | r14b  |
| 15    | 01111 | r15    | r15d   | r15w   | r15b  |
