# 32-Bit Addressing Forms with the SIB Byte, Intel Vol2A, Table 2.3
| ScaledIndex | SS | Index | EAX:000 | ECX:001 | EDX:010 | EBX:011 | ESP:100 | [*]:101 | ESI:110 | EDI:111 |
| [EAX]       | 00 | 000   | 00      | 01      | 02      | 03      | 04      | 05      | 06      | 07      |
| [ECX]       | 00 | 001   | 08      | 09      | 0A      | 0B      | 0C      | 0D      | 0E      | 0F      |
| [EDX]       | 00 | 010   | 10      | 11      | 12      | 13      | 14      | 15      | 16      | 17      |
| [EBX]       | 00 | 011   | 18      | 19      | 1A      | 1B      | 1C      | 1D      | 1E      | 1F      |
| _           | 00 | 100   | 20      | 21      | 22      | 23      | 24      | 25      | 26      | 27      |
| [EBP]       | 00 | 101   | 28      | 29      | 2A      | 2B      | 2C      | 2D      | 2E      | 2F      |
| [ESI]       | 00 | 110   | 30      | 31      | 32      | 33      | 34      | 35      | 36      | 37      |
| [EDI]       | 00 | 111   | 38      | 39      | 3A      | 3B      | 3C      | 3D      | 3E      | 3F      |
| [EAX*2]     | 01 | 000   | 40      | 41      | 42      | 43      | 44      | 45      | 46      | 47      |
| [ECX*2]     | 01 | 001   | 48      | 49      | 4A      | 4B      | 4C      | 4D      | 4E      | 4F      |
| [EDX*2]     | 01 | 010   | 50      | 51      | 52      | 53      | 54      | 55      | 56      | 57      |
| [EBX*2]     | 01 | 011   | 58      | 59      | 5A      | 5B      | 5C      | 5D      | 5E      | 5F      |
| _           | 01 | 100   | 60      | 61      | 62      | 63      | 64      | 65      | 66      | 67      |
| [EBP*2]     | 01 | 101   | 68      | 69      | 6A      | 6B      | 6C      | 6D      | 6E      | 6F      |
| [ESI*2]     | 01 | 110   | 70      | 71      | 72      | 73      | 74      | 75      | 76      | 77      |
| [EDI*2]     | 01 | 111   | 78      | 79      | 7A      | 7B      | 7C      | 7D      | 7E      | 7F      |
| [EAX*4]     | 10 | 000   | 80      | 81      | 82      | 83      | 84      | 85      | 86      | 87      |
| [ECX*4]     | 10 | 001   | 88      | 89      | 8A      | 8B      | 8C      | 8D      | 8E      | 8F      |
| [EDX*4]     | 10 | 010   | 90      | 91      | 92      | 93      | 94      | 95      | 96      | 97      |
| [EBX*4]     | 10 | 011   | 98      | 99      | 9A      | 9B      | 9C      | 9D      | 9E      | 9F      |
| _           | 10 | 100   | A0      | A1      | A2      | A3      | A4      | A5      | A6      | A7      |
| [EBP*4]     | 10 | 101   | A8      | A9      | AA      | AB      | AC      | AD      | AE      | AF      |
| [ESI*4]     | 10 | 110   | B0      | B1      | B2      | B3      | B4      | B5      | B6      | B7      |
| [EDI*4]     | 10 | 111   | B8      | B9      | BA      | BB      | BC      | BD      | BE      | BF      |
| [EAX*8]     | 11 | 000   | C0      | C1      | C2      | C3      | C4      | C5      | C6      | C7      |
| [ECX*8]     | 11 | 001   | C8      | C9      | CA      | CB      | CC      | CD      | CE      | CF      |
| [EDX*8]     | 11 | 010   | D0      | D1      | D2      | D3      | D4      | D5      | D6      | D7      |
| [EBX*8]     | 11 | 011   | D8      | D9      | DA      | DB      | DC      | DD      | DE      | DF      |
| _           | 11 | 100   | E0      | E1      | E2      | E3      | E4      | E5      | E6      | E7      |
| [EBP*8]     | 11 | 101   | E8      | E9      | EA      | EB      | EC      | ED      | EE      | EF      |
| [ESI*8]     | 11 | 110   | F0      | F1      | F2      | F3      | F4      | F5      | F6      | F7      |
| [EDI*8]     | 11 | 111   | F8      | F9      | FA      | FB      | FC      | FD      | FE      | FF      |

# The [*] nomenclature means a disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP].
# This provides the following address modes:
| MOD | EffectiveAddress               |
| 00  | [ScaledIndex] + disp32         |
| 01  | [ScaledIndex] + disp8 + [EBP]  |
| 10  | [ScaledIndex] + disp32 + [EBP] |
