# Table 1: Vectorized Addressing Modes, AMD64 Vol4, p.8
# Index := {VEX.X, VSIB.index}
# [XMMn/YMMn] indicates the XMM/YMM register that contains the packed index array and [base GPR] means the contents of the base GPR selected by {B, base}.
| Index | ModRM.mod=00                   | ModRM.mod=01                               | ModRM.mod=10                                |
| 0000  | scale * [XMM0/YMM0] + Disp32   | scale * [XMM0/YMM0] + Disp8 + [base GPR]   | scale * [XMM0/YMM0] + Disp32 + [base GPR]   |
| 0001  | scale * [XMM1/YMM1] + Disp32   | scale * [XMM1/YMM1] + Disp8 + [base GPR]   | scale * [XMM1/YMM1] + Disp32 + [base GPR]   |
| 0010  | scale * [XMM2/YMM2] + Disp32   | scale * [XMM2/YMM2] + Disp8 + [base GPR]   | scale * [XMM2/YMM2] + Disp32 + [base GPR]   |
| 0011  | scale * [XMM3/YMM3] + Disp32   | scale * [XMM3/YMM3] + Disp8 + [base GPR]   | scale * [XMM3/YMM3] + Disp32 + [base GPR]   |
| 0100  | scale * [XMM4/YMM4] + Disp32   | scale * [XMM4/YMM4] + Disp8 + [base GPR]   | scale * [XMM4/YMM4] + Disp32 + [base GPR]   |
| 0101  | scale * [XMM5/YMM5] + Disp32   | scale * [XMM5/YMM5] + Disp8 + [base GPR]   | scale * [XMM5/YMM5] + Disp32 + [base GPR]   |
| 0110  | scale * [XMM6/YMM6] + Disp32   | scale * [XMM6/YMM6] + Disp8 + [base GPR]   | scale * [XMM6/YMM6] + Disp32 + [base GPR]   |
| 0111  | scale * [XMM7/YMM7] + Disp32   | scale * [XMM7/YMM7] + Disp8 + [base GPR]   | scale * [XMM7/YMM7] + Disp32 + [base GPR]   |
| 1000  | scale * [XMM8/YMM8] + Disp32   | scale * [XMM8/YMM8] + Disp8 + [base GPR]   | scale * [XMM8/YMM8] + Disp32 + [base GPR]   |
| 1001  | scale * [XMM9/YMM9] + Disp32   | scale * [XMM9/YMM9] + Disp8 + [base GPR]   | scale * [XMM9/YMM9] + Disp32 + [base GPR]   |
| 1010  | scale * [XMM10/YMM10] + Disp32 | scale * [XMM10/YMM10] + Disp8 + [base GPR] | scale * [XMM10/YMM10] + Disp32 + [base GPR] |
| 1011  | scale * [XMM11/YMM11] + Disp32 | scale * [XMM11/YMM11] + Disp8 + [base GPR] | scale * [XMM11/YMM11] + Disp32 + [base GPR] |
| 1100  | scale * [XMM12/YMM12] + Disp32 | scale * [XMM12/YMM12] + Disp8 + [base GPR] | scale * [XMM12/YMM12] + Disp32 + [base GPR] |
| 1101  | scale * [XMM13/YMM13] + Disp32 | scale * [XMM13/YMM13] + Disp8 + [base GPR] | scale * [XMM13/YMM13] + Disp32 + [base GPR] |
| 1110  | scale * [XMM14/YMM14] + Disp32 | scale * [XMM14/YMM14] + Disp8 + [base GPR] | scale * [XMM14/YMM14] + Disp32 + [base GPR] |
| 1111  | scale * [XMM15/YMM15] + Disp32 | scale * [XMM15/YMM15] + Disp8 + [base GPR] | scale * [XMM15/YMM15] + Disp32 + [base GPR] |

