| Index | Code  | [511:0] | [255:0] | [127:0] |
| 0     | 00000 | zmm0    | ymm0    | xmm0    |
| 1     | 00001 | zmm1    | ymm1    | xmm1    |
| 2     | 00010 | zmm2    | ymm2    | xmm2    |
| 3     | 00011 | zmm3    | ymm3    | xmm3    |
| 4     | 00100 | zmm4    | ymm4    | xmm4    |
| 5     | 00101 | zmm5    | ymm5    | xmm5    |
| 6     | 00110 | zmm6    | ymm6    | xmm6    |
| 7     | 00111 | zmm7    | ymm7    | xmm7    |
| 8     | 01000 | zmm8    | ymm8    | xmm8    |
| 9     | 01001 | zmm9    | ymm9    | xmm9    |
| 10    | 01010 | zmm10   | ymm10   | xmm10   |
| 11    | 01011 | zmm11   | ymm11   | xmm11   |
| 12    | 01100 | zmm12   | ymm12   | xmm12   |
| 13    | 01101 | zmm13   | ymm13   | xmm13   |
| 14    | 01110 | zmm14   | ymm14   | xmm14   |
| 15    | 01111 | zmm15   | ymm15   | xmm15   |
